Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.242,NOR,,CAR,W 47-10,,1,0,0,,0,0.0%,0.00,0,0,6,9%,0,0%,2,7%,
2.0,2024.0,2024-09-15,2.0,2.0,23.249,NOR,@,DAL,W 44-19,,,,,,,0.0%,,0,0,6,10%,0,0%,2,7%,
3.0,2024.0,2024-09-22,3.0,3.0,,NOR,,PHI,L 12-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4.0,2024.0,2024-09-29,4.0,4.0,23.263,NOR,@,ATL,L 24-26,,,,,,,0.0%,,0,0,6,8%,0,0%,0,0%,
5.0,2024.0,2024-10-07,5.0,5.0,23.271,NOR,@,KAN,L 13-26,,,,,,,0.0%,,0,0,1,2%,0,0%,3,13%,
6.0,2024.0,2024-10-13,6.0,6.0,23.277,NOR,,TAM,L 27-51,,8,5,45,9.00,1,62.5%,5.63,1,6,50,71%,0,0%,0,0%,
7.0,2024.0,2024-10-17,7.0,7.0,23.281,NOR,,DEN,L 10-33,*,5,3,37,12.33,0,60.0%,7.40,0,0,62,89%,0,0%,8,28%,
8.0,2024.0,2024-10-27,8.0,8.0,23.291,NOR,@,LAC,L 8-26,,1,1,36,36.00,0,100.0%,36.00,0,0,14,19%,0,0%,0,0%,
9.0,2024.0,2024-11-03,9.0,9.0,,NOR,@,CAR,L 22-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10.0,2024.0,2024-11-10,10.0,10.0,,NOR,,ATL,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11.0,2024.0,2024-11-17,11.0,11.0,,NOR,,CLE,W 35-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
