Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
13,2022,2022-10-16,6,6,,NOR,,CIN,L 26-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2022,2022-10-20,7,7,,NOR,@,ARI,L 34-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-10-30,8,8,,NOR,,LVR,W 24-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2022,2022-11-07,9,9,,NOR,,BAL,L 13-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2022,2022-11-13,10,10,25.301,NOR,@,PIT,L 10-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,9,19%,0,0%,10,42%,
18,2022,2022-11-20,11,11,25.308,NOR,,LAR,W 27-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,20,35%,0,0%,14,45%,
19,2022,2022-11-27,12,12,25.315,NOR,@,SFO,L 0-13,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,8,14%,0,0%,8,47%,
20,2022,2022-12-05,13,13,25.323,NOR,@,TAM,L 16-17,,1,2,2.00,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,15,56%,
21,2022,2022-12-18,14,15,25.336,NOR,,ATL,W 21-18,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0.0,1,0,1,0,0,0,0,0,0,0,0,5,9%,0,0%,13,59%,
22,2022,2022-12-24,15,16,25.342,NOR,@,CLE,W 17-10,*,2,5,2.50,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,18,33%,0,0%,6,27%,
23,2022,2023-01-01,16,17,25.350,NOR,@,PHI,W 20-10,,1,2,2.00,0,1,1,4,4.00,0,100.0%,4.00,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,18,69%,
24,2022,2023-01-08,17,18,25.357,NOR,,CAR,L 7-10,,,,,,,,,,,0.0%,,,,,,,,,,,,,,13,22%,0,0%,9,45%,
25,2023,2023-09-10,1,1,26.237,NOR,,TEN,W 16-15,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,11,17%,0,0%,13,46%,
26,2023,2023-09-18,2,2,26.245,NOR,@,CAR,W 20-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,,18,23%,0,0%,10,37%,
27,2023,2023-09-24,3,3,26.251,NOR,@,GNB,L 17-18,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,11,18%,0,0%,11,44%,
28,2023,2023-10-01,4,4,26.258,NOR,,TAM,L 9-26,,1,5,5.00,0,2,1,5,5.00,0,50.0%,2.50,0.0,0,0,0,0,0,1,1,0,0,0,0,9,14%,0,0%,10,38%,
29,2023,2023-10-08,5,5,26.265,NOR,@,NWE,W 34-0,,,,,,,,,,,0.0%,,,,,,,,,,,,,,8,11%,0,0%,6,19%,
30,2023,2023-10-15,6,6,,NOR,@,HOU,L 13-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2023,2023-10-19,7,7,,NOR,,JAX,L 24-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2023,2023-10-29,8,8,,NOR,@,IND,W 38-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2023,2023-11-05,9,9,,NOR,,CHI,W 24-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2023,2023-11-12,10,10,26.300,NOR,@,MIN,L 19-27,,,,,,,,,,,0.0%,,,,,,,,,,,,,,1,1%,0,0%,12,41%,
35,2023,2023-11-26,11,12,26.314,NOR,@,ATL,L 15-24,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,8,11%,0,0%,8,33%,
36,2023,2023-12-03,12,13,26.321,NOR,,DET,L 28-33,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,9,13%,0,0%,18,60%,
37,2023,2023-12-10,13,14,26.328,NOR,,CAR,W 28-6,,,,,,,,,,,0.0%,,,,,,,,,,,,,,10,19%,0,0%,10,42%,
38,2023,2023-12-17,14,15,26.335,NOR,,NYG,W 24-6,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,10,16%,0,0%,9,39%,
39,2023,2023-12-21,15,16,26.339,NOR,@,LAR,L 22-30,,,,,,,,,,,0.0%,,,,,,,,,,,,,,5,8%,0,0%,9,38%,
40,2023,2023-12-31,16,17,26.349,NOR,@,TAM,W 23-13,,1,7,7.00,0,1,1,7,7.00,0,100.0%,7.00,0.0,0,1,1,0,0,0,0,0,0,0,0,15,21%,0,0%,14,54%,
41,2023,2024-01-07,17,18,26.356,NOR,,ATL,W 48-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,,10,15%,0,0%,7,22%,
42,2024,2024-09-08,1,1,27.236,NOR,,CAR,W 47-10,,,,,,,,,,,0.0%,,,,,,,,,,,,,,24,36%,0,0%,5,17%,
43,2024,2024-09-15,2,2,27.243,NOR,@,DAL,W 44-19,,0,0,,0,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,26,44%,0,0%,6,22%,
44,2024,2024-09-22,3,3,27.250,NOR,,PHI,L 12-15,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,22,39%,0,0%,7,41%,
45,2024,2024-09-29,4,4,27.257,NOR,@,ATL,L 24-26,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,24,32%,0,0%,15,54%,
46,2024,2024-10-07,5,5,27.265,NOR,@,KAN,L 13-26,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,7,13%,0,0%,12,50%,
47,2024,2024-10-13,6,6,27.271,NOR,,TAM,L 27-51,,,,,,,,,,,0.0%,,,,,,,,,,,,,,12,17%,0,0%,15,41%,
48,2024,2024-10-17,7,7,27.275,NOR,,DEN,L 10-33,*,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,13,19%,0,0%,13,45%,
49,2024,2024-10-27,8,8,27.285,NOR,@,LAC,L 8-26,,0,0,,0,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,12,16%,0,0%,19,56%,
50,2024,2024-11-03,9,9,27.292,NOR,@,CAR,L 22-23,,0,0,,0,1,0,0,,0,0.0%,0.00,0.0,0,1,1,0,0,0,0,0,0,0,0,21,27%,0,0%,16,55%,
51,2024,2024-11-10,10,10,27.299,NOR,,ATL,W 20-17,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,18,34%,0,0%,17,63%,
52,2024,2024-11-17,11,11,27.306,NOR,,CLE,W 35-14,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,20,33%,0,0%,7,28%,
