Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2013,2013-09-08,1,1,21.118,ARI,@,STL,L 24-27,,0,0,,0,0,0,,0,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,39,58%,10,34%,
2,2013,2013-09-15,2,2,21.125,ARI,,DET,W 25-21,*,0,0,,0,0,0,,0,0,0,0.0,6,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,53,90%,11,34%,
3,2013,2013-09-22,3,3,21.132,ARI,@,NOR,L 7-31,,0,0,,0,0,0,,0,0,0,0.0,9,1,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,64,85%,10,38%,
4,2013,2013-09-29,4,4,21.139,ARI,@,TAM,W 13-10,*,0,0,,0,0,0,,0,0,0,0.0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,76,100%,12,43%,
5,2013,2013-10-06,5,5,21.146,ARI,,CAR,W 22-6,*,0,0,,0,0,0,,0,0,0,1.0,5,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,13,57%,
6,2013,2013-10-13,6,6,21.153,ARI,@,SFO,L 20-32,*,0,0,,0,0,0,,0,0,0,0.0,6,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0%,61,87%,18,56%,
7,2013,2013-10-17,7,7,21.157,ARI,,SEA,L 22-34,*,1,13,13.00,0,0,0,,0,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,54%,10,33%,
8,2013,2013-10-27,8,8,21.167,ARI,,ATL,W 27-13,*,0,0,,0,0,0,,0,0,0,0.0,6,1,7,0,0,1,7,0,2,0,0,0,0,0,0,0,0%,82,99%,7,26%,
9,2013,2013-11-10,9,10,21.181,ARI,,HOU,W 27-24,*,0,0,,0,0,0,,0,0,0,0.0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,99%,6,18%,
10,2013,2013-11-17,10,11,21.188,ARI,@,JAX,W 27-14,*,0,0,,0,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,98%,14,41%,
11,2013,2013-11-24,11,12,21.195,ARI,,IND,W 40-11,*,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,60,100%,4,14%,
12,2013,2013-12-01,12,13,21.202,ARI,@,PHI,L 21-24,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,100%,6,21%,
13,2013,2013-12-08,13,14,21.209,ARI,,STL,W 30-10,*,1,-5,-5.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,36,67%,5,19%,
14,2013,2013-12-15,,15,,ARI,@,TEN,W 37-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2013,2013-12-22,,16,,ARI,@,SEA,W 17-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2013,2013-12-29,,17,,ARI,,SFO,L 20-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2014,2014-09-08,,1,,ARI,,SDG,W 18-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2014,2014-09-14,2,2,22.124,ARI,@,NYG,W 25-14,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,7%,0,0%,
19,2014,2014-09-21,3,3,22.131,ARI,,SFO,W 23-14,,0,0,,0,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,23%,0,0%,
20,2014,2014-10-05,4,5,22.145,ARI,@,DEN,L 20-41,,,,,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,15,19%,2,5%,
21,2014,2014-10-12,5,6,22.152,ARI,,WAS,W 30-20,*,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,1,0,0,0,1,0,0,0,1,9,0,0,0%,48,80%,1,3%,
22,2014,2014-10-19,6,7,22.159,ARI,@,OAK,W 24-13,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,53%,1,4%,
23,2014,2014-10-26,7,8,22.166,ARI,,PHI,W 24-20,,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,76,83%,0,0%,
24,2014,2014-11-02,8,9,22.173,ARI,@,DAL,W 28-17,,0,0,,0,0,0,,0,0,0,0.0,4,1,5,0,0,1,9,0,1,0,0,0,0,0,0,0,0%,34,53%,4,15%,
25,2014,2014-11-09,9,10,22.180,ARI,,STL,W 31-14,*,0,0,,0,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,71%,7,23%,
26,2014,2014-11-16,10,11,22.187,ARI,,DET,W 14-6,*,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,48,86%,3,14%,
27,2014,2014-11-23,11,12,22.194,ARI,@,SEA,L 3-19,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,32,55%,3,12%,
28,2014,2014-11-30,12,13,22.201,ARI,@,ATL,L 18-29,*,0,0,,0,0,0,,0,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,33%,2,7%,
29,2014,2014-12-07,,14,,ARI,,KAN,W 17-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2014,2014-12-11,,15,,ARI,@,STL,W 12-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2014,2014-12-21,15,16,22.222,ARI,,SEA,L 6-35,,0,0,,0,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,51%,1,3%,
32,2014,2014-12-28,16,17,22.229,ARI,@,SFO,L 17-20,*,0,0,,0,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,35%,0,0%,
33,2015,2015-09-13,1,1,23.123,ARI,,NOR,W 31-19,*,0,0,,0,0,0,,0,0,0,0.0,8,0,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0%,72,99%,8,26%,
34,2015,2015-09-20,2,2,23.130,ARI,@,CHI,W 48-23,*,0,0,,0,0,0,,0,0,0,0.0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,97%,10,29%,
35,2015,2015-09-27,3,3,23.137,ARI,,SFO,W 47-7,*,0,0,,0,0,0,,0,1,6,0.0,5,0,5,1,0,2,50,1,2,0,0,0,0,0,0,0,0%,41,82%,3,10%,
36,2015,2015-10-04,4,4,23.144,ARI,,STL,L 22-24,*,0,0,,0,0,0,,0,0,0,0.0,6,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,53,100%,12,40%,
37,2015,2015-10-11,5,5,23.151,ARI,@,DET,W 42-17,*,0,0,,0,0,0,,0,0,0,0.0,5,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,93,98%,8,27%,
38,2015,2015-10-18,6,6,23.158,ARI,@,PIT,L 13-25,*,0,0,,0,0,0,,0,0,0,0.0,4,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,98%,10,34%,
39,2015,2015-10-26,7,7,23.166,ARI,,BAL,W 26-18,*,0,0,,0,0,0,,0,0,0,1.0,7,0,7,3,1,0,0,0,1,0,0,0,0,0,0,0,0%,64,100%,5,18%,
40,2015,2015-11-01,8,8,23.172,ARI,@,CLE,W 34-20,*,0,0,,0,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,100%,3,11%,
41,2015,2015-11-15,9,10,23.186,ARI,@,SEA,W 39-32,*,0,0,,0,0,0,,0,0,0,0.0,5,1,6,0,0,1,24,0,3,0,0,0,0,0,0,0,0%,60,98%,10,29%,
42,2015,2015-11-22,10,11,23.193,ARI,,CIN,W 34-31,*,0,0,,0,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,99%,11,33%,
43,2015,2015-11-29,11,12,23.200,ARI,@,SFO,W 19-13,*,0,0,,0,0,0,,0,0,0,0.0,11,2,13,1,0,1,15,0,2,0,0,0,0,0,0,0,0%,56,98%,4,17%,
44,2015,2015-12-06,12,13,23.207,ARI,@,STL,W 27-3,*,0,0,,0,0,0,,0,0,0,0.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,50,100%,9,32%,
45,2015,2015-12-10,13,14,23.211,ARI,,MIN,W 23-20,*,0,0,,0,0,0,,0,0,0,0.0,10,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,6,24%,
46,2015,2015-12-20,14,15,23.221,ARI,@,PHI,W 40-17,*,0,0,,0,0,0,,0,0,0,0.0,4,1,5,0,0,1,3,0,2,0,0,0,0,0,0,0,0%,64,100%,14,48%,
