Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,24.309,NOR,,TEN,W 16-15,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,9,32%
2,2023,2023-09-18,2,2,24.317,NOR,@,CAR,W 20-17,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,33%
3,2023,2023-09-24,3,3,24.323,NOR,@,GNB,L 17-18,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,32%
4,2023,2023-10-01,4,4,24.330,NOR,,TAM,L 9-26,,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,7,27%
5,2023,2023-10-08,5,5,24.337,NOR,@,NWE,W 34-0,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,13,42%
6,2023,2023-10-15,6,6,24.344,NOR,@,HOU,L 13-20,,1,1,100.0,2,4,50.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,9,35%
7,2023,2023-10-19,7,7,24.348,NOR,,JAX,L 24-31,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,11,34%
8,2023,2023-10-29,8,8,24.358,NOR,@,IND,W 38-27,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,13,38%
9,2023,2023-11-05,9,9,25.000,NOR,,CHI,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,10,42%
10,2023,2023-11-12,10,10,25.007,NOR,@,MIN,L 19-27,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,5,17%
11,2023,2023-11-26,11,12,25.021,NOR,@,ATL,L 15-24,,,,,5,6,83.3,0,15,0.0,0,0,0,0,0,0,0%,0,0%,12,50%
12,2023,2023-12-03,12,13,25.028,NOR,,DET,L 28-33,,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0%,0,0%,9,30%
13,2023,2023-12-10,13,14,25.035,NOR,,CAR,W 28-6,,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,10,42%
14,2023,2023-12-17,14,15,25.042,NOR,,NYG,W 24-6,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,39%
15,2023,2023-12-21,15,16,25.046,NOR,@,LAR,L 22-30,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,6,25%
16,2023,2023-12-31,16,17,25.056,NOR,@,TAM,W 23-13,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,11,42%
17,2023,2024-01-07,17,18,25.063,NOR,,ATL,W 48-17,,6,6,100.0,2,2,100.0,0,12,0.0,0,0,0,0,0,0,0%,0,0%,17,53%
18,2024,2024-09-08,1,1,25.308,NOR,,CAR,W 47-10,,5,5,100.0,4,4,100.0,0,17,0.0,0,0,0,0,0,0,0%,0,0%,19,63%
19,2024,2024-09-15,2,2,25.315,NOR,@,DAL,W 44-19,,5,6,83.3,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,15,56%
20,2024,2024-09-22,3,3,25.322,NOR,,PHI,L 12-15,,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,6,35%
21,2024,2024-09-29,4,4,25.329,NOR,@,ATL,L 24-26,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,32%
22,2024,2024-10-07,5,5,25.337,NOR,@,KAN,L 13-26,,1,2,50.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,5,21%
23,2024,2024-10-13,6,6,25.343,NOR,,TAM,L 27-51,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,30%
24,2024,2024-10-17,7,7,25.347,NOR,,DEN,L 10-33,,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,0,0,0%,0,0%,4,14%
25,2024,2024-10-27,8,8,25.357,NOR,@,LAC,L 8-26,,,,,2,3,66.7,0,6,0.0,0,0,0,0,0,0,0%,0,0%,6,18%
26,2024,2024-11-03,9,9,25.364,NOR,@,CAR,L 22-23,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,10,35%
27,2024,2024-11-10,10,10,26.005,NOR,,ATL,W 20-17,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,33%
28,2024,2024-11-17,11,11,26.012,NOR,,CLE,W 35-14,,5,5,100.0,,,,0,5,0.0,0,0,0,0,0,0,0%,0,0%,11,44%
