Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,23.334,GNB,,CHI,W 24-23,,0,0,0,,0,0.0%,,0,0,,0,1,21,21.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,11,39%,
2,2018,2018-09-16,2,2,23.341,GNB,,MIN,T 29-29,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,7,19%,
3,2018,2018-09-23,3,3,23.348,GNB,@,WAS,L 17-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,12,17%,0,0%,10,34%,
4,2018,2018-09-30,4,4,23.355,GNB,,BUF,W 22-0,*,3,1,38,38.00,0,33.3%,12.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,71%,0,0%,14,61%,
5,2018,2018-10-07,5,5,23.362,GNB,@,DET,L 23-31,*,11,7,68,9.71,1,63.6%,6.18,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,77,95%,0,0%,1,4%,
6,2018,2018-10-15,6,6,24.005,GNB,,SFO,W 33-30,*,6,3,103,34.33,0,50.0%,17.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,93%,0,0%,0,0%,
7,2018,2018-10-28,7,8,24.018,GNB,@,LAR,L 27-29,*,5,2,45,22.50,1,40.0%,9.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,31,60%,0,0%,1,3%,
8,2018,2018-11-04,8,9,24.025,GNB,@,NWE,L 17-31,*,6,3,101,33.67,0,50.0%,16.83,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,81%,0,0%,0,0%,
9,2018,2018-11-11,9,10,24.032,GNB,,MIA,W 31-12,*,7,6,44,7.33,0,85.7%,6.29,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,95%,0,0%,0,0%,
10,2018,2018-11-15,10,11,24.036,GNB,@,SEA,L 24-27,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,98%,0,0%,0,0%,
11,2018,2018-11-25,11,12,24.046,GNB,@,MIN,L 17-24,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,83%,0,0%,0,0%,
12,2018,2018-12-02,12,13,24.053,GNB,,ARI,L 17-20,*,7,2,19,9.50,0,28.6%,2.71,2,29,14.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,84%,0,0%,0,0%,
13,2018,2018-12-09,13,14,24.060,GNB,,ATL,W 34-20,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,46%,0,0%,1,4%,
14,2018,2018-12-16,14,15,24.067,GNB,@,CHI,L 17-24,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,31%,0,0%,0,0%,
15,2018,2018-12-23,15,16,24.074,GNB,@,NYJ,W 44-38,,9,5,75,15.00,0,55.6%,8.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,79%,0,0%,0,0%,
16,2018,2018-12-30,16,17,24.081,GNB,,DET,L 0-31,*,8,3,43,14.33,0,37.5%,5.38,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,91%,0,0%,0,0%,
17,2019,2019-09-05,1,1,24.330,GNB,@,CHI,W 10-3,*,6,4,52,13.00,0,66.7%,8.67,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,67%,0,0%,0,0%,
