Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
26,2018,2018-11-15,10,11,23.226,GNB,@,SEA,L 24-27,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,8%,0,0%,6,19%,
27,2018,2018-11-25,11,12,23.236,GNB,@,MIN,L 17-24,,1,5,5.00,0,0,0,0,,0,0.0%,,1,23,23.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,25%,0,0%,9,32%,
28,2018,2018-12-02,12,13,23.243,GNB,,ARI,L 17-20,,7,13,1.86,0,4,4,14,3.50,0,100.0%,3.50,3,72,24.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,50%,0,0%,6,19%,
29,2018,2018-12-09,13,14,23.250,GNB,,ATL,W 34-20,*,4,17,4.25,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,37%,0,0%,8,29%,
30,2018,2018-12-16,14,15,23.257,GNB,@,CHI,L 17-24,,12,55,4.58,1,5,4,42,10.50,0,80.0%,8.40,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,87%,0,0%,2,7%,
31,2018,2018-12-23,15,16,23.264,GNB,@,NYJ,W 44-38,*,15,95,6.33,1,9,6,61,10.17,0,66.7%,6.78,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,85,94%,0,0%,0,0%,
32,2018,2018-12-30,16,17,23.271,GNB,,DET,L 0-31,*,8,4,0.50,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,70%,0,0%,0,0%,
33,2019,2019-09-05,1,1,24.155,GNB,@,CHI,W 10-3,,5,0,0.00,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,24,39%,0,0%,13,52%,
34,2019,2019-09-15,2,2,24.165,GNB,,MIN,W 21-16,,9,28,3.11,0,4,3,13,4.33,1,75.0%,3.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,45%,0,0%,12,42%,
35,2019,2019-09-22,3,3,24.172,GNB,,DEN,W 27-16,,12,59,4.92,0,2,2,27,13.50,0,100.0%,13.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,61%,0,0%,6,23%,
