Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
50,2022,2022-09-11,1,1,25.209,MIN,,GNB,W 23-7,,0,0%,0,0%,5,22%,
51,2022,2022-09-19,2,2,25.217,MIN,@,PHI,L 7-24,,0,0%,0,0%,1,5%,
52,2022,2022-09-25,3,3,25.223,MIN,,DET,W 28-24,,0,0%,0,0%,6,21%,
53,2022,2022-10-02,4,4,25.230,MIN,@,NOR,W 28-25,,0,0%,0,0%,7,23%,
54,2022,2022-10-09,5,5,25.237,MIN,,CHI,W 29-22,,1,1%,0,0%,5,22%,
55,2022,2022-10-16,6,6,25.244,MIN,@,MIA,W 24-16,,2,4%,0,0%,3,10%,
56,2022,2022-10-30,7,8,25.258,MIN,,ARI,W 34-26,,0,0%,0,0%,6,20%,
57,2022,2022-11-06,8,9,25.265,MIN,@,WAS,W 20-17,,0,0%,0,0%,5,18%,
58,2022,2022-11-13,9,10,25.272,MIN,@,BUF,W 33-30,,0,0%,0,0%,6,18%,
59,2022,2022-11-20,10,11,25.279,MIN,,DAL,L 3-40,,0,0%,0,0%,1,4%,
60,2022,2022-11-24,11,12,25.283,MIN,,NWE,W 33-26,,2,3%,0,0%,6,18%,
61,2022,2022-12-04,12,13,25.293,MIN,,NYJ,W 27-22,,1,1%,0,0%,5,16%,
62,2022,2022-12-11,13,14,25.300,MIN,@,DET,L 23-34,,8,12%,0,0%,3,10%,
63,2022,2022-12-17,14,15,25.306,MIN,,IND,W 39-36,,1,1%,0,0%,5,12%,
64,2022,2022-12-24,15,16,25.313,MIN,,NYG,W 27-24,,0,0%,0,0%,5,17%,
65,2022,2023-01-01,16,17,25.321,MIN,@,GNB,L 17-41,,45,78%,0,0%,5,18%,
66,2022,2023-01-08,17,18,25.328,MIN,@,CHI,W 29-13,*,71,100%,0,0%,7,31%,
67,2023,2023-09-10,1,1,26.208,MIN,,TAM,L 17-20,,6,9%,0,0%,3,11%,
68,2023,2023-09-14,2,2,26.212,MIN,@,PHI,L 28-34,*,39,67%,0,0%,2,7%,
69,2023,2023-09-24,3,3,,MIN,,LAC,L 24-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,2023,2023-10-01,4,4,,MIN,@,CAR,W 21-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,2023,2023-10-08,5,5,,MIN,,KAN,L 20-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,2023,2023-10-15,6,6,,MIN,@,CHI,W 19-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,2023,2023-10-23,7,7,,MIN,,SFO,W 22-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,2023,2023-10-29,8,8,,MIN,@,GNB,W 24-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
