Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-09,1,1,22.126,OAK,,DEN,W 24-16,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,53%,0,0%,12,48%,
2,2019,2019-09-15,2,2,22.132,OAK,,KAN,L 10-28,*,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,15,24%,0,0%,16,64%,
3,2019,2019-09-22,3,3,22.139,OAK,@,MIN,L 14-34,*,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,39%,0,0%,16,64%,
4,2019,2019-09-29,4,4,22.146,OAK,@,IND,W 31-24,,3,3,30,10.00,1,100.0%,10.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,48%,0,0%,19,63%,
5,2019,2019-10-06,5,5,22.153,OAK,,CHI,W 24-21,,4,4,46,11.50,0,100.0%,11.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,61%,0,0%,17,61%,
6,2019,2019-10-20,6,7,22.167,OAK,@,GNB,L 24-42,*,3,2,24,12.00,1,66.7%,8.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,16,59%,
7,2019,2019-10-27,7,8,22.174,OAK,@,HOU,L 24-27,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,22,40%,0,0%,20,67%,
8,2019,2019-11-03,8,9,22.181,OAK,,DET,W 31-24,*,2,1,3,3.00,1,50.0%,1.50,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,53%,0,0%,15,58%,
9,2019,2019-11-07,9,10,22.185,OAK,,LAC,W 26-24,*,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,26,45%,0,0%,19,66%,
10,2019,2019-11-17,10,11,22.195,OAK,,CIN,W 17-10,*,2,2,8,4.00,1,100.0%,4.00,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,39,57%,0,0%,14,61%,
11,2019,2019-11-24,11,12,22.202,OAK,@,NYJ,L 3-34,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,33%,0,0%,19,63%,
12,2019,2019-12-01,12,13,22.209,OAK,@,KAN,L 9-40,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,49%,0,0%,14,61%,
13,2019,2019-12-08,13,14,22.216,OAK,,TEN,L 21-42,,3,3,14,4.67,1,100.0%,4.67,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,25,40%,0,0%,8,29%,
14,2019,2019-12-15,,15,,OAK,,JAX,L 16-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2019,2019-12-22,,16,,OAK,@,LAC,W 24-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2019,2019-12-29,,17,,OAK,@,DEN,L 15-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2020,2020-09-13,1,1,23.130,LVR,@,CAR,W 34-30,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,12,19%,0,0%,9,31%,
18,2020,2020-09-21,2,2,23.138,LVR,,NOR,W 34-24,,1,1,31,31.00,0,100.0%,31.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,40%,0,0%,7,26%,
19,2020,2020-09-27,3,3,23.144,LVR,@,NWE,L 20-36,*,2,2,25,12.50,1,100.0%,12.50,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,15,25%,0,0%,11,35%,
20,2020,2020-10-04,4,4,23.151,LVR,,BUF,L 23-30,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,7,26%,
21,2020,2020-10-11,5,5,23.158,LVR,@,KAN,W 40-32,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,13,41%,
22,2020,2020-10-25,6,7,23.172,LVR,,TAM,L 20-45,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,11,17%,0,0%,15,48%,
23,2020,2020-11-01,7,8,23.179,LVR,@,CLE,W 16-6,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,43%,0,0%,10,56%,
24,2020,2020-11-08,8,9,23.186,LVR,@,LAC,W 31-26,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,14,27%,0,0%,19,63%,
25,2020,2020-11-15,9,10,23.193,LVR,,DEN,W 37-12,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,25,35%,0,0%,19,66%,
26,2020,2020-11-22,10,11,23.200,LVR,,KAN,L 31-35,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,17,29%,0,0%,15,58%,
