Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
53,2024,2024-09-15,2,2,27.025,NOR,@,DAL,W 44-19,,7,12%,0,0%,7,26%,
54,2024,2024-09-22,3,3,27.032,NOR,,PHI,L 12-15,,1,2%,0,0%,2,12%,
55,2024,2024-09-29,4,4,27.039,NOR,@,ATL,L 24-26,*,74,100%,0,0%,4,14%,
56,2024,2024-10-07,5,5,27.047,NOR,@,KAN,L 13-26,*,53,100%,0,0%,2,8%,
57,2024,2024-10-13,6,6,27.053,NOR,,TAM,L 27-51,*,70,100%,0,0%,5,14%,
58,2024,2024-10-17,7,7,27.057,NOR,,DEN,L 10-33,*,70,100%,0,0%,2,7%,
59,2024,2024-10-27,8,8,27.067,NOR,@,LAC,L 8-26,,0,0%,0,0%,3,9%,
60,2024,2024-11-03,9,9,27.074,NOR,@,CAR,L 22-23,,0,0%,0,0%,4,14%,
61,2024,2024-11-10,10,10,27.081,NOR,,ATL,W 20-17,,0,0%,0,0%,4,15%,
62,2024,2024-11-17,11,11,27.088,NOR,,CLE,W 35-14,,0,0%,0,0%,5,20%,
