Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-11-10,10.0,10.0,,NOR,,ATL,W 20-17,Did Not Play
2.0,2024.0,2024-11-17,11.0,11.0,,NOR,,CLE,W 35-14,Did Not Play
