Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,23.199,ARI,@,WAS,L 16-20,*,4,2,19,9.50,0,50.0%,4.75,,0,0,0,0,0,0,0,0,56,90%,0,0%,0,0%,
2,2023,2023-09-17,2,2,23.206,ARI,,NYG,L 28-31,*,3,3,56,18.67,0,100.0%,18.67,,0,0,0,0,0,0,0,0,28,43%,0,0%,0,0%,
3,2023,2023-09-24,3,3,23.213,ARI,,DAL,W 28-16,*,2,2,86,43.00,0,100.0%,43.00,,0,0,0,0,0,0,0,0,41,67%,0,0%,0,0%,
4,2023,2023-10-01,4,4,23.220,ARI,@,SFO,L 16-35,*,7,7,76,10.86,2,100.0%,10.86,,2,12,0,0,0,0,0,0,50,70%,0,0%,1,5%,
5,2023,2023-10-08,5,5,23.227,ARI,,CIN,L 20-34,,2,1,18,18.00,0,50.0%,9.00,,0,0,0,0,0,0,0,0,43,75%,0,0%,0,0%,
6,2023,2023-10-15,6,6,23.234,ARI,@,LAR,L 9-26,*,4,3,62,20.67,0,75.0%,15.50,,0,0,0,0,0,0,0,0,67,88%,0,0%,0,0%,
7,2023,2023-10-22,7,7,23.241,ARI,@,SEA,L 10-20,*,5,3,26,8.67,0,60.0%,5.20,,0,0,0,0,0,0,0,0,55,83%,0,0%,1,4%,
8,2023,2023-10-29,8,8,23.248,ARI,,BAL,L 24-31,*,6,4,58,14.50,0,66.7%,9.67,,0,0,0,0,0,0,0,0,68,88%,0,0%,0,0%,
9,2023,2023-11-05,9,9,,ARI,@,CLE,L 0-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2023,2023-11-12,10,10,23.262,ARI,,ATL,W 25-23,*,6,3,34,11.33,0,50.0%,5.67,,0,0,0,0,0,0,0,0,58,89%,0,0%,0,0%,
11,2023,2023-11-19,11,11,,ARI,@,HOU,L 16-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2023,2023-11-26,12,12,,ARI,,LAR,L 14-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2023,2023-12-03,13,13,,ARI,@,PIT,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2023,2023-12-17,14,15,23.297,ARI,,SFO,L 29-45,*,3,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,65,88%,0,0%,0,0%,
15,2023,2023-12-24,15,16,23.304,ARI,@,CHI,L 16-27,*,4,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,55,90%,0,0%,0,0%,
16,2023,2023-12-31,16,17,23.311,ARI,@,PHI,W 35-31,*,6,4,35,8.75,1,66.7%,5.83,1,1,8,0,0,0,0,0,0,65,86%,0,0%,0,0%,
17,2023,2024-01-07,17,18,23.318,ARI,,SEA,L 20-21,*,6,6,95,15.83,0,100.0%,15.83,,0,0,0,0,0,0,0,0,58,83%,0,0%,0,0%,
18,2024,2024-09-08,1,1,24.198,ARI,@,BUF,L 28-34,*,2,1,5,5.00,1,50.0%,2.50,,1,6,0,0,0,0,0,0,49,80%,0,0%,0,0%,
19,2024,2024-09-15,2,2,24.205,ARI,,LAR,W 41-10,*,2,2,31,15.50,0,100.0%,15.50,,0,0,0,0,0,0,0,0,45,68%,0,0%,0,0%,
20,2024,2024-09-22,3,3,24.212,ARI,,DET,L 13-20,*,9,8,64,8.00,0,88.9%,7.11,,0,0,0,0,0,0,0,0,53,90%,0,0%,0,0%,
21,2024,2024-09-29,4,4,24.219,ARI,,WAS,L 14-42,*,7,3,38,12.67,0,42.9%,5.43,,0,0,1,1,0,0,0,0,50,85%,0,0%,0,0%,
22,2024,2024-10-06,5,5,24.226,ARI,@,SFO,W 24-23,*,6,5,78,15.60,0,83.3%,13.00,,0,0,0,0,0,0,0,0,42,72%,0,0%,0,0%,
23,2024,2024-10-13,6,6,24.233,ARI,@,GNB,L 13-34,,4,2,21,10.50,1,50.0%,5.25,,1,6,0,0,0,0,0,0,55,95%,0,0%,0,0%,
24,2024,2024-10-21,7,7,24.241,ARI,,LAC,W 17-15,*,3,1,15,15.00,0,33.3%,5.00,,0,0,0,0,0,1,0,0,44,77%,0,0%,0,0%,
25,2024,2024-10-27,8,8,24.247,ARI,@,MIA,W 28-27,,6,5,31,6.20,1,83.3%,5.17,,1,6,0,0,0,0,0,0,46,70%,0,0%,0,0%,
26,2024,2024-11-03,9,9,24.254,ARI,,CHI,W 29-9,*,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,41,71%,0,0%,1,4%,
27,2024,2024-11-10,10,10,24.261,ARI,,NYJ,W 31-6,*,4,3,24,8.00,0,75.0%,6.00,,0,0,0,0,0,0,0,0,39,66%,0,0%,0,0%,
28,2024,2024-11-24,11,12,24.275,ARI,@,SEA,L 6-16,*,4,2,54,27.00,0,50.0%,13.50,,0,0,0,0,0,0,0,0,48,83%,0,0%,0,0%,
