Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,22.164,BUF,,NYJ,W 21-12,*,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,86%,0,0%,0,0%,
2,2017,2017-09-17,2,2,22.171,BUF,@,CAR,L 3-9,*,6,2,18,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,91%,0,0%,0,0%,
3,2017,2017-09-24,3,3,22.178,BUF,,DEN,W 26-16,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,85%,0,0%,0,0%,
4,2017,2017-10-01,4,4,22.185,BUF,@,ATL,W 23-17,,5,1,18,18.00,0,20.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,73%,0,0%,0,0%,
5,2017,2017-10-08,5,5,22.192,BUF,@,CIN,L 16-20,*,6,1,9,9.00,0,16.7%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,94%,0,0%,0,0%,
6,2017,2017-10-22,6,7,22.206,BUF,,TAM,W 30-27,*,9,2,17,8.50,0,22.2%,1.89,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,81%,0,0%,0,0%,
7,2017,2017-10-29,7,8,22.213,BUF,,OAK,W 34-14,*,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,80%,0,0%,1,4%,
8,2017,2017-11-02,8,9,22.217,BUF,@,NYJ,L 21-34,*,7,6,53,8.83,1,85.7%,7.57,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,53%,0,0%,0,0%,
9,2017,2017-11-12,,10,,BUF,,NOR,L 10-47,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2017,2017-11-19,10,11,22.234,BUF,@,LAC,L 24-54,*,7,4,68,17.00,0,57.1%,9.71,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,82%,0,0%,0,0%,
11,2017,2017-11-26,11,12,22.241,BUF,@,KAN,W 16-10,*,10,3,33,11.00,1,30.0%,3.30,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,83%,0,0%,0,0%,
12,2017,2017-12-03,12,13,22.248,BUF,,NWE,L 3-23,*,7,2,22,11.00,0,28.6%,3.14,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,97%,0,0%,0,0%,
13,2017,2017-12-10,13,14,22.255,BUF,,IND,W 13-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,61%,0,0%,0,0%,
14,2017,2017-12-17,14,15,22.262,BUF,,MIA,W 24-16,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,71%,0,0%,2,7%,
15,2017,2017-12-24,15,16,22.269,BUF,@,NWE,L 16-37,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,75%,0,0%,0,0%,
16,2017,2017-12-31,16,17,22.276,BUF,@,MIA,W 22-16,,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,75%,0,0%,1,4%,
17,2018,2018-09-09,1,1,23.163,BUF,@,BAL,L 3-47,*,6,3,26,8.67,0,50.0%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,94%,0,0%,0,0%,
18,2018,2018-09-16,2,2,23.170,BUF,,LAC,L 20-31,*,3,2,63,31.50,0,66.7%,21.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,82%,0,0%,0,0%,
19,2018,2018-09-23,3,3,23.177,BUF,@,MIN,W 27-6,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,63%,0,0%,1,4%,
20,2018,2018-09-30,4,4,23.184,BUF,@,GNB,L 0-22,*,7,4,38,9.50,0,57.1%,5.43,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,91%,0,0%,0,0%,
21,2018,2018-10-07,5,5,23.191,BUF,,TEN,W 13-12,*,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,77%,0,0%,0,0%,
22,2018,2018-10-14,6,6,23.198,BUF,@,HOU,L 13-20,*,8,3,35,11.67,1,37.5%,4.38,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,94%,0,0%,0,0%,
23,2018,2018-10-21,7,7,23.205,BUF,@,IND,L 5-37,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,91%,0,0%,0,0%,
24,2018,2018-10-29,8,8,23.213,BUF,,NWE,L 6-25,*,8,6,55,9.17,0,75.0%,6.88,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,94%,0,0%,0,0%,
25,2018,2018-11-04,9,9,23.219,BUF,,CHI,L 9-41,*,6,4,18,4.50,0,66.7%,3.00,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,87%,0,0%,0,0%,
26,2018,2018-11-11,10,10,23.226,BUF,@,NYJ,W 41-10,,11,8,93,11.63,1,72.7%,8.45,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,62,85%,0,0%,0,0%,
27,2018,2018-11-25,11,12,23.240,BUF,,JAX,W 24-21,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,95%,0,0%,1,3%,
28,2018,2018-12-02,12,13,23.247,BUF,@,MIA,L 17-21,*,9,4,67,16.75,2,44.4%,7.44,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,14,0.0,0,0,0,,,0,0,0,0,0,0,66,92%,0,0%,0,0%,
29,2018,2018-12-09,13,14,23.254,BUF,,NYJ,L 23-27,*,9,3,22,7.33,0,33.3%,2.44,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,91%,0,0%,0,0%,
30,2018,2018-12-16,14,15,23.261,BUF,,DET,W 14-13,*,6,1,11,11.00,0,16.7%,1.83,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,97%,0,0%,0,0%,
31,2018,2018-12-23,15,16,23.268,BUF,@,NWE,L 12-24,*,9,5,67,13.40,1,55.6%,7.44,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,
32,2018,2018-12-30,16,17,23.275,BUF,,MIA,W 42-17,*,9,6,93,15.50,2,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,58,94%,0,0%,0,0%,
33,2019,2019-09-08,1,1,24.162,BUF,@,NYJ,W 17-16,,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,44%,0,0%,3,13%,
34,2019,2019-09-15,2,2,24.169,BUF,@,NYG,W 28-14,*,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,60%,0,0%,3,11%,
35,2019,2019-09-22,3,3,24.176,BUF,,CIN,W 21-17,,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,51%,0,0%,4,15%,
36,2019,2019-09-29,4,4,24.183,BUF,,NWE,L 10-16,*,8,2,4,2.00,0,25.0%,0.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,73%,0,0%,4,14%,
37,2019,2019-10-06,5,5,24.190,BUF,@,TEN,W 14-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,1,2%,0,0%,0,0%,
38,2019,2019-10-20,,7,,OAK,@,GNB,L 24-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2019,2019-10-27,7,8,24.211,OAK,@,HOU,L 24-27,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,40%,0,0%,0,0%,
40,2019,2019-11-03,8,9,24.218,OAK,,DET,W 31-24,*,4,3,21,7.00,0,75.0%,5.25,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,91%,0,0%,0,0%,
41,2019,2019-11-07,9,10,24.222,OAK,,LAC,W 26-24,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,67%,0,0%,0,0%,
42,2019,2019-11-17,10,11,24.232,OAK,,CIN,W 17-10,,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,71%,0,0%,0,0%,
43,2019,2019-11-24,11,12,24.239,OAK,@,NYJ,L 3-34,*,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,90%,0,0%,0,0%,
44,2019,2019-12-01,12,13,24.246,OAK,@,KAN,L 9-40,*,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,69%,0,0%,0,0%,
45,2019,2019-12-08,13,14,24.253,OAK,,TEN,L 21-42,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,84%,0,0%,0,0%,
46,2019,2019-12-15,14,15,24.260,OAK,,JAX,L 16-20,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,67%,0,0%,0,0%,
47,2019,2019-12-22,15,16,24.267,OAK,@,LAC,W 24-17,*,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,52%,0,0%,0,0%,
48,2019,2019-12-29,16,17,24.274,OAK,@,DEN,L 15-16,*,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,0,0%,
49,2020,2020-09-13,1,1,25.167,LVR,@,CAR,W 34-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,9,14%,0,0%,0,0%,
50,2020,2020-09-21,2,2,25.175,LVR,,NOR,W 34-24,,1,1,15,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,18,23%,0,0%,0,0%,
51,2020,2020-09-27,3,3,25.181,LVR,@,NWE,L 20-36,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,46%,0,0%,0,0%,
52,2020,2020-10-04,4,4,25.188,LVR,,BUF,L 23-30,*,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,89%,0,0%,0,0%,
53,2020,2020-10-11,5,5,25.195,LVR,@,KAN,W 40-32,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,0,0%,
54,2020,2020-10-25,6,7,25.209,LVR,,TAM,L 20-45,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,10,15%,0,0%,0,0%,
55,2020,2020-11-01,7,8,25.216,LVR,@,CLE,W 16-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,10,14%,0,0%,0,0%,
56,2020,2020-11-08,8,9,25.223,LVR,@,LAC,W 31-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,6,12%,0,0%,0,0%,
57,2020,2020-11-15,9,10,25.230,LVR,,DEN,W 37-12,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,
58,2020,2020-11-22,10,11,25.237,LVR,,KAN,L 31-35,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,8%,0,0%,0,0%,
59,2020,2020-11-29,11,12,25.244,LVR,@,ATL,L 6-43,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,21%,0,0%,0,0%,
60,2020,2020-12-06,12,13,25.251,LVR,@,NYJ,W 31-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,9%,0,0%,0,0%,
