Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
36,2023,2023-09-17,2,2,25.224,TEN,,LAC,W 27-24,,0.0,0,1,1,0,0,0,0,0,0,0,0%,6,9%,0,0%,
37,2023,2023-09-24,3,3,25.231,TEN,@,CLE,L 3-27,,0.0,0,1,1,0,0,0,0,0,0,0,0%,16,23%,0,0%,
38,2023,2023-10-01,4,4,25.238,TEN,,CIN,W 27-3,,0.0,0,2,2,0,0,0,0,0,0,0,0%,7,13%,0,0%,
39,2023,2023-10-08,5,5,25.245,TEN,@,IND,L 16-23,,0.0,0,1,1,0,0,0,0,0,0,0,0%,21,32%,1,5%,
40,2023,2023-10-15,6,6,25.252,TEN,,BAL,L 16-24,*,0.0,0,1,1,0,0,0,0,0,0,0,0%,25,35%,4,13%,
41,2023,2023-10-29,7,8,25.266,TEN,,ATL,W 28-23,,0.0,0,0,0,0,0,0,0,0,0,0,0%,6,9%,4,11%,
42,2023,2023-11-02,8,9,25.270,TEN,@,PIT,L 16-20,,0.0,0,1,1,0,0,0,0,0,0,0,0%,10,15%,4,17%,
43,2023,2023-11-12,10,10,,ARI,,ATL,W 25-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2023,2023-11-19,11,11,,ARI,@,HOU,L 16-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2023,2023-11-26,12,12,,ARI,,LAR,L 14-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2023,2023-12-03,13,13,,ARI,@,PIT,W 24-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2023,2023-12-17,14,15,25.315,ARI,,SFO,L 29-45,,0.0,0,1,1,0,0,0,0,0,0,0,0%,15,27%,0,0%,
48,2023,2023-12-24,15,16,25.322,ARI,@,CHI,L 16-27,,0.0,1,2,3,0,0,0,0,0,0,0,0%,21,30%,6,21%,
49,2023,2023-12-31,16,17,25.329,ARI,@,PHI,W 35-31,,0.0,0,0,0,0,0,0,0,0,0,0,0%,10,20%,5,20%,
50,2023,2024-01-07,17,18,25.336,ARI,,SEA,L 20-21,*,0.0,2,3,5,1,0,0,0,0,0,0,0%,21,38%,0,0%,
51,2024,2024-09-08,1,1,,MIA,,JAX,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2024,2024-09-12,2,2,,MIA,,BUF,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,2024,2024-09-22,3,3,,MIA,@,SEA,L 3-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,2024,2024-09-29,4,4,,ARI,,WAS,L 14-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,2024,2024-10-06,5,5,26.244,ARI,@,SFO,W 24-23,,1.0,2,1,3,1,1,0,0,0,0,0,0%,19,30%,5,21%,
56,2024,2024-10-13,6,6,26.251,ARI,@,GNB,L 13-34,,0.0,2,5,7,0,0,0,0,0,0,0,0%,32,44%,7,26%,
57,2024,2024-10-21,7,7,26.259,ARI,,LAC,W 17-15,,1.0,2,0,2,1,2,0,0,0,0,0,0%,20,30%,5,23%,
58,2024,2024-10-27,8,8,26.265,ARI,@,MIA,W 28-27,,0.0,0,2,2,0,0,0,0,0,0,0,0%,15,23%,1,4%,
59,2024,2024-11-03,9,9,,ARI,,CHI,W 29-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,2024,2024-11-10,10,10,26.279,ARI,,NYJ,W 31-6,,0.0,0,0,0,0,0,0,0,0,0,0,0%,26,45%,2,11%,
61,2024,2024-11-24,11,12,26.293,ARI,@,SEA,L 6-16,,0.0,0,1,1,0,0,0,0,0,1,0,0%,23,36%,5,21%,
