Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,22.357,ARI,@,BUF,L 28-34,,,,,,,0.0%,,20.0,33%,0.0,0%,11.0,41%
2.0,2024.0,2024-09-15,2.0,2.0,22.364,ARI,,LAR,W 41-10,,,,,,,0.0%,,38.0,58%,0.0,0%,10.0,40%
3.0,2024.0,2024-09-22,3.0,3.0,23.005,ARI,,DET,L 13-20,*,,,,,,0.0%,,20.0,34%,0.0,0%,12.0,52%
4.0,2024.0,2024-09-29,4.0,4.0,23.012,ARI,,WAS,L 14-42,*,,,,,,0.0%,,25.0,42%,0.0,0%,9.0,39%
5.0,2024.0,2024-10-06,5.0,5.0,23.019,ARI,@,SFO,W 24-23,,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,26.0,45%,0.0,0%,10.0,42%
6.0,2024.0,2024-10-13,6.0,6.0,23.026,ARI,@,GNB,L 13-34,*,,,,,,0.0%,,12.0,21%,0.0,0%,10.0,37%
7.0,2024.0,2024-10-21,7.0,7.0,23.034,ARI,,LAC,W 17-15,*,1.0,1.0,1.0,1.0,0.0,100.0%,1.0,30.0,53%,0.0,0%,8.0,37%
8.0,2024.0,2024-10-27,8.0,8.0,23.04,ARI,@,MIA,W 28-27,*,,,,,,0.0%,,29.0,44%,0.0,0%,11.0,42%
9.0,2024.0,2024-11-03,9.0,9.0,23.047,ARI,,CHI,W 29-9,*,,,,,,0.0%,,29.0,50%,0.0,0%,11.0,39%
10.0,2024.0,2024-11-10,10.0,10.0,23.054,ARI,,NYJ,W 31-6,,,,,,,0.0%,,35.0,59%,0.0,0%,8.0,44%
11.0,2024.0,2024-11-24,11.0,12.0,23.068,ARI,@,SEA,L 6-16,,,,,,,0.0%,,20.0,34%,0.0,0%,7.0,29%
