Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,ARI,,KAN,L 21-44,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2022,2022-09-18,2,2,22.300,ARI,@,LVR,W 29-23,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,1,1%,0,0%,10,48%,
3,2022,2022-09-25,3,3,22.307,ARI,,LAR,L 12-20,*,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,5,6%,0,0%,15,60%,
4,2022,2022-10-02,4,4,22.314,ARI,@,CAR,W 26-16,*,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,42%,0,0%,17,74%,
5,2022,2022-10-09,5,5,22.321,ARI,,PHI,L 17-20,*,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,17,25%,0,0%,12,48%,
6,2022,2022-10-16,6,6,22.328,ARI,@,SEA,L 9-19,*,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,20,28%,0,0%,10,38%,
7,2022,2022-10-20,7,7,22.332,ARI,,NOR,W 42-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,34,52%,0,0%,24,75%,
8,2022,2022-10-30,8,8,22.342,ARI,@,MIN,L 26-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,20,26%,0,0%,19,63%,
9,2022,2022-11-06,9,9,22.349,ARI,,SEA,L 21-31,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,13,21%,0,0%,19,71%,
10,2022,2022-11-13,10,10,22.356,ARI,@,LAR,W 27-17,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,62,91%,0,0%,9,32%,
11,2022,2022-11-21,11,11,22.364,ARI,,SFO,L 10-38,*,4,4,14,3.50,0,100.0%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,76%,0,0%,6,23%,
12,2022,2022-11-27,12,12,23.005,ARI,,LAC,L 24-25,*,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,79%,0,0%,5,19%,
13,2022,2022-12-12,13,14,23.020,ARI,,NWE,L 13-27,*,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,55,73%,0,0%,4,15%,
14,2022,2022-12-18,14,15,23.026,ARI,@,DEN,L 15-24,*,5,4,55,13.75,0,80.0%,11.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,3,11%,
15,2022,2022-12-25,15,16,23.033,ARI,,TAM,L 16-19,*,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,64,84%,0,0%,4,12%,
16,2022,2023-01-01,16,17,23.040,ARI,@,ATL,L 19-20,*,10,7,78,11.14,1,70.0%,7.80,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,96%,0,0%,8,32%,
17,2022,2023-01-08,17,18,23.047,ARI,@,SFO,L 13-38,*,3,3,41,13.67,0,100.0%,13.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,83%,0,0%,2,8%,
18,2023,2023-09-10,1,1,23.292,ARI,@,WAS,L 16-20,,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,37%,0,0%,5,18%,
