Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2018,2018-11-25,11,12,23.342,IND,,MIA,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,16%,0,0%,14,48%,
12,2018,2018-12-02,12,13,23.349,IND,@,JAX,L 0-6,,1,1,16,16.00,0,100.0%,16.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,55%,0,0%,9,45%,
13,2018,2018-12-09,13,14,23.356,IND,@,HOU,W 24-21,,6,5,68,13.60,1,83.3%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,52%,0,0%,10,34%,
14,2018,2018-12-16,14,15,23.363,IND,,DAL,W 23-0,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,68%,0,0%,6,40%,
15,2018,2018-12-23,15,16,24.005,IND,,NYG,W 28-27,*,7,4,41,10.25,0,57.1%,5.86,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,52%,0,0%,13,48%,
16,2018,2018-12-30,16,17,24.012,IND,@,TEN,W 33-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,55,27.50,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,54%,0,0%,11,37%,
17,2019,2019-09-08,1,1,24.264,IND,@,LAC,L 24-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,37%,0,0%,13,50%,
18,2019,2019-09-15,2,2,24.271,IND,@,TEN,W 19-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,31,44%,0,0%,16,62%,
19,2019,2019-09-22,3,3,24.278,IND,,ATL,W 27-24,*,3,2,53,26.50,1,66.7%,17.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,45%,0,0%,7,32%,
20,2019,2019-09-29,4,4,24.285,IND,,OAK,L 24-31,,7,4,72,18.00,0,57.1%,10.29,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,69%,0,0%,6,20%,
