Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
89,2023,2023-10-22,7,7,,ARI,@,SEA,L 10-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,2023,2023-10-29,8,8,28.315,ARI,,BAL,L 24-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,14%,0,0%,6,21%,
91,2023,2023-11-05,9,9,28.322,ARI,@,CLE,L 0-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,31,60%,0,0%,17,61%,
92,2023,2023-11-12,10,10,28.329,ARI,,ATL,W 25-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,17,65%,
93,2023,2023-11-19,11,11,,ARI,@,HOU,L 16-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
94,2023,2023-11-26,12,12,28.343,ARI,,LAR,L 14-37,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,7,10%,0,0%,0,0%,
95,2023,2023-12-03,13,13,,ARI,@,PIT,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
96,2023,2023-12-17,14,15,28.364,ARI,,SFO,L 29-45,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,28%,0,0%,17,55%,
97,2023,2023-12-24,15,16,29.006,ARI,@,CHI,L 16-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,9,15%,0,0%,16,55%,
98,2023,2023-12-31,16,17,29.013,ARI,@,PHI,W 35-31,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,17,22%,0,0%,15,60%,
99,2023,2024-01-07,17,18,29.020,ARI,,SEA,L 20-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,19,27%,0,0%,12,46%,
100,2024,2024-09-08,1,1,29.265,ARI,@,BUF,L 28-34,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,4,7%,0,0%,17,63%,
101,2024,2024-09-15,2,2,29.272,ARI,,LAR,W 41-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,8,12%,0,0%,15,60%,
102,2024,2024-09-22,3,3,29.279,ARI,,DET,L 13-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,16,70%,
103,2024,2024-09-29,4,4,29.286,ARI,,WAS,L 14-42,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,6,10%,0,0%,15,65%,
104,2024,2024-10-06,5,5,29.293,ARI,@,SFO,W 24-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,10,17%,0,0%,14,59%,
105,2024,2024-10-13,6,6,29.300,ARI,@,GNB,L 13-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,14%,0,0%,17,63%,
106,2024,2024-10-21,7,7,29.308,ARI,,LAC,W 17-15,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2,4%,0,0%,14,64%,
107,2024,2024-10-27,8,8,29.314,ARI,@,MIA,W 28-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2,3%,0,0%,17,66%,
108,2024,2024-11-03,9,9,29.321,ARI,,CHI,W 29-9,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,3,5%,0,0%,19,68%,
109,2024,2024-11-10,10,10,29.328,ARI,,NYJ,W 31-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,7,12%,0,0%,11,61%,
110,2024,2024-11-24,11,12,29.342,ARI,@,SEA,L 6-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,16,67%,
