Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
30,2023,2023-12-03,13,13,24.322,ARI,@,PIT,W 24-10,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,3,5%,19,79%,
31,2023,2023-12-17,14,15,24.336,ARI,,SFO,L 29-45,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0%,12,21%,26,84%,
32,2023,2023-12-24,15,16,24.343,ARI,@,CHI,L 16-27,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,21,30%,25,86%,
33,2023,2023-12-31,16,17,24.350,ARI,@,PHI,W 35-31,,,,,,,,,,,,,,0,0%,0,0%,20,80%,
34,2023,2024-01-07,17,18,24.357,ARI,,SEA,L 20-21,,,,,,,,,,,,,,0,0%,1,2%,20,77%,
35,2024,2024-09-08,1,1,,ARI,@,BUF,L 28-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2024,2024-09-15,2,2,,ARI,,LAR,W 41-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2024,2024-09-22,3,3,,ARI,,DET,L 13-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2024,2024-09-29,4,4,,ARI,,WAS,L 14-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2024,2024-10-06,5,5,25.265,ARI,@,SFO,W 24-23,,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0%,22,34%,14,59%,
40,2024,2024-10-13,6,6,25.272,ARI,@,GNB,L 13-34,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0%,20,27%,18,67%,
41,2024,2024-10-21,7,7,25.280,ARI,,LAC,W 17-15,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0%,22,33%,19,87%,
42,2024,2024-10-27,8,8,25.286,ARI,@,MIA,W 28-27,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0%,15,23%,17,66%,
43,2024,2024-11-03,9,9,25.293,ARI,,CHI,W 29-9,,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0%,24,32%,19,68%,
44,2024,2024-11-10,10,10,25.300,ARI,,NYJ,W 31-6,,1.0,1,1,2,1,2,0,0,0,0,0,0,0,0%,24,41%,13,72%,
45,2024,2024-11-24,11,12,25.314,ARI,@,SEA,L 6-16,*,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0%,22,34%,21,88%,
