Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,23.330,NWE,,PHI,L 20-25,,2,2,100.0,,,,0,2,0,0%,0,0%,6,21%
2,2023,2023-09-17,2,2,23.337,NWE,,MIA,L 17-24,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,28%
3,2023,2023-09-24,3,3,23.344,NWE,@,NYJ,W 15-10,,1,1,100.0,2,4,50.0,0,7,0,0%,0,0%,9,29%
4,2023,2023-10-01,4,4,23.351,NWE,@,DAL,L 3-38,,,,,1,2,50.0,0,3,0,0%,0,0%,4,15%
5,2023,2023-10-08,5,5,23.358,NWE,,NOR,L 0-34,,,,,,1,0.0,0,0,0,0%,0,0%,2,6%
6,2023,2023-10-15,6,6,24.000,NWE,@,LVR,L 17-21,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,28%
7,2023,2023-10-22,7,7,24.007,NWE,,BUF,W 29-25,,2,2,100.0,3,3,100.0,0,11,0,0%,0,0%,12,50%
8,2023,2023-10-29,8,8,24.014,NWE,@,MIA,L 17-31,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,27%
9,2023,2023-11-05,9,9,24.021,NWE,,WAS,L 17-20,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,25%
10,2023,2023-11-12,10,10,24.028,NWE,,IND,L 6-10,,,,,2,3,66.7,0,6,0,0%,0,0%,6,29%
11,2023,2023-11-26,11,12,24.042,NWE,@,NYG,L 7-10,,1,1,100.0,,1,0.0,0,1,0,0%,0,0%,4,17%
12,2023,2023-12-03,12,13,24.049,NWE,,LAC,L 0-6,,,,,,,,0,0,0,0%,0,0%,1,5%
13,2023,2023-12-07,13,14,24.053,NWE,@,PIT,W 21-18,,3,3,100.0,,,,0,3,0,0%,0,0%,7,25%
14,2023,2023-12-17,14,15,24.063,NWE,,KAN,L 17-27,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,8,27%
15,2023,2023-12-24,15,16,24.070,NWE,@,DEN,W 26-23,,2,3,66.7,2,3,66.7,0,8,0,0%,0,0%,12,36%
16,2023,2023-12-31,16,17,24.077,NWE,@,BUF,L 21-27,,3,3,100.0,,1,0.0,0,3,0,0%,0,0%,8,28%
17,2023,2024-01-07,17,18,24.084,NWE,,NYJ,L 3-17,,,,,1,1,100.0,0,3,0,0%,0,0%,3,11%
18,2024,2024-10-06,5,5,24.357,ARI,@,SFO,W 24-23,,1,1,100.0,3,4,75.0,0,10,0,0%,0,0%,11,46%
19,2024,2024-10-13,6,6,24.364,ARI,@,GNB,L 13-34,,1,1,100.0,2,2,100.0,0,7,0,0%,0,0%,7,26%
20,2024,2024-10-21,7,7,25.006,ARI,,LAC,W 17-15,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,6,27%
21,2024,2024-10-27,8,8,25.012,ARI,@,MIA,W 28-27,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,9,35%
22,2024,2024-11-03,9,9,25.019,ARI,,CHI,W 29-9,,3,3,100.0,2,2,100.0,0,9,0,0%,0,0%,12,43%
23,2024,2024-11-10,10,10,25.026,ARI,,NYJ,W 31-6,,4,4,100.0,1,1,100.0,0,7,0,0%,0,0%,10,56%
24,2024,2024-11-24,11,12,25.040,ARI,@,SEA,L 6-16,,,,,2,3,66.7,0,6,0,0%,0,0%,6,25%
