Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,ARI,@,WAS,L 16-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,,ARI,,NYG,L 28-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2023,2023-09-24,3,3,,ARI,,DAL,W 28-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2023,2023-10-01,4,4,,ARI,@,SFO,L 16-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-08,5,5,,ARI,,CIN,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-15,6,6,,ARI,@,LAR,L 9-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-22,7,7,22.360,ARI,@,SEA,L 10-20,,1,1,0,0.00,0,100.0%,0.00,0,0,0.0,0,0,0,0,0,6,9%,0,0%,7,29%,
8,2023,2023-10-29,8,8,23.002,ARI,,BAL,L 24-31,,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,0,12,16%,0,0%,15,54%,
9,2023,2023-11-05,9,9,23.009,ARI,@,CLE,L 0-27,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,15,29%,0,0%,12,43%,
10,2023,2023-11-12,10,10,23.016,ARI,,ATL,W 25-23,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,12,18%,0,0%,9,35%,
11,2023,2023-11-19,11,11,23.023,ARI,@,HOU,L 16-21,,2,1,2,2.00,0,50.0%,1.00,0,0,0.0,0,0,0,0,0,9,15%,0,0%,5,28%,
12,2023,2023-11-26,12,12,23.030,ARI,,LAR,L 14-37,*,2,1,26,26.00,0,50.0%,13.00,0,0,0.0,0,0,0,0,0,19,27%,0,0%,9,32%,
13,2023,2023-12-03,13,13,23.037,ARI,@,PIT,W 24-10,,2,1,21,21.00,0,50.0%,10.50,0,0,0.0,0,0,0,0,0,22,32%,0,0%,8,33%,
14,2023,2023-12-17,14,15,23.051,ARI,,SFO,L 29-45,,4,4,44,11.00,1,100.0%,11.00,1,6,0.0,0,0,0,0,0,25,34%,0,0%,12,39%,
15,2023,2023-12-24,15,16,23.058,ARI,@,CHI,L 16-27,,3,2,17,8.50,0,66.7%,5.67,0,0,0.0,0,0,0,0,0,17,28%,0,0%,16,55%,
16,2023,2023-12-31,16,17,23.065,ARI,@,PHI,W 35-31,*,2,2,21,10.50,0,100.0%,10.50,0,0,0.0,0,0,0,0,0,28,37%,0,0%,6,24%,
17,2023,2024-01-07,17,18,23.072,ARI,,SEA,L 20-21,,2,2,32,16.00,0,100.0%,16.00,0,0,0.0,0,1,1,0,0,27,39%,0,0%,12,46%,
18,2024,2024-09-08,1,1,23.317,ARI,@,BUF,L 28-34,,2,2,12,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,0,0,25,41%,0,0%,10,37%,
19,2024,2024-09-15,2,2,23.324,ARI,,LAR,W 41-10,,1,1,18,18.00,1,100.0%,18.00,1,6,0.0,0,0,0,0,0,36,55%,0,0%,4,16%,
20,2024,2024-09-22,3,3,23.331,ARI,,DET,L 13-20,,1,1,11,11.00,0,100.0%,11.00,0,0,0.0,0,0,0,0,0,19,32%,0,0%,13,57%,
21,2024,2024-09-29,4,4,23.338,ARI,,WAS,L 14-42,*,3,2,12,6.00,0,66.7%,4.00,0,0,0.0,0,0,0,0,0,40,68%,0,0%,4,17%,
22,2024,2024-10-06,5,5,23.345,ARI,@,SFO,W 24-23,*,1,1,2,2.00,1,100.0%,2.00,1,6,0.0,0,0,0,0,0,24,41%,0,0%,13,54%,
23,2024,2024-10-13,6,6,23.352,ARI,@,GNB,L 13-34,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,18,31%,0,0%,14,52%,
24,2024,2024-10-21,7,7,23.360,ARI,,LAC,W 17-15,,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,0,0,0,0,0,21,37%,0,0%,10,46%,
25,2024,2024-10-27,8,8,24.000,ARI,@,MIA,W 28-27,*,2,2,13,6.50,0,100.0%,6.50,0,0,0.0,0,0,0,0,0,19,29%,0,0%,10,39%,
26,2024,2024-11-03,9,9,24.007,ARI,,CHI,W 29-9,,2,2,34,17.00,0,100.0%,17.00,0,0,0.0,0,0,0,0,0,25,43%,0,0%,9,32%,
