Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.232,ARI,@,BUF,L 28-34,,,,,,,,,,,,0.0,0%,0.0,0%,21.0,78%
2.0,2024.0,2024-09-15,2.0,2.0,23.239,ARI,,LAR,W 41-10,,,,,,,,,,,,0.0,0%,8.0,15%,16.0,64%
3.0,2024.0,2024-09-22,3.0,3.0,23.246,ARI,,DET,L 13-20,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,2.0,3%,14.0,61%
4.0,2024.0,2024-09-29,4.0,4.0,23.253,ARI,,WAS,L 14-42,,,,,,,,,,,,0.0,0%,2.0,3%,17.0,74%
5.0,2024.0,2024-10-06,5.0,5.0,23.26,ARI,@,SFO,W 24-23,,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0%,22.0,34%,16.0,67%
6.0,2024.0,2024-10-13,6.0,6.0,23.267,ARI,@,GNB,L 13-34,,,,,,,,,,,,0.0,0%,0.0,0%,19.0,70%
7.0,2024.0,2024-10-21,7.0,7.0,23.275,ARI,,LAC,W 17-15,,,,,,,,,,,,0.0,0%,2.0,3%,15.0,68%
8.0,2024.0,2024-10-27,8.0,8.0,23.281,ARI,@,MIA,W 28-27,,,,,,,,,,,,0.0,0%,6.0,9%,19.0,73%
9.0,2024.0,2024-11-03,9.0,9.0,23.288,ARI,,CHI,W 29-9,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,10.0,14%,18.0,64%
10.0,2024.0,2024-11-10,10.0,10.0,23.295,ARI,,NYJ,W 31-6,*,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0%,58.0,100%,2.0,11%
11.0,2024.0,2024-11-24,11.0,12.0,23.309,ARI,@,SEA,L 6-16,*,0.0,6.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0%,62.0,97%,3.0,12%
