Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,22.128,PIT,@,CLE,W 21-18,,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,13%,0,0%,3,12%,
2,2017,2017-09-17,2,2,22.135,PIT,,MIN,W 26-9,,1,9,9.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,5%,0,0%,1,3%,
3,2017,2017-09-24,3,3,22.142,PIT,@,CHI,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,11%,
4,2017,2017-10-01,4,4,22.149,PIT,@,BAL,W 26-9,,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,3,12%,
5,2017,2017-10-08,5,5,22.156,PIT,,JAX,L 9-30,,3,9,3.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,6,23%,
6,2017,2017-10-15,6,6,22.163,PIT,@,KAN,W 19-13,,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,8%,0,0%,5,20%,
7,2017,2017-10-22,7,7,22.170,PIT,,CIN,W 29-14,,3,19,6.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,5,19%,
8,2017,2017-10-29,8,8,22.177,PIT,@,DET,W 20-15,,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,6,22%,
9,2017,2017-11-12,9,10,22.191,PIT,@,IND,W 20-17,,1,12,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,4,13%,
10,2017,2017-11-16,10,11,22.195,PIT,,TEN,W 40-17,,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,11%,0,0%,4,13%,
11,2017,2017-11-26,11,12,22.205,PIT,,GNB,W 31-28,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,5,18%,
12,2017,2017-12-04,12,13,22.213,PIT,@,CIN,W 23-20,,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,7,26%,
13,2017,2017-12-10,13,14,22.219,PIT,,BAL,W 39-38,,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,8%,0,0%,12,34%,
14,2017,2017-12-17,14,15,22.226,PIT,,NWE,L 24-27,,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,5,20%,
15,2017,2017-12-25,,16,,PIT,@,HOU,W 34-6,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2017,2017-12-31,,17,,PIT,,CLE,W 28-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
