Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2014,2014-11-02,9,9,25.147,PIT,,BAL,W 43-23,*,0,0,0,0,0,0,69,100%,0,0%,6,18%,
42,2014,2014-11-09,10,10,25.154,PIT,@,NYJ,L 13-20,*,0,,,0,0,0,64,100%,0,0%,4,15%,
43,2014,2014-11-17,11,11,25.162,PIT,@,TEN,W 27-24,*,0,,,0,0,0,73,100%,0,0%,5,19%,
44,2014,2014-11-30,12,13,25.175,PIT,,NOR,L 32-35,*,0,,,0,0,0,89,100%,0,0%,5,17%,
45,2014,2014-12-07,13,14,25.182,PIT,@,CIN,W 42-21,*,0,,,0,0,0,73,100%,0,0%,6,17%,
46,2014,2014-12-14,14,15,25.189,PIT,@,ATL,W 27-20,*,0,,,0,0,0,59,100%,0,0%,5,19%,
47,2014,2014-12-21,15,16,25.196,PIT,,KAN,W 20-12,*,0,,,0,0,0,54,100%,0,0%,4,18%,
48,2014,2014-12-28,16,17,25.203,PIT,,CIN,W 27-17,*,0,,,0,0,0,59,100%,0,0%,5,19%,
49,2015,2015-09-10,1,1,26.094,PIT,@,NWE,L 21-28,*,0,0,0,0,0,0,72,100%,0,0%,5,19%,
50,2015,2015-09-20,2,2,26.104,PIT,,SFO,W 43-18,*,0,0,0,0,0,0,57,100%,0,0%,5,20%,
51,2015,2015-09-27,3,3,26.111,PIT,@,STL,W 12-6,*,0,0,0,0,0,0,63,100%,0,0%,2,10%,
52,2015,2015-10-01,4,4,26.115,PIT,,BAL,L 20-23,*,0,0,0,0,0,0,63,100%,0,0%,6,19%,
53,2015,2015-10-12,5,5,26.126,PIT,@,SDG,W 24-20,*,0,0,0,0,0,0,56,98%,0,0%,4,13%,
54,2015,2015-10-18,6,6,26.132,PIT,,ARI,W 25-13,*,0,0,0,0,0,0,14,25%,0,0%,0,0%,
55,2015,2015-10-25,,7,,PIT,@,KAN,L 13-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
56,2015,2015-11-01,,8,,PIT,,CIN,L 10-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
57,2015,2015-11-08,,9,,PIT,,OAK,W 38-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
58,2015,2015-11-15,,10,,PIT,,CLE,W 30-9,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
59,2015,2015-11-29,,12,,PIT,@,SEA,L 30-39,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
60,2015,2015-12-06,,13,,PIT,,IND,W 45-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
61,2015,2015-12-13,,14,,PIT,@,CIN,W 33-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
62,2015,2015-12-20,,15,,PIT,,DEN,W 34-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
63,2015,2015-12-27,,16,,PIT,@,BAL,L 17-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
64,2015,2016-01-03,,17,,PIT,@,CLE,W 28-12,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
65,2016,2016-09-11,1,1,27.095,JAX,,GNB,L 23-27,*,0,0,0,0,0,0,72,100%,0,0%,5,18%,
66,2016,2016-09-18,2,2,27.102,JAX,@,SDG,L 14-38,*,0,0,0,0,0,0,44,67%,0,0%,1,4%,
67,2016,2016-09-25,,3,,JAX,,BAL,L 17-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,2016,2016-10-02,4,4,27.116,JAX,,IND,W 30-27,*,0,0,0,0,0,0,72,100%,0,0%,6,19%,
69,2016,2016-10-16,5,6,27.130,JAX,@,CHI,W 17-16,*,0,0,0,0,0,0,60,100%,0,0%,3,11%,
70,2016,2016-10-23,6,7,27.137,JAX,,OAK,L 16-33,*,0,0,0,0,0,0,68,100%,0,0%,4,11%,
71,2016,2016-10-27,7,8,27.141,JAX,@,TEN,L 22-36,*,0,0,0,0,0,0,72,100%,0,0%,2,7%,
72,2016,2016-11-06,8,9,27.151,JAX,@,KAN,L 14-19,*,0,0,0,0,0,0,77,100%,0,0%,3,11%,
