Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,22.069,ARI,@,WAS,L 16-20,*,,,,,,,62,100%,0,0%,4,14%
2,2023,2023-09-17,2,2,22.076,ARI,,NYG,L 28-31,*,,,,,,,65,100%,0,0%,5,18%
3,2023,2023-09-24,3,3,22.083,ARI,,DAL,W 28-16,*,,,,,,,61,100%,0,0%,6,24%
4,2023,2023-10-01,4,4,22.090,ARI,@,SFO,L 16-35,*,,,,,,,71,100%,0,0%,2,9%
5,2023,2023-10-08,5,5,22.097,ARI,,CIN,L 20-34,*,,,,,,,57,100%,0,0%,3,11%
6,2023,2023-10-15,6,6,22.104,ARI,@,LAR,L 9-26,*,,,,,,,76,100%,0,0%,3,11%
7,2023,2023-10-22,7,7,22.111,ARI,@,SEA,L 10-20,*,0,0,0,0,0,0,66,100%,0,0%,3,13%
8,2023,2023-10-29,8,8,22.118,ARI,,BAL,L 24-31,*,,,,,,,77,100%,0,0%,2,7%
9,2023,2023-11-05,9,9,22.125,ARI,@,CLE,L 0-27,*,,,,,,,52,100%,0,0%,0,0%
10,2023,2023-11-12,10,10,22.132,ARI,,ATL,W 25-23,*,,,,,,,65,100%,0,0%,5,19%
11,2023,2023-11-19,11,11,22.139,ARI,@,HOU,L 16-21,*,,,,,,,61,100%,0,0%,2,11%
12,2023,2023-11-26,12,12,22.146,ARI,,LAR,L 14-37,*,0,0,0,0,0,0,71,100%,0,0%,3,11%
13,2023,2023-12-03,13,13,22.153,ARI,@,PIT,W 24-10,*,,,,,,,68,100%,0,0%,4,17%
14,2023,2023-12-17,14,15,22.167,ARI,,SFO,L 29-45,*,0,0,0,1,0,0,74,100%,0,0%,5,16%
15,2023,2023-12-24,15,16,22.174,ARI,@,CHI,L 16-27,*,,,,,,,61,100%,0,0%,2,7%
16,2023,2023-12-31,16,17,22.181,ARI,@,PHI,W 35-31,*,,,,,,,76,100%,0,0%,5,20%
17,2023,2024-01-07,17,18,22.188,ARI,,SEA,L 20-21,*,,,,,,,70,100%,0,0%,6,23%
18,2024,2024-09-08,1,1,23.067,ARI,@,BUF,L 28-34,*,,,,,,,61,100%,0,0%,4,15%
19,2024,2024-09-15,2,2,23.074,ARI,,LAR,W 41-10,*,,,,,,,60,91%,0,0%,7,28%
20,2024,2024-09-22,3,3,23.081,ARI,,DET,L 13-20,*,,,,,,,59,100%,0,0%,3,13%
21,2024,2024-09-29,4,4,23.088,ARI,,WAS,L 14-42,*,,,,,,,59,100%,0,0%,2,9%
22,2024,2024-10-06,5,5,23.095,ARI,@,SFO,W 24-23,*,,,,,,,58,100%,0,0%,5,21%
23,2024,2024-10-13,6,6,23.102,ARI,@,GNB,L 13-34,*,,,,,,,58,100%,0,0%,3,11%
24,2024,2024-10-21,7,7,23.110,ARI,,LAC,W 17-15,*,,,,,,,57,100%,0,0%,3,14%
25,2024,2024-10-27,8,8,23.116,ARI,@,MIA,W 28-27,*,,,,,,,66,100%,0,0%,4,15%
26,2024,2024-11-03,9,9,23.123,ARI,,CHI,W 29-9,*,,,,,,,58,100%,0,0%,6,21%
27,2024,2024-11-10,10,10,23.130,ARI,,NYJ,W 31-6,*,,,,,,,52,88%,0,0%,5,28%
28,2024,2024-11-24,11,12,23.144,ARI,@,SEA,L 6-16,*,,,,,,,58,100%,0,0%,3,12%
