Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,SEA,@,ATL,W 38-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2020,2020-09-20,2,2,,SEA,,NWE,W 35-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2020,2020-09-27,3,3,22.011,SEA,,DAL,W 38-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,12,35%,
4,2020,2020-10-04,4,4,22.018,SEA,@,MIA,W 31-23,,2,8,4.00,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,11,17%,0,0%,16,62%,
5,2020,2020-10-11,5,5,22.025,SEA,,MIN,W 27-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,72%,
6,2020,2020-10-25,6,7,22.039,SEA,@,ARI,L 34-37,,0,0,,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,14%,0,0%,17,52%,
7,2020,2020-11-01,7,8,22.046,SEA,,SFO,W 37-27,*,18,41,2.28,1,5,5,17,3.40,1,100.0%,3.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,54,79%,0,0%,2,7%,
8,2020,2020-11-08,8,9,22.053,SEA,@,BUF,L 34-44,*,7,31,4.43,1,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,20,31%,0,0%,2,6%,
9,2020,2020-11-15,9,10,22.060,SEA,@,LAR,L 16-23,,2,8,4.00,0,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,33%,0,0%,8,33%,
10,2020,2020-11-19,10,11,22.064,SEA,,ARI,W 28-21,,1,13,13.00,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,11,42%,
11,2020,2020-11-30,11,12,22.075,SEA,@,PHI,W 23-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,18,72%,
12,2020,2020-12-06,12,13,22.081,SEA,,NYG,L 12-17,,0,0,,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,18,67%,
13,2020,2020-12-13,13,14,22.088,SEA,,NYJ,W 40-3,,4,7,1.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,11%,0,0%,15,54%,
14,2020,2020-12-20,14,15,22.095,SEA,@,WAS,W 20-15,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,9,38%,
15,2020,2020-12-27,15,16,,SEA,,LAR,W 20-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
