Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,NYG,,DAL,L 0-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2023,2023-09-17,2,2,,NYG,@,ARI,W 31-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2023,2023-09-21,3,3,,NYG,@,SFO,L 12-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2023,2023-10-02,4,4,,NYG,,SEA,L 3-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2023,2023-10-08,5,5,,NYG,@,MIA,L 16-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2023,2023-10-15,6,6,,NYG,@,BUF,L 9-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2023,2023-10-22,7,7,,NYG,,WAS,W 14-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2023,2023-10-29,8,8,25.083,NYG,,NYJ,L 10-13,,2,7,28.57,-1,0,0,39.6,2,9,-0.14,-0.14,4,12,3.00,1,1,6,0,0,0,0,0,0,50,67%,0,0%,0,0%,
9,2023,2023-11-05,9,9,25.090,NYG,@,LVR,L 6-30,,15,20,75.00,175,1,2,78.1,6,29,8.75,5.25,4,17,4.25,0,0,0,0,0,0,0,0,0,42,67%,0,0%,0,0%,
10,2023,2023-11-12,10,10,25.097,NYG,@,DAL,L 17-49,*,14,27,51.85,86,2,1,67.8,5,25,3.19,3.00,7,41,5.86,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
11,2023,2023-11-19,11,11,25.104,NYG,@,WAS,W 31-19,*,18,26,69.23,246,3,0,137.7,9,45,9.46,11.77,1,7,7.00,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
12,2023,2023-11-26,12,12,25.111,NYG,,NWE,W 10-7,*,17,25,68.00,191,1,0,103.9,6,29,7.64,8.44,5,6,1.20,0,0,0,2,1,0,1,-1,0,52,100%,0,0%,0,0%,
13,2023,2023-12-11,13,14,25.126,NYG,,GNB,W 24-22,*,17,21,80.95,158,1,0,113.9,0,0,7.52,8.48,10,71,7.10,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
14,2023,2023-12-17,14,15,25.132,NYG,@,NOR,L 6-24,*,20,34,58.82,177,0,0,72.8,7,57,5.21,5.21,4,36,9.00,0,0,0,0,0,0,0,0,0,58,94%,0,0%,0,0%,
15,2023,2023-12-25,15,16,25.140,NYG,@,PHI,L 25-33,*,9,16,56.25,55,0,0,63.3,1,2,3.44,3.44,1,5,5.00,0,0,0,0,0,0,0,0,0,32,51%,0,0%,0,0%,
16,2023,2023-12-31,16,17,,NYG,,LAR,L 25-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2023,2024-01-07,17,18,25.153,NYG,,PHI,W 27-10,,2,2,100.00,14,0,0,95.8,1,0,7.00,7.00,0,0,,0,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,
18,2024,2024-09-08,1,1,,NYG,,MIN,L 6-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2024,2024-09-15,2,2,,NYG,@,WAS,L 18-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2024,2024-09-22,3,3,,NYG,@,CLE,W 21-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-26,4,4,,NYG,,DAL,L 15-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2024,2024-10-06,5,5,,NYG,@,SEA,W 29-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
