Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
30,2011,2011-11-20,10,11,24.225,WAS,,DAL,L 24-27,,3,3,100.0,1,3,33.3,0,6,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,,,,
31,2011,2011-11-27,11,12,24.232,WAS,@,SEA,W 23-17,,2,3,66.7,1,2,50.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,,,,
32,2011,2011-12-04,12,13,24.239,WAS,,NYJ,L 19-34,,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,,,,
33,2011,2011-12-11,13,14,24.246,WAS,,NWE,L 27-34,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,,,,
34,2011,2011-12-18,14,15,24.253,WAS,@,NYG,W 23-10,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,,,,
35,2011,2011-12-24,15,16,24.259,WAS,,MIN,L 26-33,,2,2,100.0,4,4,100.0,0,14,0.0,1,1,2,0,0,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,,,,
36,2011,2012-01-01,16,17,24.267,WAS,@,PHI,L 10-34,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,,,,,,,
37,2012,2012-11-26,11,12,25.231,CAR,@,PHI,W 30-22,,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,39%,
38,2012,2012-12-02,12,13,25.237,CAR,@,KAN,L 21-27,,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,29%,
39,2012,2012-12-09,13,14,25.244,CAR,,ATL,W 30-20,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,50%,
