Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,21.249,NYG,@,TEN,W 21-20,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0,0,0,0,0,0,9,15%,0,0%,0,0%,
2,2022,2022-09-18,2,2,,NYG,,CAR,W 19-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2022,2022-09-26,3,3,,NYG,,DAL,L 16-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2022,2022-10-02,4,4,,NYG,,CHI,W 20-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2022,2022-10-09,5,5,,NYG,@,GNB,W 27-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2022,2022-10-16,6,6,21.284,NYG,,BAL,W 24-20,,4,3,37,12.33,1,75.0%,9.25,0,0,,0,1,6,0,0,0,0,0,0,15,23%,0,0%,0,0%,
7,2022,2022-10-23,7,7,21.291,NYG,@,JAX,W 23-17,,8,6,50,8.33,0,75.0%,6.25,0,0,,0,0,0,0,0,0,0,0,0,53,69%,0,0%,0,0%,
8,2022,2022-10-30,8,8,21.298,NYG,@,SEA,L 13-27,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,0,0,0,0,0,0,45,69%,0,0%,0,0%,
9,2022,2022-11-13,9,10,21.312,NYG,,HOU,W 24-16,*,2,2,20,10.00,0,100.0%,10.00,1,-5,-5.00,0,0,0,0,0,0,0,0,0,52,75%,0,0%,0,0%,
10,2022,2022-11-20,10,11,21.319,NYG,,DET,L 18-31,*,13,9,100,11.11,0,69.2%,7.69,1,4,4.00,0,0,0,0,0,0,0,0,0,55,72%,0,0%,0,0%,
