Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2020,2020-09-13,1,1,23.036,GNB,@,MIN,W 43-34,,0,,,0,0,0,15,19%,0,0%,7,27%
2,2020,2020-09-20,2,2,23.043,GNB,,DET,W 42-21,,0,,,0,0,0,8,11%,0,0%,6,20%
3,2020,2020-09-27,3,3,23.050,GNB,@,NOR,W 37-30,,0,,,0,0,0,0,0%,0,0%,7,22%
4,2020,2020-10-05,4,4,23.058,GNB,,ATL,W 30-16,,0,,,0,0,0,0,0%,0,0%,5,22%
5,2020,2020-10-18,5,6,23.071,GNB,@,TAM,L 10-38,,0,,,0,0,0,0,0%,0,0%,2,7%
6,2020,2020-10-25,6,7,23.078,GNB,@,HOU,W 35-20,,0,,,0,0,0,2,3%,0,0%,5,17%
7,2020,2020-11-01,7,8,23.085,GNB,,MIN,L 22-28,,0,,,0,0,0,0,0%,0,0%,2,11%
8,2020,2020-11-05,8,9,23.089,GNB,@,SFO,W 34-17,,0,,,0,0,0,31,47%,0,0%,6,22%
9,2020,2020-11-15,9,10,23.099,GNB,,JAX,W 24-20,,0,,,0,0,0,0,0%,0,0%,4,13%
10,2020,2020-11-22,10,11,23.106,GNB,@,IND,L 31-34,,0,,,0,0,0,50,83%,0,0%,5,16%
11,2020,2020-11-29,11,12,23.113,GNB,,CHI,W 41-25,,0,,,0,0,0,50,70%,0,0%,6,24%
12,2020,2020-12-06,12,13,23.120,GNB,,PHI,W 30-16,,0,,,0,0,0,0,0%,0,0%,5,19%
13,2020,2020-12-13,13,14,23.127,GNB,@,DET,W 31-24,,0,,,0,0,0,0,0%,0,0%,6,23%
14,2020,2020-12-19,14,15,23.133,GNB,,CAR,W 24-16,,0,,,0,0,0,1,2%,0,0%,4,14%
15,2020,2020-12-27,15,16,23.141,GNB,,TEN,W 40-14,,0,,,0,0,0,3,5%,0,0%,6,27%
16,2020,2021-01-03,16,17,23.148,GNB,@,CHI,W 35-16,,0,,,0,0,0,0,0%,0,0%,5,22%
17,2021,2021-09-12,1,1,24.035,GNB,@,NOR,L 3-38,,,,,,,,0,0%,0,0%,1,5%
18,2021,2021-09-20,2,2,24.043,GNB,,DET,W 35-17,*,,,,,,,65,100%,0,0%,5,22%
19,2021,2021-09-26,3,3,24.049,GNB,@,SFO,W 30-28,*,,,,,,,63,100%,0,0%,6,22%
20,2021,2021-10-03,4,4,24.056,GNB,,PIT,W 27-17,*,,,,,,,72,100%,0,0%,6,24%
21,2021,2021-10-10,5,5,24.063,GNB,@,CIN,W 25-22,*,,,,,,,64,100%,0,0%,9,29%
22,2021,2021-10-17,6,6,24.070,GNB,@,CHI,W 24-14,*,,,,,,,59,100%,0,0%,4,19%
23,2021,2021-10-24,7,7,24.077,GNB,,WAS,W 24-10,*,,,,,,,56,100%,0,0%,5,26%
24,2021,2021-10-28,8,8,24.081,GNB,@,ARI,W 24-21,*,,,,,,,73,100%,0,0%,4,18%
25,2021,2021-11-07,9,9,24.091,GNB,@,KAN,L 7-13,*,,,,,,,58,92%,0,0%,3,14%
26,2021,2021-11-14,10,10,24.098,GNB,,SEA,W 17-0,*,,,,,,,74,100%,0,0%,4,22%
27,2021,2021-11-21,11,11,24.105,GNB,@,MIN,L 31-34,*,,,,,,,59,100%,0,0%,6,21%
28,2021,2021-11-28,12,12,24.112,GNB,,LAR,W 36-28,*,,,,,,,82,100%,0,0%,7,19%
29,2021,2021-12-12,13,14,24.126,GNB,,CHI,W 45-30,*,,,,,,,65,100%,0,0%,7,19%
30,2021,2021-12-19,14,15,24.133,GNB,@,BAL,W 31-30,*,,,,,,,62,100%,0,0%,5,20%
31,2021,2021-12-25,15,16,24.139,GNB,,CLE,W 24-22,*,,,,,,,59,100%,0,0%,4,17%
32,2021,2022-01-02,16,17,24.147,GNB,,MIN,W 37-10,*,,,,,,,74,99%,0,0%,7,26%
33,2021,2022-01-09,17,18,24.154,GNB,@,DET,L 30-37,*,,,,,,,68,100%,0,0%,3,11%
34,2022,2022-09-11,1,1,25.034,GNB,@,MIN,L 7-23,*,,,,,,,31,51%,0,0%,0,0%
35,2022,2022-09-18,2,2,25.041,GNB,,CHI,W 27-10,*,,,,,,,68,100%,0,0%,5,23%
36,2022,2022-09-25,3,3,25.048,GNB,@,TAM,W 14-12,*,,,,,,,62,100%,0,0%,2,8%
37,2022,2022-10-02,4,4,25.055,GNB,,NWE,W 27-24,*,,,,,,,73,100%,0,0%,5,16%
38,2022,2022-10-09,5,5,25.062,GNB,,NYG,L 22-27,*,0,0,0,1,0,0,63,100%,0,0%,4,15%
39,2022,2022-10-16,6,6,25.069,GNB,,NYJ,L 10-27,*,,,,,,,73,100%,0,0%,3,10%
40,2022,2022-10-23,7,7,25.076,GNB,@,WAS,L 21-23,*,,,,,,,54,100%,0,0%,3,10%
41,2022,2022-10-30,8,8,25.083,GNB,@,BUF,L 17-27,*,,,,,,,66,100%,0,0%,4,18%
42,2022,2022-11-06,9,9,25.090,GNB,@,DET,L 9-15,*,,,,,,,61,82%,0,0%,0,0%
43,2022,2022-11-13,10,10,25.097,GNB,,DAL,W 31-28,*,,,,,,,64,100%,0,0%,6,20%
44,2022,2022-11-17,11,11,25.101,GNB,,TEN,L 17-27,*,,,,,,,61,100%,0,0%,2,9%
45,2022,2022-11-27,12,12,25.111,GNB,@,PHI,L 33-40,*,,,,,,,49,100%,0,0%,6,19%
46,2022,2022-12-04,13,13,25.118,GNB,@,CHI,W 28-19,*,,,,,,,66,100%,0,0%,4,17%
