Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,21.354,NYG,@,TEN,W 21-20,*,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,29,48%,0,0%,0,0%,
2,2022,2022-09-18,2,2,21.361,NYG,,CAR,W 19-16,,1,1,16,16.00,1,100.0%,16.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,58%,0,0%,0,0%,
3,2022,2022-09-26,3,3,22.004,NYG,,DAL,L 16-23,*,5,4,40,10.00,0,80.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,60%,0,0%,0,0%,
4,2022,2022-10-02,4,4,22.010,NYG,,CHI,W 20-12,*,3,3,23,7.67,0,100.0%,7.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,60%,0,0%,0,0%,
5,2022,2022-10-09,5,5,22.017,NYG,@,GNB,W 27-22,*,3,2,22,11.00,0,66.7%,7.33,1,2,2.00,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,1,4%,
6,2022,2022-10-16,6,6,22.024,NYG,,BAL,W 24-20,*,5,5,38,7.60,1,100.0%,7.60,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,94%,0,0%,5,19%,
7,2022,2022-10-23,7,7,22.031,NYG,@,JAX,W 23-17,*,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,34%,0,0%,4,18%,
8,2022,2022-10-30,8,8,,NYG,@,SEA,L 13-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2022,2022-11-13,9,10,,NYG,,HOU,W 24-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2022,2022-11-20,10,11,,NYG,,DET,L 18-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
