Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,21.357,TEN,,OAK,L 16-26,*,0,0,,0,1,35,35.00,0,1,5,5.00,0,0,0,0.0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,62,94%,14,47%,
2,2017,2017-09-17,2,2,21.364,TEN,@,JAX,W 37-16,*,0,0,,0,0,0,,0,2,55,27.50,0,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,85%,9,32%,
3,2017,2017-09-24,3,3,22.006,TEN,,SEA,W 33-27,*,0,0,,0,2,27,13.50,0,5,51,10.20,0,0,0,0.0,3,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,72,99%,14,39%,
4,2017,2017-10-01,4,4,22.013,TEN,@,HOU,L 14-57,*,0,0,,0,3,71,23.67,0,1,3,3.00,0,0,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,78,93%,21,64%,
5,2017,2017-10-08,5,5,22.020,TEN,@,MIA,L 10-16,*,0,0,,0,1,21,21.00,0,2,14,7.00,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,50,85%,14,45%,
6,2017,2017-10-16,6,6,22.028,TEN,,IND,W 36-22,*,0,0,,0,2,46,23.00,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,88%,9,28%,
7,2017,2017-10-22,7,7,22.034,TEN,@,CLE,W 12-9,*,0,0,,0,0,0,,0,3,20,6.67,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,96%,11,44%,
8,2017,2017-11-05,8,9,22.048,TEN,,BAL,W 23-20,*,1,20,20.00,0,1,4,4.00,0,2,22,11.00,0,0,0,0.0,6,2,8,0,0,0,0,0,1,0,0,0,0,0,0,1,2%,66,87%,13,45%,
9,2017,2017-11-12,9,10,22.055,TEN,,CIN,W 24-20,*,3,30,10.00,0,3,71,23.67,0,3,17,5.67,0,0,0,0.0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,7,8%,49,96%,14,48%,
10,2017,2017-11-16,10,11,22.059,TEN,@,PIT,L 17-40,*,1,5,5.00,0,5,103,20.60,0,1,10,10.00,0,0,0,0.0,11,0,11,0,0,0,0,0,2,0,0,1,0,0,0,3,5%,69,92%,20,65%,
11,2017,2017-11-26,11,12,22.069,TEN,@,IND,W 20-16,*,0,0,,0,1,15,15.00,0,2,7,3.50,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,14,52%,
12,2017,2017-12-03,12,13,22.076,TEN,,HOU,W 24-13,*,0,0,,0,0,0,,0,2,41,20.50,0,0,0,0.0,3,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0%,81,100%,12,46%,
13,2017,2017-12-10,13,14,22.083,TEN,@,ARI,L 7-12,*,0,0,,0,2,55,27.50,0,3,14,4.67,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2%,59,91%,16,59%,
14,2017,2017-12-17,14,15,22.090,TEN,@,SFO,L 23-25,*,0,0,,0,1,21,21.00,0,1,0,0.00,0,0,0,0.0,8,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,66,94%,15,54%,
15,2017,2017-12-24,15,16,22.097,TEN,,LAR,L 23-27,*,0,0,,0,3,109,36.33,0,2,12,6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,100%,15,48%,
16,2017,2017-12-31,16,17,22.104,TEN,,JAX,W 15-10,*,0,0,,0,0,0,,0,4,19,4.75,0,0,0,0.0,5,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0%,60,100%,14,45%,
17,2018,2018-09-09,1,1,22.356,TEN,@,MIA,L 20-27,,0,0,,0,0,0,,0,1,26,26.00,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,77%,8,29%,
18,2018,2018-09-16,2,2,22.363,TEN,,HOU,W 20-17,*,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,6,0,6,1,0,1,0,0,2,0,0,0,0,0,0,0,0%,64,96%,8,30%,
19,2018,2018-09-23,3,3,23.005,TEN,@,JAX,W 9-6,,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,23,40%,5,19%,
20,2018,2018-09-30,4,4,23.012,TEN,,PHI,W 26-23,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,99%,5,16%,
21,2018,2018-10-07,5,5,23.019,TEN,@,BUF,L 12-13,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1,4,0,0,1,7,0,1,0,0,0,0,0,0,0,0%,45,69%,5,24%,
22,2018,2018-10-14,6,6,23.026,TEN,,BAL,L 0-21,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,97%,6,27%,
23,2018,2018-10-21,7,7,23.033,TEN,@,LAC,L 19-20,*,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,100%,7,30%,
24,2018,2018-11-05,8,9,23.048,TEN,@,DAL,W 28-14,*,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,6,30%,
25,2018,2018-11-11,9,10,23.054,TEN,,NWE,W 34-10,*,0,0,,0,0,0,,0,3,42,14.00,0,0,0,0.0,3,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0%,64,97%,9,30%,
26,2018,2018-11-18,10,11,23.061,TEN,@,IND,L 10-38,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,9,35%,
27,2018,2018-11-26,11,12,23.069,TEN,@,HOU,L 17-34,*,0,0,,0,0,0,,0,2,19,9.50,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,94%,10,33%,
28,2018,2018-12-02,12,13,23.075,TEN,,NYJ,W 26-22,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,93%,6,16%,
29,2018,2018-12-06,13,14,23.079,TEN,,JAX,W 30-9,*,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,94%,3,13%,
30,2018,2018-12-16,14,15,23.089,TEN,@,NYG,W 17-0,*,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,7,32%,
31,2018,2018-12-22,15,16,23.095,TEN,,WAS,W 25-16,*,0,0,,0,0,0,,0,1,16,16.00,0,0,0,0.0,3,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,62,100%,2,9%,
32,2018,2018-12-30,16,17,23.103,TEN,,IND,L 17-33,*,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0.0,4,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0%,79,100%,4,13%,
33,2019,2019-09-08,1,1,23.355,TEN,@,CLE,W 43-13,*,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,1,3%,
34,2019,2019-09-15,2,2,23.362,TEN,,IND,L 17-19,*,0,0,,0,0,0,,0,2,26,13.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,69%,5,19%,
35,2019,2019-09-19,3,3,24.001,TEN,@,JAX,L 7-20,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0%,38,70%,4,15%,
36,2019,2019-09-29,4,4,24.011,TEN,@,ATL,W 24-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,73%,0,0%,
37,2019,2019-10-06,5,5,24.018,TEN,,BUF,L 7-14,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,46,72%,0,0%,
38,2019,2019-10-13,6,6,24.025,TEN,@,DEN,L 0-16,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,52%,0,0%,
39,2019,2019-10-20,7,7,24.032,TEN,,LAC,W 23-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,63%,0,0%,
40,2019,2019-10-27,,8,,TEN,,TAM,W 27-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2019,2019-11-03,9,9,24.046,TEN,@,CAR,L 20-30,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,87%,0,0%,
42,2019,2019-11-10,10,10,24.053,TEN,,KAN,W 35-32,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,82,100%,0,0%,
43,2019,2019-11-24,11,12,24.067,TEN,,JAX,W 42-20,*,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0.0,10,2,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,85,100%,2,7%,
44,2019,2019-12-01,12,13,24.074,TEN,@,IND,W 31-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,21%,0,0%,
45,2019,2019-12-08,,14,,TEN,@,OAK,W 42-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2019,2019-12-15,,15,,TEN,,HOU,L 21-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,2019,2019-12-22,,16,,TEN,,NOR,L 28-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
