Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,21.042,NYG,,MIN,L 6-28,*,7,5,66,13.20,0,71.4%,9.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
2.0,2024.0,2024-09-15,2.0,2.0,21.049,NYG,@,WAS,L 18-21,*,18,10,127,12.70,1,55.6%,7.06,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,50,89%,0,0%,0,0%,
3.0,2024.0,2024-09-22,3.0,3.0,21.056,NYG,@,CLE,W 21-15,,12,8,78,9.75,2,66.7%,6.50,2,4,2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12,0,0,0,0,0,0,61,85%,0,0%,0,0%,
4.0,2024.0,2024-09-26,4.0,4.0,21.06,NYG,,DAL,L 15-20,*,15,12,115,9.58,0,80.0%,7.67,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,62,90%,0,0%,0,0%,
5.0,2024.0,2024-10-06,5.0,5.0,,NYG,@,SEA,W 29-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6.0,2024.0,2024-10-13,6.0,6.0,,NYG,,CIN,L 7-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7.0,2024.0,2024-10-20,7.0,7.0,21.084,NYG,,PHI,L 3-28,*,8,4,41,10.25,0,50.0%,5.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,54,93%,0,0%,0,0%,
8.0,2024.0,2024-10-28,8.0,8.0,21.092,NYG,@,PIT,L 18-26,*,13,7,71,10.14,0,53.8%,5.46,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,71,99%,0,0%,0,0%,
9.0,2024.0,2024-11-03,9.0,9.0,21.098,NYG,,WAS,L 22-27,*,11,9,59,6.56,0,81.8%,5.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,62,95%,0,0%,0,0%,
10.0,2024.0,2024-11-10,10.0,10.0,21.105,NYG,@,CAR,L 17-20,*,10,6,50,8.33,0,60.0%,5.00,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,66,88%,0,0%,0,0%,
11.0,2024.0,2024-11-24,11.0,12.0,21.119,NYG,,TAM,L 7-30,*,9,6,64,10.67,0,66.7%,7.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0,0,0,0,55,93%,0,0%,0,0%,
