Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
34,2023,2024-01-07,17,18,,NYG,,PHI,W 27-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2024,2024-09-08,1,1,24.355,NYG,,MIN,L 6-28,,,,,,,,0,0%,0,0%,2,8%,
36,2024,2024-09-15,2,2,24.362,NYG,@,WAS,L 18-21,,,,,,,,0,0%,0,0%,1,5%,
37,2024,2024-09-22,3,3,25.003,NYG,@,CLE,W 21-15,,,,,,,,0,0%,0,0%,4,15%,
38,2024,2024-09-26,4,4,25.007,NYG,,DAL,L 15-20,,,,,,,,0,0%,0,0%,5,20%,
39,2024,2024-10-06,5,5,25.017,NYG,@,SEA,W 29-20,,,,,,,,2,3%,0,0%,5,17%,
40,2024,2024-10-13,6,6,25.024,NYG,,CIN,L 7-17,,,,,,,,1,1%,0,0%,3,14%,
41,2024,2024-10-20,7,7,25.031,NYG,,PHI,L 3-28,*,,,,,,,58,100%,0,0%,1,3%,
42,2024,2024-10-28,8,8,25.039,NYG,@,PIT,L 18-26,,,,,,,,0,0%,0,0%,4,13%,
43,2024,2024-11-03,9,9,25.045,NYG,,WAS,L 22-27,,,,,,,,0,0%,0,0%,2,9%,
44,2024,2024-11-10,10,10,25.052,NYG,@,CAR,L 17-20,,,,,,,,1,1%,0,0%,4,13%,
45,2024,2024-11-24,11,12,25.066,NYG,,TAM,L 7-30,,,,,,,,0,0%,0,0%,1,5%,
