Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
25,2020,2020-11-15,9,10,23.355,NWE,,BAL,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,52%,
26,2020,2020-11-22,10,11,23.362,NWE,@,HOU,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,2,3,1.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,56%,
27,2020,2020-11-29,11,12,24.003,NWE,,ARI,W 20-17,,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0,2,67,33.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2%,0,0%,11,50%,
28,2020,2020-12-06,12,13,24.010,NWE,@,LAC,W 45-0,,1,1,38,38.00,1,100.0%,38.00,0,0,,0,0,0,,0,3,145,48.33,1,2,12,0.0,0,1,1,0,0,0,0,0,0,0,0,6,9%,0,0%,13,48%,
29,2020,2020-12-10,13,14,24.014,NWE,@,LAR,L 3-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,47,9.40,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,54%,
30,2020,2020-12-20,14,15,24.024,NWE,@,MIA,L 12-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2%,0,0%,13,59%,
31,2020,2020-12-28,15,16,24.032,NWE,,BUF,L 9-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,46%,
32,2020,2021-01-03,16,17,24.038,NWE,,NYJ,W 28-14,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,1,21,21.00,0,3,36,12.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,20%,0,0%,13,50%,
33,2021,2021-09-12,1,1,24.290,NWE,,MIA,L 16-17,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,3,20,6.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,15%,0,0%,12,57%,
34,2021,2021-09-19,2,2,24.297,NWE,@,NYJ,W 25-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,8%,0,0%,11,44%,
35,2021,2021-09-26,3,3,24.304,NWE,,NOR,L 13-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,30,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,22%,0,0%,14,48%,
36,2021,2021-10-03,4,4,24.311,NWE,,TAM,L 17-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,17,8.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,48%,
37,2021,2021-10-10,5,5,24.318,NWE,@,HOU,W 25-22,,0,0,0,,0,0.0%,,0,0,,0,3,65,21.67,0,1,13,13.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,56%,
38,2021,2021-10-17,6,6,24.325,NWE,,DAL,L 29-35,,0,0,0,,0,0.0%,,0,0,,0,2,47,23.50,0,1,23,23.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,2%,0,0%,14,50%,
39,2021,2021-10-24,7,7,24.332,NWE,,NYJ,W 54-13,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,2,57,28.50,0,2,30,15.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,15,56%,
40,2021,2021-10-31,8,8,24.339,NWE,@,LAC,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,1,26,26.00,0,4,80,20.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,60%,
41,2021,2021-11-07,9,9,24.346,NWE,@,CAR,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,1,30,30.00,0,2,35,17.50,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,2%,0,0%,4,18%,
42,2021,2021-11-14,10,10,,NWE,,CLE,W 45-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2021,2021-11-18,11,11,24.357,NWE,@,ATL,W 25-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,17,5.67,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,0,0%,12,50%,
44,2021,2021-11-28,12,12,25.002,NWE,,TEN,W 36-13,,0,0,0,,0,0.0%,,0,0,,0,3,84,28.00,0,2,23,11.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,54%,
45,2021,2021-12-06,13,13,25.010,NWE,@,BUF,W 14-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,52%,
46,2021,2021-12-18,14,15,25.022,NWE,@,IND,L 17-27,,1,0,0,,0,0.0%,0.00,0,0,,0,1,20,20.00,0,1,1,1.00,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,3,4%,0,0%,12,48%,
47,2021,2021-12-26,15,16,25.030,NWE,,BUF,L 21-33,,0,0,0,,0,0.0%,,1,9,9.00,0,2,19,9.50,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,11,50%,
48,2021,2022-01-02,16,17,25.037,NWE,,JAX,W 50-10,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,1,27,27.00,0,0,0,,0,0,0,0.0,1,2,3,0,0,1,0,0,1,0,0,14,19%,0,0%,16,59%,
49,2021,2022-01-09,17,18,25.044,NWE,@,MIA,L 24-33,,0,0,0,,0,0.0%,,0,0,,0,1,24,24.00,0,2,20,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,17,59%,
50,2022,2022-09-11,1,1,25.289,PIT,@,CIN,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,1,1,1.00,0,1,20,20.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,14%,0,0%,9,28%,
51,2022,2022-09-18,2,2,25.296,PIT,,NWE,L 14-17,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,8,14%,0,0%,8,37%,
52,2022,2022-09-22,3,3,25.300,PIT,@,CLE,L 17-29,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,10,36%,
53,2022,2022-10-02,4,4,25.310,PIT,,NYJ,L 20-24,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,3,16,5.33,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,9,14%,0,0%,10,39%,
54,2022,2022-10-09,5,5,,PIT,@,BUF,L 3-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
