Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.086,NYG,,MIN,L 6-28,*,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,55.0,100%,6.0,25%
2.0,2024.0,2024-09-15,2.0,2.0,23.093,NYG,@,WAS,L 18-21,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,72.0,100%,4.0,19%
3.0,2024.0,2024-09-22,3.0,3.0,23.1,NYG,@,CLE,W 21-15,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,67.0,100%,10.0,38%
4.0,2024.0,2024-09-26,4.0,4.0,23.104,NYG,,DAL,L 15-20,*,0.0,6,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0%,56.0,100%,9.0,36%
5.0,2024.0,2024-10-06,5.0,5.0,23.114,NYG,@,SEA,W 29-20,*,0.0,7,2,9,1,0,0,0,0,0,0,0,0,1,2,0,0.0,0%,56.0,97%,11.0,37%
6.0,2024.0,2024-10-13,6.0,6.0,23.121,NYG,,CIN,L 7-17,*,0.0,5,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,53.0,100%,8.0,36%
7.0,2024.0,2024-10-20,7.0,7.0,23.128,NYG,,PHI,L 3-28,*,0.0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,66.0,100%,11.0,34%
8.0,2024.0,2024-10-28,8.0,8.0,23.136,NYG,@,PIT,L 18-26,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,66.0,100%,9.0,30%
9.0,2024.0,2024-11-03,9.0,9.0,23.142,NYG,,WAS,L 22-27,*,0.0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,62.0,100%,7.0,32%
10.0,2024.0,2024-11-10,10.0,10.0,23.149,NYG,@,CAR,L 17-20,*,0.0,8,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,60.0,100%,11.0,37%
11.0,2024.0,2024-11-24,11.0,12.0,23.163,NYG,,TAM,L 7-30,*,0.0,5,7,12,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0%,65.0,100%,4.0,20%
