Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
59,2022,2022-11-20,10,11,25.139,NYG,,DET,L 18-31,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,153,38.25,0,153,38.3,0,0.0%,2,50.0%,0,0,0%,0,0%,6,23%,
60,2022,2022-11-24,11,12,25.143,NYG,@,DAL,L 20-28,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,193,48.25,0,153,38.3,2,50.0%,1,25.0%,0,0,0%,0,0%,8,35%,
61,2022,2022-12-04,12,13,25.153,NYG,,WAS,T 20-20,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,324,46.29,51,273,39.0,0,0.0%,3,42.9%,0,0,0%,0,0%,12,35%,
62,2022,2022-12-11,13,14,25.160,NYG,,PHI,L 22-48,,1,0,0.00,0,,,,,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,5,241,48.20,29,212,42.4,0,0.0%,3,60.0%,0,0,0%,0,0%,8,26%,
63,2022,2022-12-18,14,15,25.167,NYG,@,WAS,W 20-12,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,213,42.60,4,209,41.8,0,0.0%,3,60.0%,0,0,0%,0,0%,9,36%,
64,2022,2022-12-24,15,16,25.173,NYG,@,MIN,L 24-27,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,129,43.00,7,122,30.5,0,0.0%,3,100.0%,1,0,0%,0,0%,8,28%,
65,2022,2023-01-01,16,17,25.181,NYG,,IND,W 38-10,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,47,47.00,0,27,27.0,1,100.0%,0,0.0%,0,0,0%,0,0%,8,33%,
66,2022,2023-01-08,17,18,25.188,NYG,@,PHI,L 16-22,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,264,44.00,69,234,39.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,32%,
67,2023,2023-09-10,1,1,26.068,NYG,,DAL,L 0-40,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,160,53.33,17,143,47.7,0,0.0%,0,0.0%,0,0,0%,0,0%,5,21%,
68,2023,2023-09-17,2,2,26.075,NYG,@,ARI,W 31-28,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,111,37.00,0,111,37.0,0,0.0%,1,33.3%,0,0,0%,0,0%,8,29%,
69,2023,2023-09-21,3,3,26.079,NYG,@,SFO,L 12-30,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,316,52.67,28,288,48.0,0,0.0%,1,16.7%,0,0,0%,0,0%,8,29%,
70,2023,2023-10-02,4,4,26.090,NYG,,SEA,L 3-24,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,268,53.60,23,225,45.0,1,20.0%,2,40.0%,0,0,0%,0,0%,6,26%,
71,2023,2023-10-08,5,5,26.096,NYG,@,MIA,L 16-31,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,161,40.25,0,161,40.3,0,0.0%,3,75.0%,0,0,0%,0,0%,9,35%,
72,2023,2023-10-15,6,6,26.103,NYG,@,BUF,L 9-14,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,202,50.50,3,199,49.8,0,0.0%,2,50.0%,0,0,0%,0,0%,7,33%,
73,2023,2023-10-22,7,7,26.110,NYG,,WAS,W 14-7,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,395,49.38,40,355,44.4,0,0.0%,2,25.0%,0,0,0%,0,0%,11,38%,
74,2023,2023-10-29,8,8,26.117,NYG,,NYJ,L 10-13,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,549,42.23,20,529,40.7,0,0.0%,5,38.5%,0,0,0%,0,0%,17,46%,
75,2023,2023-11-05,9,9,26.124,NYG,@,LVR,L 6-30,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,169,42.25,6,163,40.8,0,0.0%,1,25.0%,0,0,0%,0,0%,4,17%,
76,2023,2023-11-12,10,10,26.131,NYG,@,DAL,L 17-49,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,350,50.00,9,321,45.9,1,14.3%,2,28.6%,0,0,0%,0,0%,10,32%,
77,2023,2023-11-19,11,11,26.138,NYG,@,WAS,W 31-19,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,318,45.43,0,298,42.6,1,14.3%,2,28.6%,0,0,0%,0,0%,12,42%,
78,2023,2023-11-26,12,12,26.145,NYG,,NWE,W 10-7,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,363,45.38,21,322,40.3,1,12.5%,4,50.0%,0,0,0%,0,0%,10,43%,
79,2023,2023-12-11,13,14,26.160,NYG,,GNB,W 24-22,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,164,41.00,10,154,38.5,0,0.0%,3,75.0%,0,0,0%,0,0%,9,33%,
80,2023,2023-12-17,14,15,26.166,NYG,@,NOR,L 6-24,,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,5,238,47.60,35,203,40.6,0,0.0%,1,20.0%,0,0,0%,0,0%,9,39%,
81,2023,2023-12-25,15,16,26.174,NYG,@,PHI,L 25-33,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,157,39.25,63,94,23.5,0,0.0%,1,25.0%,0,0,0%,0,0%,8,28%,
82,2023,2023-12-31,16,17,26.180,NYG,,LAR,L 25-26,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,222,44.40,0,222,44.4,0,0.0%,1,20.0%,0,0,0%,0,0%,11,37%,
83,2023,2024-01-07,17,18,26.187,NYG,,PHI,W 27-10,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,228,45.60,8,220,44.0,0,0.0%,4,80.0%,0,0,0%,0,0%,11,42%,
84,2024,2024-09-08,1,1,27.066,NYG,,MIN,L 6-28,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,277,46.17,0,277,46.2,0,0.0%,4,66.7%,0,0,0%,0,0%,8,33%,
85,2024,2024-09-15,2,2,27.073,NYG,@,WAS,L 18-21,,0,0,,0,,1,0.0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,87,43.50,24,63,31.5,0,0.0%,1,50.0%,0,0,0%,0,0%,6,29%,
86,2024,2024-09-22,3,3,27.080,NYG,@,CLE,W 21-15,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,361,51.57,38,283,40.4,2,28.6%,2,28.6%,0,0,0%,0,0%,11,42%,
87,2024,2024-09-26,4,4,27.084,NYG,,DAL,L 15-20,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,44,44.00,0,44,44.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,24%,
88,2024,2024-10-06,5,5,27.094,NYG,@,SEA,W 29-20,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,186,46.50,7,179,44.8,0,0.0%,1,25.0%,0,0,0%,0,0%,9,30%,
89,2024,2024-10-13,6,6,,NYG,,CIN,L 7-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,2024,2024-10-20,7,7,,NYG,,PHI,L 3-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
91,2024,2024-10-28,8,8,,NYG,@,PIT,L 18-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
92,2024,2024-11-03,9,9,,NYG,,WAS,L 22-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
93,2024,2024-11-10,10,10,27.129,NYG,@,CAR,L 17-20,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,204,40.80,25,179,35.8,0,0.0%,4,80.0%,0,0,0%,0,0%,9,30%,
94,2024,2024-11-24,11,12,27.143,NYG,,TAM,L 7-30,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,168,42.00,15,153,38.3,0,0.0%,3,75.0%,0,0,0%,0,0%,5,25%,
