Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2017,2017-10-01,,4,,CAR,@,NWE,W 33-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2017,2017-10-08,5,5,27.224,CAR,@,DET,W 27-24,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,28%,
33,2017,2017-10-12,6,6,27.228,CAR,,PHI,L 23-28,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,34%,
34,2017,2017-10-22,,7,,CAR,@,CHI,L 3-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2017,2017-10-29,8,8,27.245,CAR,@,TAM,W 17-3,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,3,13%,
36,2017,2017-11-05,9,9,27.252,CAR,,ATL,W 20-17,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,28%,
37,2017,2017-11-13,10,10,27.260,CAR,,MIA,W 45-21,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,9,12%,0,0%,10,36%,
38,2017,2017-11-26,11,12,27.273,CAR,@,NYJ,W 35-27,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,11%,
39,2017,2017-12-03,12,13,27.280,CAR,@,NOR,L 21-31,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,31%,
40,2017,2017-12-10,13,14,27.287,CAR,,MIN,W 31-24,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,32%,
41,2017,2017-12-17,14,15,27.294,CAR,,GNB,W 31-24,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,19%,
42,2017,2017-12-24,,16,,CAR,,TAM,W 22-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2017,2017-12-31,16,17,27.308,CAR,@,ATL,L 10-22,,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,13%,
44,2018,2018-09-09,1,1,28.195,CAR,,DAL,W 16-8,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,3,14%,
45,2018,2018-09-16,2,2,28.202,CAR,@,ATL,L 24-31,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,4,14%,
46,2018,2018-09-23,3,3,28.209,CAR,,CIN,W 31-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,5,19%,
47,2018,2018-10-07,4,5,28.223,CAR,,NYG,W 33-31,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,7,22%,
48,2018,2018-10-14,5,6,28.230,CAR,@,WAS,L 17-23,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,60,100%,0,0%,2,8%,
49,2018,2018-10-21,6,7,28.237,CAR,@,PHI,W 21-17,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,2,9%,
50,2018,2018-10-28,7,8,28.244,CAR,,BAL,W 36-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,6,21%,
51,2018,2018-11-04,8,9,28.251,CAR,,TAM,W 42-28,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,6,19%,
52,2018,2018-11-08,9,10,28.255,CAR,@,PIT,L 21-52,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,3,10%,
53,2018,2018-11-18,10,11,28.265,CAR,@,DET,L 19-20,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,3,11%,
54,2018,2018-11-25,11,12,28.272,CAR,,SEA,L 27-30,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,6,22%,
55,2018,2018-12-02,12,13,28.279,CAR,@,TAM,L 17-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,3,12%,
