Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.041,IND,@,LAC,L 24-30,,0,0,,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,24%,8,31%,
2,2019,2019-09-15,2,2,23.048,IND,@,TEN,W 19-17,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,11,19%,9,35%,
3,2019,2019-09-22,3,3,23.055,IND,,ATL,W 27-24,*,0,0,,0,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,90%,6,27%,
4,2019,2019-09-29,4,4,23.062,IND,,OAK,L 24-31,*,0,0,,0,0,0,0.0,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,86%,10,33%,
5,2019,2019-10-06,5,5,23.069,IND,@,KAN,W 19-13,*,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,45,74%,7,28%,
6,2019,2019-10-20,6,7,23.083,IND,,HOU,W 30-23,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,16,25%,6,21%,
7,2019,2019-10-27,7,8,23.090,IND,,DEN,W 15-13,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,52%,12,40%,
8,2019,2019-11-03,8,9,23.097,IND,@,PIT,L 24-26,*,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,42%,11,42%,
9,2019,2019-11-10,9,10,23.104,IND,,MIA,L 12-16,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,29%,14,52%,
10,2019,2019-11-17,10,11,23.111,IND,,JAX,W 33-13,,1,0,0.00,0,0,2,0.0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0%,21,34%,11,44%,
11,2019,2019-11-21,11,12,23.115,IND,@,HOU,L 17-20,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,17,29%,13,57%,
12,2019,2019-12-01,12,13,23.125,IND,,TEN,L 17-31,,0,0,,0,0,0,1.0,3,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,29,49%,12,41%,
13,2019,2019-12-08,13,14,23.132,IND,@,TAM,L 35-38,*,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,35%,18,58%,
14,2019,2019-12-16,14,15,23.140,IND,@,NOR,L 7-34,,0,0,,0,0,0,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,49%,15,63%,
15,2019,2019-12-22,15,16,23.146,IND,,CAR,W 38-6,,0,0,,0,0,0,0.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,64%,6,23%,
16,2019,2019-12-29,16,17,23.153,IND,@,JAX,L 20-38,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,30%,10,37%,
17,2020,2020-09-13,1,1,24.046,IND,@,JAX,L 20-27,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,38%,6,25%,
18,2020,2020-09-20,2,2,24.053,IND,,MIN,W 28-11,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,85%,8,32%,
19,2020,2020-09-27,3,3,24.060,IND,,NYJ,W 36-7,,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,81%,13,48%,
20,2020,2020-10-04,4,4,24.067,IND,@,CHI,W 19-11,*,0,0,,0,0,0,0.0,6,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,85%,10,37%,
21,2020,2020-10-11,5,5,24.074,IND,@,CLE,L 23-32,*,0,0,,0,0,0,0.0,8,2,10,0,0,1,7,0,1,0,0,0,0,0,0,0,0%,73,100%,2,7%,
22,2020,2020-10-18,6,6,24.081,IND,,CIN,W 31-27,*,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,73,100%,10,35%,
23,2020,2020-11-01,7,8,24.095,IND,@,DET,W 41-21,,0,0,,0,0,0,0.0,6,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,79%,10,33%,
24,2020,2020-11-08,8,9,24.102,IND,,BAL,L 10-24,,0,0,,0,0,0,0.0,7,2,9,1,0,0,0,0,0,0,0,0,1,11,0,0,0%,50,78%,5,21%,
25,2020,2020-11-12,9,10,24.106,IND,@,TEN,W 34-17,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,83%,7,28%,
26,2020,2020-11-22,10,11,24.116,IND,,GNB,W 34-31,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,65%,7,22%,
27,2020,2020-11-29,11,12,,IND,,TEN,L 26-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2020,2020-12-06,12,13,,IND,@,HOU,W 26-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2020,2020-12-13,13,14,24.137,IND,@,LVR,W 44-27,*,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,50,74%,0,0%,
30,2020,2020-12-20,14,15,24.144,IND,,HOU,W 27-20,,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0%,48,70%,4,17%,
31,2020,2020-12-27,15,16,24.151,IND,@,PIT,L 24-28,,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,53%,5,17%,
32,2020,2021-01-03,16,17,24.158,IND,,JAX,W 28-14,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,68%,0,0%,
33,2021,2021-09-12,1,1,25.045,IND,,SEA,L 16-28,*,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,4,17%,
34,2021,2021-09-19,2,2,25.052,IND,,LAR,L 24-27,*,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,2,8%,
35,2021,2021-09-26,3,3,25.059,IND,@,TEN,L 16-25,*,0,0,,0,0,0,1.0,6,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,4,17%,
36,2021,2021-10-03,4,4,25.066,IND,@,MIA,W 27-17,*,0,0,,0,0,0,0.0,2,6,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,100%,7,25%,
37,2021,2021-10-11,5,5,25.074,IND,@,BAL,L 25-31,*,0,0,,0,0,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,7,28%,
38,2021,2021-10-17,6,6,25.080,IND,,HOU,W 31-3,*,0,0,,0,0,0,0.0,9,5,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,8,33%,
39,2021,2021-10-24,7,7,25.087,IND,@,SFO,W 30-18,*,0,0,,0,0,0,0.0,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,100%,11,39%,
40,2021,2021-10-31,8,8,25.094,IND,,TEN,L 31-34,*,0,0,,0,0,0,0.0,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,99%,11,35%,
41,2021,2021-11-04,9,9,25.098,IND,,NYJ,W 45-30,*,0,0,,0,0,0,0.0,8,3,11,0,0,1,4,0,1,0,0,0,0,0,0,0,0%,74,96%,6,20%,
42,2021,2021-11-14,10,10,25.108,IND,,JAX,W 23-17,*,0,0,,0,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,10,31%,
43,2021,2021-11-21,11,11,25.115,IND,@,BUF,W 41-15,*,0,0,,0,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,89%,3,13%,
44,2021,2021-11-28,12,12,25.122,IND,,TAM,L 31-38,*,0,0,,0,0,0,0.0,5,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,10,32%,
45,2021,2021-12-05,13,13,25.129,IND,@,HOU,W 31-0,*,0,0,,0,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,87%,4,18%,
46,2021,2021-12-18,14,15,25.142,IND,,NWE,W 27-17,*,0,0,,0,0,0,0.0,3,0,3,0,0,1,16,0,1,0,0,0,0,0,0,0,0%,67,99%,2,8%,
47,2021,2021-12-25,15,16,25.149,IND,@,ARI,W 22-16,*,0,0,,0,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,3,13%,
48,2021,2022-01-02,16,17,25.157,IND,,LVR,L 20-23,*,0,0,,0,0,0,0.0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,5,19%,
49,2021,2022-01-09,17,18,25.164,IND,@,JAX,L 11-26,*,0,0,,0,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,5,23%,
50,2022,2022-09-11,1,1,26.044,IND,@,HOU,T 20-20,*,0,0,,0,0,0,0.0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,70,100%,8,25%,
51,2022,2022-09-18,2,2,26.051,IND,@,JAX,L 0-24,*,0,0,,0,0,0,0.0,9,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,93%,9,45%,
52,2022,2022-09-25,3,3,26.058,IND,,KAN,W 20-17,*,0,0,,0,0,0,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,89%,7,30%,
53,2022,2022-10-02,4,4,26.065,IND,,TEN,L 17-24,,0,0,,0,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,70%,11,48%,
54,2022,2022-10-06,5,5,26.069,IND,@,DEN,W 12-9,*,0,0,,0,0,0,0.0,6,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,11,36%,
