Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,21.350,NYG,,DAL,L 0-40,,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,25,36%,0,0%,0,0%,
2,2023,2023-09-17,2,2,21.357,NYG,@,ARI,W 31-28,,2,2,89,44.50,0,100.0%,44.50,0,0,0,0,0,0,14,21%,0,0%,0,0%,
3,2023,2023-09-21,3,3,21.361,NYG,@,SFO,L 12-30,,,,,,,0.0%,,,,,,,,16,32%,0,0%,0,0%,
4,2023,2023-10-02,4,4,22.007,NYG,,SEA,L 3-24,,2,2,10,5.00,0,100.0%,5.00,0,0,0,0,0,0,45,60%,0,0%,0,0%,
5,2023,2023-10-08,5,5,22.013,NYG,@,MIA,L 16-31,,,,,,,0.0%,,,,,,,,33,46%,0,0%,0,0%,
6,2023,2023-10-15,6,6,22.020,NYG,@,BUF,L 9-14,,4,3,21,7.00,0,75.0%,5.25,0,0,0,0,0,0,56,73%,0,0%,0,0%,
7,2023,2023-10-22,7,7,22.027,NYG,,WAS,W 14-7,*,5,2,75,37.50,0,40.0%,15.00,0,0,0,0,0,0,48,71%,0,0%,0,0%,
8,2023,2023-10-29,8,8,22.034,NYG,,NYJ,L 10-13,,,,,,,0.0%,,,,,,,,25,33%,0,0%,0,0%,
9,2023,2023-11-05,9,9,22.041,NYG,@,LVR,L 6-30,,5,2,19,9.50,0,40.0%,3.80,1,0,0,0,0,0,37,59%,0,0%,0,0%,
10,2023,2023-11-12,10,10,22.048,NYG,@,DAL,L 17-49,,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,17,30%,0,0%,0,0%,
11,2023,2023-11-19,11,11,22.055,NYG,@,WAS,W 31-19,*,2,1,7,7.00,0,50.0%,3.50,0,0,0,0,0,0,29,53%,0,0%,0,0%,
12,2023,2023-11-26,12,12,22.062,NYG,,NWE,W 10-7,*,6,5,109,21.80,0,83.3%,18.17,0,0,0,0,0,0,31,60%,0,0%,0,0%,
13,2023,2023-12-11,13,14,22.077,NYG,,GNB,W 24-22,*,3,2,13,6.50,0,66.7%,4.33,0,0,0,0,0,0,36,64%,0,0%,0,0%,
14,2023,2023-12-17,14,15,22.083,NYG,@,NOR,L 6-24,*,3,0,0,,0,0.0%,0.00,0,0,0,0,0,0,44,71%,0,0%,0,0%,
15,2023,2023-12-25,15,16,22.091,NYG,@,PHI,L 25-33,*,,,,,,0.0%,,,,,,,,35,56%,0,0%,0,0%,
16,2023,2023-12-31,16,17,22.097,NYG,,LAR,L 25-26,*,4,3,25,8.33,0,75.0%,6.25,0,0,0,0,0,0,57,77%,0,0%,0,0%,
17,2023,2024-01-07,17,18,22.104,NYG,,PHI,W 27-10,,2,1,5,5.00,0,50.0%,2.50,0,0,0,0,0,0,9,13%,0,0%,0,0%,
18,2024,2024-09-08,1,1,22.349,NYG,,MIN,L 6-28,,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,16,23%,0,0%,0,0%,
19,2024,2024-09-15,2,2,22.356,NYG,@,WAS,L 18-21,,,,,,,0.0%,,,,,,,,12,21%,0,0%,0,0%,
20,2024,2024-09-22,3,3,22.363,NYG,@,CLE,W 21-15,*,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,10,14%,0,0%,0,0%,
21,2024,2024-09-26,4,4,23.001,NYG,,DAL,L 15-20,,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,13,19%,0,0%,0,0%,
22,2024,2024-10-06,5,5,23.011,NYG,@,SEA,W 29-20,*,,,,,,0.0%,,,,,,,,48,67%,0,0%,0,0%,
23,2024,2024-10-13,6,6,23.018,NYG,,CIN,L 7-17,,4,1,6,6.00,0,25.0%,1.50,0,0,0,0,0,0,64,81%,0,0%,0,0%,
24,2024,2024-10-20,7,7,23.025,NYG,,PHI,L 3-28,,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,3,5%,0,0%,0,0%,
25,2024,2024-10-28,8,8,,NYG,@,PIT,L 18-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2024,2024-11-03,9,9,23.039,NYG,,WAS,L 22-27,,,,,,,0.0%,,,,,,,,4,6%,0,0%,0,0%,
27,2024,2024-11-10,10,10,23.046,NYG,@,CAR,L 17-20,*,4,4,39,9.75,0,100.0%,9.75,0,0,0,0,0,0,55,73%,0,0%,0,0%,
28,2024,2024-11-24,11,12,23.060,NYG,,TAM,L 7-30,,0,0,0,,0,0.0%,,0,0,0,0,0,0,25,42%,0,0%,0,0%,
