Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
23,2020,2020-10-22,7,7,23.284,NYG,@,PHI,L 21-22,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,1,4%,
24,2020,2020-11-02,8,8,23.295,NYG,,TAM,L 23-25,*,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,92%,0,0%,0,0%,
25,2020,2020-11-08,9,9,23.301,NYG,@,WAS,W 23-20,*,1,1,6,6.00,0,100.0%,6.00,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,84%,0,0%,0,0%,
26,2020,2020-11-15,10,10,23.308,NYG,,PHI,W 27-17,*,7,5,93,18.60,0,71.4%,13.29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,0,0%,
27,2020,2020-11-29,11,12,23.322,NYG,@,CIN,W 19-17,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,69%,0,0%,1,3%,
28,2020,2020-12-06,12,13,23.329,NYG,@,SEA,W 17-12,*,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,91%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.336,NYG,,ARI,L 7-26,*,8,3,31,10.33,0,37.5%,3.88,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,96%,0,0%,0,0%,
30,2020,2020-12-20,14,15,23.343,NYG,,CLE,L 6-20,*,9,4,74,18.50,0,44.4%,8.22,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,87%,0,0%,1,5%,
31,2020,2020-12-27,15,16,23.350,NYG,@,BAL,L 13-27,*,8,2,26,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,86%,0,0%,0,0%,
32,2020,2021-01-03,16,17,23.357,NYG,,DAL,W 23-19,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,88%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.243,NYG,,DEN,L 13-27,,7,3,65,21.67,0,42.9%,9.29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,70%,0,0%,0,0%,
34,2021,2021-09-16,2,2,24.247,NYG,@,WAS,L 29-30,,6,3,54,18.00,1,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,57%,0,0%,0,0%,
35,2021,2021-09-26,3,3,24.257,NYG,,ATL,L 14-17,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,0,0%,
36,2021,2021-10-03,4,4,,NYG,@,NOR,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2021,2021-10-10,5,5,,NYG,@,DAL,L 20-44,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2021,2021-10-17,6,6,,NYG,,LAR,L 11-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2021,2021-10-24,7,7,24.285,NYG,,CAR,W 25-3,*,9,5,63,12.60,0,55.6%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,61%,0,0%,0,0%,
40,2021,2021-11-01,8,8,24.293,NYG,@,KAN,L 17-20,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,
41,2021,2021-11-07,9,9,24.299,NYG,,LVR,W 23-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,55%,0,0%,0,0%,
42,2021,2021-11-22,10,11,24.314,NYG,@,TAM,L 10-30,,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,1,1,0,0,0,0,34,59%,0,0%,0,0%,
43,2021,2021-11-28,11,12,24.320,NYG,,PHI,W 13-7,*,4,3,40,13.33,0,75.0%,10.00,1,-13,-13.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,73%,0,0%,0,0%,
44,2021,2021-12-05,12,13,24.327,NYG,@,MIA,L 9-20,*,7,2,13,6.50,0,28.6%,1.86,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,52,80%,0,0%,0,0%,
45,2021,2021-12-12,13,14,24.334,NYG,@,LAC,L 21-37,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,67%,0,0%,0,0%,
46,2021,2021-12-19,14,15,24.341,NYG,,DAL,L 6-21,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,62%,0,0%,0,0%,
47,2021,2021-12-26,15,16,24.348,NYG,@,PHI,L 10-34,*,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,80%,0,0%,0,0%,
48,2021,2022-01-02,16,17,,NYG,@,CHI,L 3-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2021,2022-01-09,17,18,24.362,NYG,,WAS,L 7-22,,3,2,29,14.50,1,66.7%,9.67,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,70%,0,0%,0,0%,
50,2022,2022-09-11,1,1,,NYG,@,TEN,W 21-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2022,2022-09-18,2,2,25.249,NYG,,CAR,W 19-16,,,,,,,0.0%,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,4,5%,0,0%,0,0%,
52,2022,2022-09-26,3,3,25.257,NYG,,DAL,L 16-23,,,,,,,0.0%,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,14,19%,0,0%,0,0%,
53,2022,2022-10-02,4,4,25.263,NYG,,CHI,W 20-12,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,39,60%,0,0%,0,0%,
54,2022,2022-10-09,5,5,25.270,NYG,@,GNB,W 27-22,,7,6,79,13.17,0,85.7%,11.29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,54%,0,0%,0,0%,
