Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
26,2022,2022-11-13,9,10,23.136,NYG,,HOU,W 24-16,,0,0,,0,0,0,1.5,3,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,23,36%,24,80%,
27,2022,2022-11-20,10,11,23.143,NYG,,DET,L 18-31,,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,55%,16,62%,
28,2022,2022-11-24,11,12,23.147,NYG,@,DAL,L 20-28,*,0,0,,0,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,7,30%,
29,2022,2022-12-04,12,13,23.157,NYG,,WAS,T 20-20,,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,79,93%,12,35%,
30,2022,2022-12-11,13,14,23.164,NYG,,PHI,L 22-48,*,0,0,,0,0,0,0.0,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,84%,11,35%,
31,2022,2022-12-18,14,15,23.171,NYG,@,WAS,W 20-12,*,0,0,,0,0,0,0.0,4,1,5,0,1,0,0,0,2,0,0,1,0,0,0,0,0%,58,92%,10,40%,
32,2022,2022-12-24,15,16,23.177,NYG,@,MIN,L 24-27,*,0,0,,0,0,0,0.0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,72,100%,11,38%,
33,2022,2023-01-01,16,17,23.185,NYG,,IND,W 38-10,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,17%,10,42%,
34,2022,2023-01-08,17,18,23.192,NYG,@,PHI,L 16-22,*,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,64%,8,29%,
35,2023,2023-09-10,1,1,24.072,NYG,,DAL,L 0-40,*,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,10,42%,
36,2023,2023-09-17,2,2,24.079,NYG,@,ARI,W 31-28,*,0,0,,0,0,0,0.0,10,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,98%,8,29%,
