Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
28,2021,2021-12-05,12,13,22.317,NYG,@,MIA,L 9-20,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,65,100%,0,0%,4,13%,
29,2021,2021-12-12,13,14,22.324,NYG,@,LAC,L 21-37,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,69,100%,0,0%,0,0%,
30,2021,2021-12-19,14,15,22.331,NYG,,DAL,L 6-21,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
31,2021,2021-12-26,15,16,22.338,NYG,@,PHI,L 10-34,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,76,100%,0,0%,2,6%,
32,2021,2022-01-02,16,17,22.345,NYG,@,CHI,L 3-29,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,56,100%,0,0%,1,4%,
33,2021,2022-01-09,17,18,22.352,NYG,,WAS,L 7-22,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,60,100%,0,0%,0,0%,
34,2022,2022-09-11,1,1,23.232,NYG,@,TEN,W 21-20,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,60,100%,0,0%,2,7%,
35,2022,2022-09-18,2,2,23.239,NYG,,CAR,W 19-16,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,73,100%,0,0%,5,17%,
36,2022,2022-09-26,3,3,23.247,NYG,,DAL,L 16-23,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,72,100%,0,0%,5,17%,
37,2022,2022-10-02,4,4,23.253,NYG,,CHI,W 20-12,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,65,100%,0,0%,5,17%,
38,2022,2022-10-09,5,5,23.260,NYG,@,GNB,W 27-22,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,61,100%,0,0%,5,19%,
39,2022,2022-10-16,6,6,23.267,NYG,,BAL,W 24-20,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,4,15%,
40,2022,2022-10-23,7,7,23.274,NYG,@,JAX,W 23-17,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,77,100%,0,0%,5,23%,
41,2022,2022-10-30,8,8,23.281,NYG,@,SEA,L 13-27,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,65,100%,0,0%,3,10%,
42,2022,2022-11-13,9,10,23.295,NYG,,HOU,W 24-16,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,69,100%,0,0%,4,13%,
43,2022,2022-11-20,10,11,23.302,NYG,,DET,L 18-31,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,76,100%,0,0%,2,8%,
44,2022,2022-11-24,11,12,23.306,NYG,@,DAL,L 20-28,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,64,100%,0,0%,4,17%,
45,2022,2022-12-04,12,13,23.316,NYG,,WAS,T 20-20,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,66,100%,0,0%,5,15%,
46,2022,2022-12-11,13,14,23.323,NYG,,PHI,L 22-48,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,52,81%,0,0%,2,6%,
47,2022,2022-12-18,14,15,23.330,NYG,@,WAS,W 20-12,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,63,100%,0,0%,4,16%,
48,2022,2022-12-24,15,16,23.336,NYG,@,MIN,L 24-27,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,69,100%,0,0%,4,14%,
49,2022,2023-01-01,16,17,23.344,NYG,,IND,W 38-10,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,53,84%,0,0%,7,29%,
50,2022,2023-01-08,17,18,,NYG,@,PHI,L 16-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2023,2023-09-10,1,1,24.231,NYG,,DAL,L 0-40,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,53,76%,0,0%,2,8%,
52,2023,2023-09-17,2,2,,NYG,@,ARI,W 31-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,2023,2023-09-21,3,3,,NYG,@,SFO,L 12-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2023,2023-10-02,4,4,,NYG,,SEA,L 3-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,2023,2023-10-08,5,5,,NYG,@,MIA,L 16-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2023,2023-10-15,6,6,,NYG,@,BUF,L 9-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,2023,2023-10-22,7,7,,NYG,,WAS,W 14-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,2023,2023-10-29,8,8,,NYG,,NYJ,L 10-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,2023,2023-11-05,9,9,24.287,NYG,@,LVR,L 6-30,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,63,100%,0,0%,0,0%,
60,2023,2023-11-12,10,10,24.294,NYG,@,DAL,L 17-49,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,32,56%,0,0%,0,0%,
61,2023,2023-11-19,11,11,24.301,NYG,@,WAS,W 31-19,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,55,100%,0,0%,0,0%,
62,2023,2023-11-26,12,12,24.308,NYG,,NWE,W 10-7,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,52,100%,0,0%,0,0%,
63,2023,2023-12-11,13,14,24.323,NYG,,GNB,W 24-22,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,56,100%,0,0%,0,0%,
64,2023,2023-12-17,14,15,24.329,NYG,@,NOR,L 6-24,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,62,100%,0,0%,0,0%,
65,2023,2023-12-25,15,16,24.337,NYG,@,PHI,L 25-33,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,63,100%,0,0%,0,0%,
66,2023,2023-12-31,16,17,24.343,NYG,,LAR,L 25-26,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,74,100%,0,0%,0,0%,
67,2023,2024-01-07,17,18,24.350,NYG,,PHI,W 27-10,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,67,100%,0,0%,0,0%,
68,2024,2024-09-08,1,1,25.230,NYG,,MIN,L 6-28,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,71,100%,0,0%,0,0%,
69,2024,2024-09-15,2,2,25.237,NYG,@,WAS,L 18-21,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,56,100%,0,0%,0,0%,
70,2024,2024-09-22,3,3,25.244,NYG,@,CLE,W 21-15,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,72,100%,0,0%,0,0%,
71,2024,2024-09-26,4,4,25.248,NYG,,DAL,L 15-20,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,69,100%,0,0%,0,0%,
72,2024,2024-10-06,5,5,25.258,NYG,@,SEA,W 29-20,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,72,100%,0,0%,0,0%,
73,2024,2024-10-13,6,6,25.265,NYG,,CIN,L 7-17,*,,,,,,0.0%,,,0,0,,,,,,,,,,,,,79,100%,0,0%,0,0%,
74,2024,2024-10-20,7,7,,NYG,,PHI,L 3-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,2024,2024-10-28,8,8,,NYG,@,PIT,L 18-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,2024,2024-11-03,9,9,,NYG,,WAS,L 22-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
77,2024,2024-11-10,10,10,,NYG,@,CAR,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,2024,2024-11-24,11,12,,NYG,,TAM,L 7-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
