Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2019,2019-11-24,11,12,22.082,BUF,,DEN,W 20-3,*,21,106,5.05,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,70%,0,0%,0,0%,
12,2019,2019-11-28,12,13,22.086,BUF,@,DAL,W 26-15,*,14,63,4.50,0,4,3,38,12.67,1,75.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,79%,0,0%,0,0%,
13,2019,2019-12-08,13,14,22.096,BUF,,BAL,L 17-24,*,17,89,5.24,0,8,6,29,4.83,0,75.0%,3.63,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,0,0%,
14,2019,2019-12-15,14,15,22.103,BUF,@,PIT,W 17-10,*,21,87,4.14,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,46,71%,0,0%,0,0%,
15,2019,2019-12-21,15,16,22.109,BUF,@,NWE,L 17-24,*,15,46,3.07,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,
16,2019,2019-12-29,,17,,BUF,,NYJ,L 6-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2020,2020-09-13,1,1,23.010,BUF,,NYJ,W 27-17,*,9,30,3.33,0,7,5,23,4.60,0,71.4%,3.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,59%,0,0%,0,0%,
18,2020,2020-09-20,2,2,23.017,BUF,@,MIA,W 31-28,*,10,56,5.60,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,56%,0,0%,0,0%,
19,2020,2020-09-27,3,3,23.024,BUF,,LAR,W 35-32,*,13,71,5.46,0,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,
20,2020,2020-10-04,4,4,23.031,BUF,@,LVR,W 30-23,*,18,56,3.11,1,6,5,21,4.20,0,83.3%,3.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,
