Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,24.29,NYG,,MIN,L 6-28,,2,2,1.0,0,3,1,5,5.0,0,33.3%,1.67,0,0,,0,0,0,0,0,0,0,0,0,15.0,21%,0.0,0%,5.0,21%
2.0,2024.0,2024-09-15,2.0,2.0,24.297,NYG,@,WAS,L 18-21,,1,2,2.0,0,0,0,0,,0,0.0%,,1,28,28.0,0,0,0,0,0,0,0,0,0,12.0,21%,0.0,0%,10.0,48%
3.0,2024.0,2024-09-22,3.0,3.0,24.304,NYG,@,CLE,W 21-15,,5,23,4.6,0,2,2,17,8.5,0,100.0%,8.5,0,0,,0,0,0,0,0,0,0,0,0,22.0,31%,0.0,0%,3.0,12%
4.0,2024.0,2024-09-26,4.0,4.0,24.308,NYG,,DAL,L 15-20,,4,2,0.5,0,1,1,19,19.0,0,100.0%,19.0,2,33,16.5,0,0,0,1,0,0,0,0,0,17.0,25%,0.0,0%,3.0,12%
5.0,2024.0,2024-10-06,5.0,5.0,24.318,NYG,@,SEA,W 29-20,*,18,129,7.17,0,2,1,1,1.0,0,50.0%,0.5,0,0,,0,0,0,0,0,0,0,0,0,45.0,63%,0.0,0%,5.0,17%
6.0,2024.0,2024-10-13,6.0,6.0,24.325,NYG,,CIN,L 7-17,*,17,50,2.94,1,6,6,57,9.5,0,100.0%,9.5,0,0,,0,1,6,0,0,0,0,0,0,66.0,84%,0.0,0%,0.0,0%
7.0,2024.0,2024-10-20,7.0,7.0,24.332,NYG,,PHI,L 3-28,*,6,23,3.83,0,3,3,9,3.0,0,100.0%,3.0,0,0,,0,0,0,0,0,0,0,0,0,39.0,67%,0.0,0%,0.0,0%
8.0,2024.0,2024-10-28,8.0,8.0,24.34,NYG,@,PIT,L 18-26,*,20,145,7.25,1,3,2,5,2.5,0,66.7%,1.67,0,0,,0,1,6,0,0,0,0,0,0,41.0,57%,0.0,0%,0.0,0%
9.0,2024.0,2024-11-03,9.0,9.0,24.346,NYG,,WAS,L 22-27,*,16,66,4.13,0,1,1,3,3.0,0,100.0%,3.0,0,0,,0,0,0,0,0,0,0,0,0,47.0,72%,0.0,0%,0.0,0%
10.0,2024.0,2024-11-10,10.0,10.0,24.353,NYG,@,CAR,L 17-20,*,18,103,5.72,1,2,1,1,1.0,0,50.0%,0.5,0,0,,0,1,6,2,1,0,0,0,0,60.0,80%,0.0,0%,0.0,0%
11.0,2024.0,2024-11-24,11.0,12.0,25.001,NYG,,TAM,L 7-30,*,9,42,4.67,0,4,4,28,7.0,0,100.0%,7.0,0,0,,0,0,0,1,1,0,0,0,0,24.0,41%,0.0,0%,0.0,0%
