Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-08,1,1,,BUF,@,LAR,W 31-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-19,2,2,,BUF,,TEN,W 41-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2023,2023-09-18,2,2,,CAR,,NOR,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2023,2023-09-24,3,3,,CAR,@,SEA,L 27-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2023,2023-10-01,4,4,,CAR,,MIN,L 13-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2023,2023-10-08,5,5,,CAR,@,DET,L 24-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2023,2023-10-15,6,6,24.132,CAR,@,MIA,L 21-42,,5,18,3.60,0,1,1,4,4.00,0,100.0%,4.00,1,31,31.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,8,27%,
24,2023,2023-10-29,7,8,24.146,CAR,,HOU,W 15-13,,3,5,1.67,0,2,2,26,13.00,0,100.0%,13.00,3,107,35.67,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,15%,0,0%,7,29%,
25,2023,2023-11-05,8,9,24.153,CAR,,IND,L 13-27,,1,0,0.00,0,1,1,5,5.00,0,100.0%,5.00,1,46,46.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,10%,0,0%,15,54%,
26,2023,2023-11-09,9,10,24.157,CAR,@,CHI,L 13-16,,2,7,3.50,0,1,1,6,6.00,0,100.0%,6.00,1,27,27.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,12%,0,0%,13,47%,
27,2023,2023-11-19,10,11,24.167,CAR,,DAL,L 10-33,,0,0,,0,0,0,0,,0,0.0%,,1,29,29.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,7,26%,
28,2023,2023-11-26,11,12,,CAR,@,TEN,L 10-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2023,2023-12-03,12,13,24.181,CAR,@,TAM,L 18-21,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,9,31%,
30,2023,2023-12-10,13,14,24.188,CAR,@,NOR,L 6-28,,1,4,4.00,0,2,1,4,4.00,0,50.0%,2.00,2,37,18.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,5%,0,0%,8,33%,
31,2023,2023-12-17,14,15,24.195,CAR,,ATL,W 9-7,,,,,,,,,,,0.0%,,,,,,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,7,37%,
32,2023,2023-12-24,15,16,24.202,CAR,,GNB,L 30-33,,0,0,,0,0,0,0,,0,0.0%,,5,114,22.80,0,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2%,0,0%,10,33%,
33,2023,2023-12-31,16,17,24.209,CAR,@,JAX,L 0-26,,,,,,,,,,,0.0%,,,,,,,,,,,0,0,,,,,,,,,,,,,2,4%,0,0%,10,43%,
34,2023,2024-01-07,17,18,24.216,CAR,,TAM,L 0-9,,1,6,6.00,0,0,0,0,,0,0.0%,,2,39,19.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,6%,0,0%,10,50%,
35,2024,2024-09-08,1,1,25.095,CAR,@,NOR,L 10-47,,0,0,,0,0,0,0,,0,0.0%,,8,204,25.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,40%,
36,2024,2024-09-15,2,2,25.102,CAR,,LAC,L 3-26,,0,0,,0,0,0,0,,0,0.0%,,3,81,27.00,0,1,13,13.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,38%,
37,2024,2024-09-22,3,3,25.109,CAR,@,LVR,W 36-22,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,3,33,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,13,43%,
38,2024,2024-09-29,4,4,25.116,CAR,,CIN,L 24-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,16,5.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,10,36%,
39,2024,2024-10-06,5,5,25.123,CAR,@,CHI,L 10-36,,0,0,,0,0,0,0,,0,0.0%,,3,101,33.67,0,2,20,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,10,38%,
40,2024,2024-10-13,6,6,25.130,CAR,,ATL,L 20-38,,0,0,,0,0,0,0,,0,0.0%,,3,64,21.33,0,1,12,12.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,52%,
41,2024,2024-10-20,7,7,25.137,CAR,@,WAS,L 7-40,,0,0,,0,0,0,0,,0,0.0%,,5,114,22.80,0,0,0,,0,,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0%,0,0%,14,54%,
42,2024,2024-10-27,8,8,25.144,CAR,@,DEN,L 14-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,11,46%,
43,2024,2024-11-03,9,9,25.151,CAR,,NOR,W 23-22,,0,0,,0,0,0,0,,0,0.0%,,2,39,19.50,0,2,24,12.00,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,4%,0,0%,11,38%,
44,2024,2024-11-10,10,10,25.158,CAR,,NYG,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,2,13,6.50,0,,0,0,0.0,0,1,1,0,0,1,0,0,1,0,0,2,3%,0,0%,11,37%,
45,2024,2024-11-24,11,12,25.172,CAR,,KAN,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,14,52%,
