Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.047,CAR,@,ATL,L 10-24,*,20,38,52.63,146,1,2,48.8,2,19,3.84,2.00,3,17,5.67,0,,0,0,1,0,0,1,0,0,77,100%,0,0%,0,0%,
2,2023,2023-09-18,2,2,22.055,CAR,,NOR,L 17-20,*,22,33,66.67,153,1,0,87.1,4,14,4.64,5.24,2,34,17.00,0,,0,0,1,1,0,0,0,0,59,98%,0,0%,0,0%,
3,2023,2023-09-24,3,3,,CAR,@,SEA,L 27-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2023,2023-10-01,4,4,22.068,CAR,,MIN,L 13-21,*,25,32,78.13,204,0,0,93.2,5,55,6.38,6.38,2,10,5.00,0,,0,0,1,1,0,0,0,0,72,100%,0,0%,0,0%,
5,2023,2023-10-08,5,5,22.075,CAR,@,DET,L 24-42,*,25,41,60.98,247,3,2,82.1,1,4,6.02,5.29,1,4,4.00,0,,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,
6,2023,2023-10-15,6,6,22.082,CAR,@,MIA,L 21-42,*,23,38,60.53,217,1,0,85.1,4,36,5.71,6.24,0,0,,0,,0,0,1,0,0,1,0,0,69,100%,0,0%,0,0%,
7,2023,2023-10-29,7,8,22.096,CAR,,HOU,W 15-13,*,22,31,70.97,235,1,0,103.6,6,55,7.58,8.23,4,11,2.75,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
8,2023,2023-11-05,8,9,22.103,CAR,,IND,L 13-27,*,24,39,61.54,173,1,3,48.3,4,36,4.44,1.49,5,41,8.20,0,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
9,2023,2023-11-09,9,10,22.107,CAR,@,CHI,L 13-16,*,21,38,55.26,185,0,0,68.4,3,15,4.87,4.87,3,18,6.00,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
10,2023,2023-11-19,10,11,22.117,CAR,,DAL,L 10-33,*,16,29,55.17,123,1,1,62.9,7,46,4.24,3.38,2,3,1.50,0,,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,
