Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
25,2022,2022-10-30,8,8,22.150,CAR,@,ATL,L 34-37,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,58%,0,0%,16,46%,
26,2022,2022-11-06,9,9,22.157,CAR,@,CIN,L 21-42,*,4,2,11,5.50,1,50.0%,2.75,0,0,,0,1,8,8.00,0,,1,6,0.0,3,0,3,0,0,1,1,0,0,0,0,27,55%,0,0%,15,52%,
27,2022,2022-11-10,10,10,22.161,CAR,,ATL,W 25-15,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,59%,0,0%,15,52%,
28,2022,2022-11-20,11,11,22.171,CAR,@,BAL,L 3-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,37%,0,0%,11,48%,
29,2022,2022-11-27,12,12,22.178,CAR,,DEN,W 23-10,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,74%,0,0%,14,47%,
30,2022,2022-12-11,13,14,22.192,CAR,@,SEA,W 30-24,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,40%,0,0%,13,46%,
31,2022,2022-12-18,14,15,22.199,CAR,,PIT,L 16-24,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,52%,0,0%,14,56%,
32,2022,2022-12-24,15,16,22.205,CAR,,DET,W 37-23,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,57%,0,0%,15,52%,
33,2022,2023-01-01,16,17,22.213,CAR,@,TAM,L 24-30,,3,3,33,11.00,1,100.0%,11.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,58%,0,0%,16,52%,
34,2022,2023-01-08,17,18,22.220,CAR,@,NOR,W 10-7,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,49%,0,0%,10,50%,
35,2023,2023-09-10,1,1,23.100,CAR,@,ATL,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,18,23%,0,0%,16,62%,
36,2023,2023-09-18,2,2,23.108,CAR,,NOR,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,8,13%,0,0%,22,81%,
37,2023,2023-09-24,3,3,23.114,CAR,@,SEA,L 27-37,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,22,28%,0,0%,28,80%,
38,2023,2023-10-01,4,4,23.121,CAR,,MIN,L 13-21,,,,,,,0.0%,,,,,,,,,,,0,0,,,,,,,,,,,,,31,43%,0,0%,10,45%,
39,2023,2023-10-08,5,5,23.128,CAR,@,DET,L 24-42,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,14,20%,0,0%,16,59%,
40,2023,2023-10-15,6,6,23.135,CAR,@,MIA,L 21-42,,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,45%,0,0%,17,57%,
41,2023,2023-10-29,7,8,23.149,CAR,,HOU,W 15-13,,3,2,4,2.00,1,66.7%,1.33,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,54%,0,0%,13,54%,
42,2023,2023-11-05,8,9,23.156,CAR,,IND,L 13-27,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,45%,0,0%,13,47%,
43,2023,2023-11-09,9,10,23.160,CAR,@,CHI,L 13-16,,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,45%,0,0%,15,54%,
44,2023,2023-11-19,10,11,23.170,CAR,,DAL,L 10-33,*,3,1,4,4.00,1,33.3%,1.33,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,76%,0,0%,15,56%,
45,2023,2023-11-26,11,12,23.177,CAR,@,TEN,L 10-17,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,72%,0,0%,10,42%,
46,2023,2023-12-03,12,13,,CAR,@,TAM,L 18-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,2023,2023-12-10,13,14,23.191,CAR,@,NOR,L 6-28,*,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,65%,0,0%,11,46%,
48,2023,2023-12-17,14,15,23.198,CAR,,ATL,W 9-7,*,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,83%,0,0%,10,53%,
49,2023,2023-12-24,15,16,23.205,CAR,,GNB,L 30-33,*,6,4,59,14.75,0,66.7%,9.83,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,48,73%,0,0%,15,50%,
