Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
35,2022,2022-12-11,13,14,27.089,CAR,@,SEA,W 30-24,,3,3,100.0,3,3,100.0,0,12,0.0,0,1,1,0,0,0,0%,0,0%,13,46%,
36,2022,2022-12-18,14,15,27.096,CAR,,PIT,L 16-24,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,8,32%,
37,2022,2022-12-24,15,16,27.102,CAR,,DET,W 37-23,,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,0,0,0,0%,0,0%,14,48%,
38,2022,2023-01-01,16,17,27.110,CAR,@,TAM,L 24-30,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,8,26%,
39,2022,2023-01-08,17,18,27.117,CAR,@,NOR,W 10-7,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,4,20%,
40,2023,2023-09-10,1,1,27.362,CAR,@,ATL,L 10-24,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,19%,
41,2023,2023-09-18,2,2,28.005,CAR,,NOR,L 17-20,,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,7,26%,
42,2023,2023-09-24,3,3,28.011,CAR,@,SEA,L 27-37,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,31%,
43,2023,2023-10-01,4,4,28.018,CAR,,MIN,L 13-21,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,6,27%,
44,2023,2023-10-08,5,5,28.025,CAR,@,DET,L 24-42,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,33%,
45,2023,2023-10-15,6,6,28.032,CAR,@,MIA,L 21-42,,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,8,27%,
46,2023,2023-10-29,7,8,28.046,CAR,,HOU,W 15-13,,,1,0.0,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,10,42%,
47,2023,2023-11-05,8,9,28.053,CAR,,IND,L 13-27,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,7,25%,
48,2023,2023-11-09,9,10,28.057,CAR,@,CHI,L 13-16,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,0,0,0%,0,0%,8,29%,
