Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,22.095,CAR,,DAL,W 16-8,,2,2,4,2.00,0,100.0%,2.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,37,55%,0,0%,8,36%,
2,2018,2018-09-16,2,2,22.102,CAR,@,ATL,L 24-31,*,3,2,10,5.00,0,66.7%,3.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,94%,0,0%,0,0%,
3,2018,2018-09-23,3,3,22.109,CAR,,CIN,W 31-21,*,5,3,20,6.67,0,60.0%,4.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,78%,0,0%,4,15%,
4,2018,2018-10-07,4,5,22.123,CAR,,NYG,W 33-31,*,6,3,38,12.67,0,50.0%,6.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,69%,0,0%,10,31%,
5,2018,2018-10-14,5,6,22.130,CAR,@,WAS,L 17-23,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,9,38%,
6,2018,2018-10-21,6,7,22.137,CAR,@,PHI,W 21-17,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,41%,
7,2018,2018-10-28,7,8,22.144,CAR,,BAL,W 36-21,,1,1,15,15.00,0,100.0%,15.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,12%,0,0%,8,29%,
8,2018,2018-11-04,8,9,22.151,CAR,,TAM,W 42-28,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,9,28%,
9,2018,2018-11-08,9,10,22.155,CAR,@,PIT,L 21-52,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,16%,0,0%,14,45%,
10,2018,2018-11-18,10,11,22.165,CAR,@,DET,L 19-20,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,5,19%,
11,2018,2018-11-25,11,12,22.172,CAR,,SEA,L 27-30,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,6,22%,
12,2018,2018-12-02,12,13,22.179,CAR,@,TAM,L 17-24,,5,5,46,9.20,0,100.0%,9.20,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,76%,0,0%,5,21%,
13,2018,2018-12-09,13,14,22.186,CAR,@,CLE,L 20-26,*,11,9,77,8.56,0,81.8%,7.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,82%,0,0%,6,21%,
14,2018,2018-12-17,14,15,22.194,CAR,,NOR,L 9-12,*,4,2,14,7.00,0,50.0%,3.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,93%,0,0%,4,20%,
15,2018,2018-12-23,15,16,22.200,CAR,,ATL,L 10-24,,5,4,48,12.00,1,80.0%,9.60,1,6,0.0,0,0,0,,,0,0,0,0,0,0,77,84%,0,0%,5,23%,
16,2018,2018-12-30,16,17,22.207,CAR,@,NOR,W 33-14,*,7,5,61,12.20,1,71.4%,8.71,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,78%,0,0%,5,20%,
17,2019,2019-09-08,1,1,23.094,CAR,,LAR,L 27-30,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,2,6%,
18,2019,2019-09-12,2,2,23.098,CAR,,TAM,L 14-20,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,2,3%,0,0%,0,0%,
19,2019,2019-09-22,3,3,23.108,CAR,@,ARI,W 38-20,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,5,8%,0,0%,0,0%,
20,2019,2019-09-29,4,4,23.115,CAR,@,HOU,W 16-10,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,10,15%,0,0%,0,0%,
21,2019,2019-10-06,5,5,23.122,CAR,,JAX,W 34-27,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,11,17%,0,0%,0,0%,
22,2019,2019-10-13,6,6,23.129,CAR,@,TAM,W 37-26,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,5,7%,0,0%,1,3%,
23,2019,2019-10-27,7,8,23.143,CAR,@,SFO,L 13-51,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,22%,0,0%,0,0%,
24,2019,2019-11-03,8,9,23.150,CAR,,TEN,W 30-20,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,5,7%,0,0%,5,17%,
25,2019,2019-11-10,9,10,23.157,CAR,@,GNB,L 16-24,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,4,6%,0,0%,0,0%,
26,2019,2019-11-17,10,11,23.164,CAR,,ATL,L 3-29,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,7,30%,
27,2019,2019-11-24,11,12,23.171,CAR,@,NOR,L 31-34,,2,1,4,4.00,0,50.0%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,8,26%,
28,2019,2019-12-01,12,13,23.178,CAR,,WAS,L 21-29,,4,4,24,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,44%,0,0%,15,46%,
29,2019,2019-12-08,13,14,23.185,CAR,@,ATL,L 20-40,*,10,5,57,11.40,1,50.0%,5.70,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,86%,0,0%,1,3%,
30,2019,2019-12-15,14,15,23.192,CAR,,SEA,L 24-30,*,3,2,23,11.50,0,66.7%,7.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,96%,0,0%,0,0%,
31,2019,2019-12-22,15,16,23.199,CAR,@,IND,L 6-38,,3,3,16,5.33,0,100.0%,5.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,46%,0,0%,0,0%,
32,2019,2019-12-29,16,17,23.206,CAR,,NOR,L 10-42,,5,1,12,12.00,0,20.0%,2.40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,59%,0,0%,0,0%,
33,2020,2020-09-13,1,1,24.099,CAR,,LVR,L 30-34,,2,2,16,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,66%,0,0%,0,0%,
34,2020,2020-09-20,2,2,24.106,CAR,@,TAM,L 17-31,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,40,55%,0,0%,0,0%,
35,2020,2020-09-27,3,3,24.113,CAR,@,LAC,W 21-16,*,2,1,9,9.00,0,50.0%,4.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,69%,0,0%,0,0%,
36,2020,2020-10-04,4,4,24.120,CAR,,ARI,W 31-21,*,5,2,5,2.50,1,40.0%,1.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,58%,0,0%,0,0%,
37,2020,2020-10-11,5,5,24.127,CAR,@,ATL,W 23-16,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,64%,0,0%,0,0%,
38,2020,2020-10-18,6,6,24.134,CAR,,CHI,L 16-23,,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,69%,0,0%,0,0%,
39,2020,2020-10-25,7,7,24.141,CAR,@,NOR,L 24-27,,1,1,11,11.00,0,100.0%,11.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,70%,0,0%,0,0%,
40,2020,2020-10-29,8,8,24.145,CAR,,ATL,L 17-25,*,3,3,28,9.33,0,100.0%,9.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,74%,0,0%,0,0%,
41,2020,2020-11-08,9,9,24.155,CAR,@,KAN,L 31-33,,2,1,8,8.00,0,50.0%,4.00,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,59,71%,0,0%,0,0%,
42,2020,2020-11-15,10,10,24.162,CAR,,TAM,L 23-46,*,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,60%,0,0%,0,0%,
43,2020,2020-11-22,11,11,24.169,CAR,,DET,W 20-0,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,40,56%,0,0%,0,0%,
44,2020,2020-11-29,12,12,24.176,CAR,@,MIN,L 27-28,,2,1,4,4.00,0,50.0%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,66%,0,0%,4,14%,
45,2020,2020-12-13,13,14,24.190,CAR,,DEN,L 27-32,,4,3,20,6.67,0,75.0%,5.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,70%,0,0%,1,3%,
46,2020,2020-12-19,14,15,24.196,CAR,@,GNB,L 16-24,,4,3,29,9.67,0,75.0%,7.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,72%,0,0%,5,18%,
