Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,CAR,@,NOR,L 10-47,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,CAR,,LAC,L 3-26,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,CAR,@,LVR,W 36-22,Did Not Play
4.0,2024.0,2024-09-29,4.0,4.0,,CAR,,CIN,L 24-34,Did Not Play
5.0,2024.0,2024-10-06,5.0,5.0,,CAR,@,CHI,L 10-36,Did Not Play
6.0,2024.0,2024-10-13,6.0,6.0,,CAR,,ATL,L 20-38,Did Not Play
7.0,2024.0,2024-10-20,7.0,7.0,,CAR,@,WAS,L 7-40,Did Not Play
8.0,2024.0,2024-10-27,8.0,8.0,,CAR,@,DEN,L 14-28,Did Not Play
9.0,2024.0,2024-11-03,9.0,9.0,,CAR,,NOR,W 23-22,Did Not Play
10.0,2024.0,2024-11-10,10.0,10.0,,CAR,,NYG,W 20-17,Inactive
11.0,2024.0,2024-11-24,11.0,12.0,,CAR,,KAN,L 27-30,Inactive
