Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,2014-09-07,1,1,24.016,MIN,@,STL,W 34-6,,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,14,24%,0,0%,10,32%,
2,2014,2014-09-14,2,2,24.023,MIN,,NWE,L 7-30,,2,0,0,,0,0.0%,0.00,0,0,,0,1,12,12.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,10,36%,
3,2014,2014-09-21,3,3,24.030,MIN,@,NOR,L 9-20,*,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,11,20%,0,0%,8,36%,
4,2014,2014-09-28,4,4,24.037,MIN,,ATL,W 41-28,,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,9,12%,0,0%,18,55%,
5,2014,2014-10-02,5,5,24.041,MIN,@,GNB,L 10-42,,5,4,57,14.25,0,80.0%,11.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,35%,0,0%,18,58%,
6,2014,2014-10-12,6,6,24.051,MIN,,DET,L 3-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,9,13%,0,0%,21,78%,
7,2014,2014-10-19,7,7,24.058,MIN,@,BUF,L 16-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,12,19%,0,0%,15,56%,
8,2014,2014-10-26,8,8,24.065,MIN,@,TAM,W 19-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,21,72%,
9,2014,2014-11-02,9,9,24.072,MIN,,WAS,W 29-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,5%,0,0%,21,75%,
10,2014,2014-11-16,10,11,24.086,MIN,@,CHI,L 13-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,11,23%,0,0%,14,61%,
11,2014,2014-11-23,11,12,24.093,MIN,,GNB,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,1,21,21.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,17,68%,
12,2014,2014-11-30,12,13,24.100,MIN,,CAR,W 31-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,1,2%,0,0%,20,67%,
13,2014,2014-12-07,13,14,24.107,MIN,,NYJ,W 30-24,,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,19,58%,
14,2014,2014-12-14,14,15,24.114,MIN,@,DET,L 14-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,4%,0,0%,15,62%,
15,2014,2014-12-21,15,16,24.121,MIN,@,MIA,L 35-37,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,19,61%,
16,2014,2014-12-28,16,17,24.128,MIN,,CHI,W 13-9,,3,3,68,22.67,1,100.0%,22.67,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,2,0,2,0,0,0,0,0,0,0,0,20,32%,0,0%,13,59%,
17,2015,2015-09-14,1,1,25.023,MIN,@,SFO,L 3-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,64%,
18,2015,2015-09-20,2,2,25.029,MIN,,DET,W 26-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,16,67%,
19,2015,2015-09-27,3,3,25.036,MIN,,SDG,W 31-14,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,50%,0,0%,11,41%,
20,2015,2015-10-04,4,4,25.043,MIN,@,DEN,L 20-23,,8,6,70,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,79%,0,0%,6,21%,
21,2015,2015-10-18,5,6,25.057,MIN,,KAN,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,10,14%,0,0%,16,67%,
22,2015,2015-10-25,6,7,25.064,MIN,@,DET,W 28-19,,2,1,30,30.00,0,50.0%,15.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,23,31%,0,0%,20,65%,
23,2015,2015-11-01,7,8,25.071,MIN,@,CHI,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,7%,0,0%,19,66%,
24,2015,2015-11-08,8,9,25.078,MIN,,STL,W 21-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,27,77%,
25,2015,2015-11-15,9,10,25.085,MIN,@,OAK,W 30-14,,0,0,0,,0,0.0%,,1,14,14.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,17,59%,
26,2015,2015-11-22,10,11,25.092,MIN,,GNB,L 13-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,9%,0,0%,13,45%,
27,2015,2015-11-29,11,12,25.099,MIN,@,ATL,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,16%,0,0%,12,63%,
28,2015,2015-12-06,12,13,25.106,MIN,,SEA,L 7-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,12%,0,0%,18,72%,
29,2015,2015-12-10,13,14,25.110,MIN,@,ARI,L 20-23,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,13,19%,0,0%,15,60%,
30,2015,2015-12-20,14,15,25.120,MIN,,CHI,W 38-17,*,0,0,0,,0,0.0%,,1,8,8.00,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,37%,0,0%,18,67%,
31,2015,2015-12-27,15,16,25.127,MIN,,NYG,W 49-17,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,25,35%,0,0%,24,63%,
32,2015,2016-01-03,16,17,25.134,MIN,@,GNB,W 20-13,,1,1,16,16.00,0,100.0%,16.00,2,67,33.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,15%,0,0%,13,50%,
33,2016,2016-09-11,1,1,26.020,MIN,@,TEN,W 25-16,,5,4,54,13.50,0,80.0%,10.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,35,56%,0,0%,15,52%,
34,2016,2016-09-18,2,2,26.027,MIN,,GNB,W 17-14,*,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,38,66%,0,0%,11,46%,
35,2016,2016-09-25,3,3,26.034,MIN,@,CAR,W 22-10,,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,60%,0,0%,11,41%,
36,2016,2016-10-03,4,4,26.042,MIN,,NYG,W 24-10,,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,53%,0,0%,8,30%,
37,2016,2016-10-09,5,5,26.048,MIN,,HOU,W 31-13,*,8,7,127,18.14,1,87.5%,15.88,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,92%,0,0%,3,10%,
38,2016,2016-10-23,6,7,26.062,MIN,@,PHI,L 10-21,*,5,2,52,26.00,0,40.0%,10.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,88%,0,0%,4,17%,
39,2016,2016-10-31,7,8,26.070,MIN,@,CHI,L 10-20,,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,54,89%,0,0%,3,12%,
40,2016,2016-11-06,8,9,26.076,MIN,,DET,L 16-22,*,6,4,68,17.00,0,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,50%,0,0%,5,19%,
41,2016,2016-11-13,9,10,26.083,MIN,@,WAS,L 20-26,,4,3,21,7.00,1,75.0%,5.25,1,11,11.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,85%,0,0%,2,8%,
42,2016,2016-11-20,10,11,26.090,MIN,,ARI,W 30-24,*,5,5,65,13.00,1,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,76%,0,0%,5,17%,
43,2016,2016-11-24,11,12,26.094,MIN,@,DET,L 13-16,*,11,8,53,6.63,0,72.7%,4.82,0,0,,0,0,0,,0,2,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,95%,0,0%,4,17%,
44,2016,2016-12-01,12,13,26.101,MIN,,DAL,L 15-17,,9,7,86,12.29,0,77.8%,9.56,0,0,,0,0,0,,0,2,-5,-2.50,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,63,85%,0,0%,6,21%,
45,2016,2016-12-11,13,14,26.111,MIN,@,JAX,W 25-16,*,5,4,101,25.25,0,80.0%,20.20,0,0,,0,0,0,,0,1,9,9.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,68%,0,0%,8,25%,
46,2016,2016-12-18,14,15,26.118,MIN,,IND,L 6-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,31%,0,0%,5,21%,
47,2016,2016-12-24,15,16,26.124,MIN,@,GNB,L 25-38,*,15,12,202,16.83,2,80.0%,13.47,1,4,4.00,0,1,19,19.00,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,75,96%,0,0%,1,3%,
