Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2009,2009-09-13,1,1,23.236,CAR,,PHI,L 10-38,,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,
2,2009,2009-09-20,2,2,23.243,CAR,@,ATL,L 20-28,,0.0,,,,,,0,,,0,0,0,,,,,,
3,2009,2009-09-28,3,3,23.251,CAR,@,DAL,L 7-21,,0.0,,,,,,0,,,0,0,0,,,,,,
4,2009,2009-10-11,4,5,23.264,CAR,,WAS,W 20-17,,0.0,,,,,,0,,,0,0,0,,,,,,
5,2009,2009-10-18,5,6,23.271,CAR,@,TAM,W 28-21,,0.0,,,,,,0,,,0,0,0,,,,,,
6,2009,2009-10-25,6,7,23.278,CAR,,BUF,L 9-20,,0.0,,,,,,0,,,0,0,0,,,,,,
7,2009,2009-11-01,7,8,23.285,CAR,@,ARI,W 34-21,,0.0,,,,,,0,,,0,0,0,,,,,,
8,2009,2009-11-08,8,9,23.292,CAR,@,NOR,L 20-30,,0.0,,,,,,0,,,0,0,0,,,,,,
9,2009,2009-11-15,9,10,23.299,CAR,,ATL,W 28-19,,0.0,,,,,,0,,,0,0,0,,,,,,
10,2009,2009-11-19,10,11,23.303,CAR,,MIA,L 17-24,,0.0,,,,,,0,,,0,0,0,,,,,,
11,2009,2009-11-29,11,12,23.313,CAR,@,NYJ,L 6-17,,0.0,,,,,,0,,,0,0,0,,,,,,
12,2009,2009-12-06,12,13,23.320,CAR,,TAM,W 16-6,,0.0,,,,,,0,,,0,0,0,,,,,,
13,2009,2009-12-13,13,14,23.327,CAR,@,NWE,L 10-20,,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,
14,2009,2009-12-20,14,15,23.334,CAR,,MIN,W 26-7,,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,
15,2009,2009-12-27,15,16,23.341,CAR,@,NYG,W 41-9,,0.0,,,,,,0,,,0,0,0,,,,,,
16,2009,2010-01-03,16,17,23.348,CAR,,NOR,W 23-10,,0.0,,,,,,0,,,0,0,0,,,,,,
17,2010,2010-09-12,1,1,24.235,CAR,@,NYG,L 18-31,,0.0,0,0,0,0,0,1,0,0,0,-10,0,,,,,,
18,2010,2010-09-19,2,2,24.242,CAR,,TAM,L 7-20,,0.0,,,,,,0,0,,0,0,0,,,,,,
19,2010,2010-09-26,3,3,24.249,CAR,,CIN,L 7-20,,0.0,,,,,,0,0,,0,0,0,,,,,,
