Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
11,2012,2012-11-25,11,12,22.291,STL,@,ARI,W 31-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,260,43.33,59,201,33.5,0,0.0%,1,16.7%,0,0,0%,0,0%,12,39%
12,2012,2012-12-02,12,13,22.298,STL,,SFO,W 16-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,388,43.11,6,382,42.4,0,0.0%,3,33.3%,0,0,0%,0,0%,12,40%
13,2012,2012-12-09,13,14,22.305,STL,@,BUF,W 15-12,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,1,0,0,1,0,0,8,302,37.75,44,258,32.3,0,0.0%,2,25.0%,0,0,0%,0,0%,9,35%
14,2012,2012-12-16,14,15,22.312,STL,,MIN,L 22-36,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,164,41.00,15,149,37.3,0,0.0%,1,25.0%,0,0,0%,0,0%,7,23%
15,2012,2012-12-23,15,16,22.319,STL,@,TAM,W 28-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,335,47.86,7,328,46.9,0,0.0%,2,28.6%,0,0,0%,0,0%,11,46%
16,2012,2012-12-30,16,17,22.326,STL,@,SEA,L 13-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,243,48.60,22,201,40.2,1,20.0%,0,0.0%,0,0,0%,0,0%,9,32%
17,2013,2013-09-08,1,1,23.212,STL,,ARI,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,147,49.00,1,126,42.0,1,33.3%,1,33.3%,0,0,0%,0,0%,8,28%
18,2013,2013-09-15,2,2,23.219,STL,@,ATL,L 24-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,298,49.67,4,294,49.0,0,0.0%,0,0.0%,0,0,0%,0,0%,10,31%
19,2013,2013-09-22,3,3,23.226,STL,@,DAL,L 7-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,238,47.60,16,222,44.4,0,0.0%,0,0.0%,0,0,0%,0,0%,7,28%
20,2013,2013-09-26,4,4,23.230,STL,,SFO,L 11-35,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,490,44.55,0,470,42.7,1,9.1%,6,54.5%,0,0,0%,0,0%,13,35%
21,2013,2013-10-06,5,5,23.240,STL,,JAX,W 34-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,286,40.86,5,281,40.1,0,0.0%,2,28.6%,0,0,0%,0,0%,13,37%
22,2013,2013-10-13,6,6,23.247,STL,@,HOU,W 38-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,135,45.00,6,129,43.0,0,0.0%,1,33.3%,0,0,0%,0,0%,9,36%
23,2013,2013-10-20,7,7,23.254,STL,@,CAR,L 15-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,159,39.75,-1,160,40.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,25%
24,2013,2013-10-28,8,8,23.262,STL,,SEA,L 9-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,182,45.50,9,173,43.3,0,0.0%,2,50.0%,0,0,0%,0,0%,8,31%
25,2013,2013-11-03,9,9,23.268,STL,,TEN,L 21-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,242,48.40,8,234,46.8,0,0.0%,1,20.0%,0,0,0%,0,0%,9,33%
26,2013,2013-11-10,10,10,23.275,STL,@,IND,W 38-8,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,242,48.40,25,217,43.4,0,0.0%,1,20.0%,0,0,0%,0,0%,11,42%
27,2013,2013-11-24,11,12,23.289,STL,,CHI,W 42-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,97,48.50,0,97,48.5,0,0.0%,0,0.0%,0,0,0%,0,0%,8,31%
