Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
81,2017,2017-09-10,1,1,27.214,LAR,,IND,W 46-9,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,218,43.60,0,218,43.6,0,0.0%,5,100.0%,0,0,0%,0,0%,13,37%
82,2017,2017-09-17,2,2,27.221,LAR,,WAS,L 20-27,,1,1,100.00,28,0,0,118.7,0,0,28.00,28.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,182,45.50,13,169,42.3,0,0.0%,1,25.0%,0,0,0%,0,0%,9,29%
83,2017,2017-09-21,3,3,27.225,LAR,@,SFO,W 41-39,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,113,56.50,9,104,52.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,26%
84,2017,2017-10-01,4,4,27.235,LAR,@,DAL,W 35-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,108,54.00,0,108,54.0,0,0.0%,2,100.0%,0,0,0%,0,0%,11,33%
85,2017,2017-10-08,5,5,27.242,LAR,,SEA,L 10-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,136,45.33,10,126,42.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,26%
86,2017,2017-10-15,6,6,27.249,LAR,@,JAX,W 27-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,322,46.00,0,302,43.1,1,14.3%,4,57.1%,0,0,0%,0,0%,12,33%
87,2017,2017-10-22,7,7,27.256,LAR,,ARI,W 33-0,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,119,59.50,9,110,55.0,0,0.0%,2,100.0%,0,0,0%,0,0%,9,38%
88,2017,2017-11-05,8,9,27.270,LAR,@,NYG,W 51-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,75,37.50,0,75,37.5,0,0.0%,1,50.0%,0,0,0%,0,0%,11,32%
89,2017,2017-11-12,9,10,27.277,LAR,,HOU,W 33-7,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0,0,,0,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,205,51.25,17,168,42.0,1,25.0%,0,0.0%,0,0,0%,0,0%,12,39%
90,2017,2017-11-19,10,11,27.284,LAR,@,MIN,L 7-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,254,42.33,9,245,40.8,0,0.0%,4,66.7%,0,0,0%,0,0%,7,30%
91,2017,2017-11-26,11,12,27.291,LAR,,NOR,W 26-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,138,46.00,0,138,46.0,0,0.0%,3,100.0%,0,0,0%,0,0%,10,30%
92,2017,2017-12-03,12,13,27.298,LAR,@,ARI,W 32-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,207,51.75,12,195,48.8,0,0.0%,0,0.0%,0,0,0%,0,0%,11,35%
93,2017,2017-12-10,13,14,27.305,LAR,,PHI,L 35-43,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,282,56.40,11,251,50.2,1,20.0%,3,60.0%,0,0,0%,0,0%,10,28%
94,2017,2017-12-17,14,15,27.312,LAR,@,SEA,W 42-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,5,213,42.60,18,195,39.0,0,0.0%,2,40.0%,0,0,0%,0,0%,12,36%
95,2017,2017-12-24,15,16,27.319,LAR,@,TEN,W 27-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,200,50.00,12,168,42.0,1,25.0%,1,25.0%,0,0,0%,0,0%,10,32%
96,2017,2017-12-31,16,17,27.326,LAR,,SFO,L 13-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,341,48.71,32,309,44.1,0,0.0%,2,28.6%,0,0,0%,0,0%,10,34%
97,2018,2018-09-10,1,1,28.214,LAR,@,OAK,W 33-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,117,58.50,10,107,53.5,0,0.0%,2,100.0%,0,0,0%,0,0%,10,33%
98,2018,2018-09-16,2,2,28.220,LAR,,ARI,W 34-0,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,2,102,51.00,0,82,41.0,1,50.0%,1,50.0%,0,0,0%,0,0%,9,50%
99,2018,2018-09-23,3,3,28.227,LAR,,LAC,W 35-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,49,49.00,11,38,38.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,28%
100,2018,2018-09-27,4,4,28.231,LAR,,MIN,W 38-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,71,35.50,0,71,35.5,0,0.0%,0,0.0%,0,0,0%,0,0%,10,30%
101,2018,2018-10-07,5,5,28.241,LAR,@,SEA,W 33-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,38,38.00,-3,41,41.0,0,0.0%,1,100.0%,0,0,0%,0,0%,7,23%
102,2018,2018-10-14,6,6,28.248,LAR,@,DEN,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,120,40.00,0,120,40.0,0,0.0%,3,100.0%,0,0,0%,0,0%,9,32%
103,2018,2018-10-21,7,7,28.255,LAR,@,SFO,W 39-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,122,30.50,6,116,29.0,0,0.0%,1,25.0%,0,0,0%,0,0%,11,37%
104,2018,2018-10-28,8,8,28.262,LAR,,GNB,W 29-27,,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,316,45.14,13,303,43.3,0,0.0%,3,42.9%,0,0,0%,0,0%,11,32%
105,2018,2018-11-04,9,9,28.269,LAR,@,NOR,L 35-45,,0,0,,0,0,0,,0,0,,,1,3,3.00,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,47,47.00,0,47,47.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,26%
106,2018,2018-11-11,10,10,28.276,LAR,,SEA,W 36-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,89,44.50,9,80,40.0,0,0.0%,1,50.0%,0,0,0%,0,0%,8,27%
107,2018,2018-11-19,11,11,28.284,LAR,,KAN,W 54-51,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,222,55.50,22,200,50.0,0,0.0%,3,75.0%,0,0,0%,0,0%,13,30%
108,2018,2018-12-02,12,13,28.297,LAR,@,DET,W 30-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,151,50.33,0,131,43.7,1,33.3%,1,33.3%,0,0,0%,0,0%,9,29%
109,2018,2018-12-09,13,14,28.304,LAR,@,CHI,L 6-15,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,146,48.67,22,124,41.3,0,0.0%,1,33.3%,0,0,0%,0,0%,8,33%
110,2018,2018-12-16,14,15,28.311,LAR,,PHI,L 23-30,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,169,56.33,13,156,52.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,29%
111,2018,2018-12-23,15,16,28.318,LAR,@,ARI,W 31-9,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,103,51.50,1,102,51.0,0,0.0%,2,100.0%,0,0,0%,0,0%,8,31%
112,2018,2018-12-30,16,17,28.325,LAR,,SFO,W 48-32,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,130,43.33,0,130,43.3,0,0.0%,2,66.7%,0,0,0%,0,0%,11,35%
113,2019,2019-09-08,1,1,29.212,LAR,@,CAR,W 30-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,144,48.00,30,114,28.5,0,0.0%,0,0.0%,1,0,0%,0,0%,12,34%
114,2019,2019-09-15,2,2,29.219,LAR,,NOR,W 27-9,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,199,49.75,34,165,41.3,0,0.0%,0,0.0%,0,0,0%,0,0%,9,33%
115,2019,2019-09-22,3,3,29.226,LAR,@,CLE,W 20-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,79,39.50,0,79,39.5,0,0.0%,1,50.0%,0,0,0%,0,0%,7,29%
116,2019,2019-09-29,4,4,29.233,LAR,,TAM,L 40-55,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,41,41.00,0,41,41.0,0,0.0%,1,100.0%,0,0,0%,0,0%,8,21%
117,2019,2019-10-03,5,5,29.237,LAR,@,SEA,L 29-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,153,51.00,0,153,51.0,0,0.0%,1,33.3%,0,0,0%,0,0%,9,29%
118,2019,2019-10-13,6,6,29.247,LAR,,SFO,L 7-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,269,53.80,38,231,46.2,0,0.0%,1,20.0%,0,0,0%,0,0%,7,27%
119,2019,2019-10-20,7,7,29.254,LAR,@,ATL,W 37-10,,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,95,31.67,-6,101,33.7,0,0.0%,1,33.3%,0,1,1%,0,0%,14,42%
120,2019,2019-10-27,8,8,29.261,LAR,,CIN,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,222,44.40,0,222,44.4,0,0.0%,3,60.0%,0,0,0%,0,0%,9,38%
121,2019,2019-11-10,9,10,29.275,LAR,@,PIT,L 12-17,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,379,47.38,21,338,42.3,1,12.5%,2,25.0%,0,0,0%,0,0%,13,36%
122,2019,2019-11-17,10,11,29.282,LAR,,CHI,W 17-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,329,54.83,0,269,44.8,3,50.0%,1,16.7%,0,0,0%,0,0%,9,36%
123,2019,2019-11-25,11,12,29.290,LAR,,BAL,L 6-45,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,200,50.00,45,155,38.8,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%
124,2019,2019-12-01,12,13,29.296,LAR,@,ARI,W 34-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,165,41.25,5,160,40.0,0,0.0%,1,25.0%,0,0,0%,0,0%,12,43%
125,2019,2019-12-08,13,14,29.303,LAR,,SEA,W 28-12,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,152,50.67,3,149,49.7,0,0.0%,0,0.0%,0,0,0%,0,0%,8,32%
126,2019,2019-12-15,14,15,29.310,LAR,@,DAL,L 21-44,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,279,55.80,20,259,51.8,0,0.0%,4,80.0%,0,0,0%,0,0%,10,32%
127,2019,2019-12-21,15,16,29.316,LAR,@,SFO,L 31-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,266,44.33,0,266,44.3,0,0.0%,3,50.0%,0,0,0%,0,0%,13,35%
128,2019,2019-12-29,16,17,29.324,LAR,,ARI,W 31-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,156,39.00,0,136,34.0,1,25.0%,3,75.0%,0,0,0%,0,0%,11,38%
129,2020,2020-09-13,1,1,30.218,LAR,,DAL,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,142,47.33,20,122,40.7,0,0.0%,2,66.7%,0,0,0%,0,0%,9,35%
130,2020,2020-09-20,2,2,30.225,LAR,@,PHI,W 37-19,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,96,48.00,0,76,38.0,1,50.0%,1,50.0%,0,0,0%,0,0%,8,32%
131,2020,2020-09-27,3,3,30.232,LAR,@,BUF,L 32-35,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,,,,,,,,,,,,0,0%,0,0%,5,21%
132,2020,2020-10-04,4,4,30.239,LAR,,NYG,W 17-9,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,280,56.00,30,210,42.0,2,40.0%,0,0.0%,0,0,0%,0,0%,8,35%
133,2020,2020-10-11,5,5,30.246,LAR,@,WAS,W 30-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,205,41.00,13,192,38.4,0,0.0%,4,80.0%,0,0,0%,0,0%,11,35%
134,2020,2020-10-18,6,6,30.253,LAR,@,SFO,L 16-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,291,48.50,20,271,45.2,0,0.0%,4,66.7%,0,0,0%,0,0%,9,33%
135,2020,2020-10-26,7,7,30.261,LAR,,CHI,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,221,44.20,0,221,44.2,0,0.0%,5,100.0%,0,0,0%,0,0%,10,40%
136,2020,2020-11-01,8,8,30.267,LAR,@,MIA,L 17-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,284,47.33,88,176,29.3,1,16.7%,2,33.3%,0,0,0%,0,0%,10,30%
137,2020,2020-11-15,9,10,30.281,LAR,,SEA,W 23-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,158,39.50,0,158,39.5,0,0.0%,3,75.0%,0,0,0%,0,0%,8,33%
138,2020,2020-11-23,10,11,30.289,LAR,@,TAM,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,217,43.40,19,198,39.6,0,0.0%,1,20.0%,0,0,0%,0,0%,11,37%
139,2020,2020-11-29,11,12,30.295,LAR,,SFO,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,343,49.00,27,296,42.3,1,14.3%,3,42.9%,0,0,0%,0,0%,11,32%
140,2020,2020-12-06,12,13,30.302,LAR,@,ARI,W 38-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,44,44.00,0,44,44.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,27%
141,2020,2020-12-10,13,14,30.306,LAR,,NWE,W 24-3,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,248,41.33,47,201,33.5,0,0.0%,0,0.0%,0,0,0%,0,0%,10,42%
142,2020,2020-12-20,14,15,30.316,LAR,,NYJ,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,179,44.75,18,161,32.2,0,0.0%,1,25.0%,1,0,0%,0,0%,9,31%
143,2020,2020-12-27,15,16,30.323,LAR,@,SEA,L 9-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,169,42.25,12,157,39.3,0,0.0%,1,25.0%,0,0,0%,0,0%,8,30%
144,2020,2021-01-03,16,17,30.330,LAR,,ARI,W 18-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,222,44.40,3,219,43.8,0,0.0%,1,20.0%,0,0,0%,0,0%,9,36%
145,2021,2021-09-12,1,1,31.216,LAR,,CHI,W 34-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,50,50.00,3,47,47.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,35%
146,2021,2021-09-19,2,2,31.223,LAR,@,IND,W 27-24,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,,,,,,,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0,3,109,36.33,0,109,36.3,0,0.0%,1,33.3%,0,0,0%,0,0%,9,35%
147,2021,2021-09-26,3,3,31.230,LAR,,TAM,W 34-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,119,39.67,4,115,38.3,0,0.0%,3,100.0%,0,0,0%,0,0%,9,30%
148,2021,2021-10-03,4,4,31.237,LAR,,ARI,L 20-37,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,37,37.00,0,37,37.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,21%
149,2021,2021-10-07,5,5,31.241,LAR,@,SEA,W 26-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,232,46.40,13,219,43.8,0,0.0%,4,80.0%,0,0,0%,0,0%,10,36%
150,2021,2021-10-17,6,6,31.251,LAR,@,NYG,W 38-11,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,160,40.00,0,160,40.0,0,0.0%,4,100.0%,0,0,0%,0,0%,12,44%
151,2021,2021-10-24,7,7,31.258,LAR,,DET,W 28-19,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,41,41.00,0,41,41.0,0,0.0%,0,0.0%,0,0,0%,0,0%,5,20%
152,2021,2021-10-31,8,8,31.265,LAR,@,HOU,W 38-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,178,44.50,1,177,44.3,0,0.0%,1,25.0%,0,0,0%,0,0%,10,30%
153,2021,2021-11-07,9,9,31.272,LAR,,TEN,L 16-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,199,49.75,11,168,42.0,1,25.0%,0,0.0%,0,0,0%,0,0%,8,30%
154,2021,2021-11-15,10,10,31.280,LAR,@,SFO,L 10-31,,1,1,100.00,2,0,0,79.2,0,0,2.00,2.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,124,41.33,0,124,41.3,0,0.0%,0,0.0%,0,0,0%,0,0%,6,26%
155,2021,2021-11-28,11,12,31.293,LAR,@,GNB,L 28-36,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,205,41.00,0,205,41.0,0,0.0%,1,20.0%,0,0,0%,0,0%,9,25%
156,2021,2021-12-05,12,13,31.300,LAR,,JAX,W 37-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,150,50.00,0,150,50.0,0,0.0%,1,33.3%,0,0,0%,0,0%,10,39%
157,2021,2021-12-13,13,14,31.308,LAR,@,ARI,W 30-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,120,40.00,0,120,40.0,0,0.0%,1,33.3%,0,0,0%,0,0%,9,33%
158,2021,2021-12-21,14,15,31.316,LAR,,SEA,W 20-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,130,43.33,14,116,38.7,0,0.0%,1,33.3%,0,0,0%,0,0%,8,34%
159,2021,2021-12-26,15,16,31.321,LAR,@,MIN,W 30-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,108,54.00,0,108,54.0,0,0.0%,1,50.0%,0,0,0%,0,0%,8,26%
160,2021,2022-01-02,16,17,31.328,LAR,@,BAL,W 20-19,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,92,46.00,0,92,46.0,0,0.0%,2,100.0%,0,0,0%,0,0%,5,22%
161,2021,2022-01-09,17,18,31.335,LAR,,SFO,L 24-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,198,49.50,14,184,46.0,0,0.0%,2,50.0%,0,0,0%,0,0%,8,29%
162,2022,2022-09-11,1,1,32.215,CAR,,CLE,L 24-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,250,50.00,29,221,44.2,0,0.0%,0,0.0%,0,0,0%,0,0%,9,28%
163,2022,2022-09-18,2,2,32.222,CAR,@,NYG,L 16-19,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,212,42.40,0,212,42.4,0,0.0%,4,80.0%,0,0,0%,0,0%,9,30%
164,2022,2022-09-25,3,3,32.229,CAR,,NOR,W 22-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,281,46.83,17,264,44.0,0,0.0%,4,66.7%,0,0,0%,0,0%,10,34%
165,2022,2022-10-02,4,4,32.236,CAR,,ARI,L 16-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,209,52.25,22,187,46.8,0,0.0%,1,25.0%,0,0,0%,0,0%,7,30%
166,2022,2022-10-09,5,5,32.243,CAR,,SFO,L 15-37,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,154,51.33,8,146,48.7,0,0.0%,2,66.7%,0,0,0%,0,0%,7,25%
167,2022,2022-10-16,6,6,32.250,CAR,@,LAR,L 10-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,362,51.71,15,307,43.9,2,28.6%,3,42.9%,0,0,0%,0,0%,9,35%
168,2022,2022-10-23,7,7,32.257,CAR,,TAM,W 21-3,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,360,51.43,46,294,42.0,1,14.3%,2,28.6%,0,0,0%,0,0%,11,46%
169,2022,2022-10-30,8,8,32.264,CAR,@,ATL,L 34-37,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,141,47.00,19,122,40.7,0,0.0%,1,33.3%,0,0,0%,0,0%,9,26%
170,2022,2022-11-06,9,9,32.271,CAR,@,CIN,L 21-42,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,270,54.00,57,213,42.6,0,0.0%,2,40.0%,0,0,0%,0,0%,8,28%
171,2022,2022-11-10,10,10,32.275,CAR,,ATL,W 25-15,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,216,43.20,23,193,38.6,0,0.0%,2,40.0%,0,0,0%,0,0%,11,38%
172,2022,2022-11-20,11,11,32.285,CAR,@,BAL,L 3-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,265,44.17,5,260,43.3,0,0.0%,4,66.7%,0,0,0%,0,0%,8,35%
173,2022,2022-11-27,12,12,32.292,CAR,,DEN,W 23-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,255,51.00,0,255,51.0,0,0.0%,4,80.0%,0,0,0%,0,0%,11,37%
174,2022,2022-12-11,13,14,32.306,CAR,@,SEA,W 30-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,107,53.50,0,87,43.5,1,50.0%,0,0.0%,0,0,0%,0,0%,8,29%
