Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-11-26,,12,,SEA,@,SFO,W 24-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2017,2017-12-03,,13,,SEA,,PHI,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2017,2017-12-10,,14,,SEA,@,JAX,L 24-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2017,2017-12-17,,15,,SEA,,LAR,L 7-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2017,2017-12-24,,16,,SEA,@,DAL,W 21-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2018,2018-12-16,14,15,23.335,SEA,@,SFO,L 23-26,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,77%,0,0%,1,3%,
21,2018,2018-12-23,15,16,23.342,SEA,,KAN,W 38-31,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,69%,0,0%,0,0%,
22,2018,2018-12-30,16,17,23.349,SEA,,ARI,W 27-24,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,62%,0,0%,0,0%,
23,2019,2019-09-08,,1,,SEA,,CIN,W 21-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2019,2019-09-15,,2,,SEA,@,PIT,W 28-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2019,2019-09-22,3,3,24.250,SEA,,NOR,L 27-33,,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,24%,0,0%,6,21%,
26,2019,2019-09-29,4,4,24.257,SEA,@,ARI,W 27-10,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,40%,0,0%,3,12%,
27,2019,2019-10-03,5,5,24.261,SEA,,LAR,W 30-29,,2,1,10,10.00,1,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,16,22%,0,0%,7,23%,
28,2019,2019-10-13,6,6,24.271,SEA,@,CLE,W 32-28,,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,22%,0,0%,3,12%,
29,2019,2019-10-20,7,7,24.278,SEA,,BAL,L 16-30,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,41%,0,0%,10,34%,
30,2019,2019-10-27,8,8,24.285,SEA,@,ATL,W 27-20,,4,1,23,23.00,0,25.0%,5.75,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,48%,0,0%,4,15%,
31,2019,2019-11-03,9,9,24.292,SEA,,TAM,W 40-34,,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,54%,0,0%,11,31%,
32,2019,2019-11-11,10,10,24.300,SEA,@,SFO,W 27-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,27%,0,0%,12,34%,
33,2019,2019-11-24,11,12,24.313,SEA,@,PHI,W 17-9,,2,1,31,31.00,0,50.0%,15.50,1,4,4.00,0,0,0,,0,3,20,6.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,28%,0,0%,7,32%,
34,2019,2019-12-02,12,13,24.321,SEA,,MIN,W 37-30,,4,2,65,32.50,1,50.0%,16.25,0,0,,0,0,0,,0,1,9,9.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,10,13%,0,0%,9,27%,
35,2019,2019-12-08,13,14,24.327,SEA,@,LAR,L 12-28,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,14,21%,0,0%,8,32%,
36,2019,2019-12-15,14,15,24.334,SEA,@,CAR,W 30-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,15%,0,0%,9,32%,
37,2019,2019-12-22,15,16,24.341,SEA,,ARI,L 13-27,,2,1,21,21.00,0,50.0%,10.50,1,19,19.00,0,0,0,,0,2,23,11.50,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,10,18%,0,0%,12,34%,
