Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,22.093,CAR,,NYJ,W 19-14,,0,0,,0,2,2,4,2.00,0,100.0%,2.00,1,21,21.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,24,85%,
2,2021,2021-09-19,2,2,22.100,CAR,,NOR,W 26-7,,8,10,1.25,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,25%,0,0%,16,64%,
3,2021,2021-09-23,3,3,22.104,CAR,@,HOU,W 24-9,,11,52,4.73,0,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,55%,0,0%,6,26%,
4,2021,2021-10-03,4,4,22.114,CAR,@,DAL,L 28-36,*,13,57,4.38,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,47%,0,0%,0,0%,
5,2021,2021-10-10,5,5,22.121,CAR,,PHI,L 18-21,*,24,101,4.21,0,6,5,33,6.60,0,83.3%,5.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,65%,0,0%,0,0%,
6,2021,2021-10-17,6,6,22.128,CAR,,MIN,L 28-34,*,16,61,3.81,1,3,1,4,4.00,0,33.3%,1.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,65%,0,0%,0,0%,
7,2021,2021-10-24,7,7,22.135,CAR,@,NYG,L 3-25,*,12,28,2.33,0,5,4,28,7.00,0,80.0%,5.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,53%,0,0%,0,0%,
8,2021,2021-10-31,8,8,22.142,CAR,@,ATL,W 19-13,*,24,82,3.42,1,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,41,55%,0,0%,1,4%,
9,2021,2021-11-07,9,9,22.149,CAR,,NWE,L 6-24,,3,3,1.00,0,2,1,33,33.00,0,50.0%,16.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,17%,0,0%,9,41%,
10,2021,2021-11-14,10,10,22.156,CAR,@,ARI,W 34-10,,9,27,3.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,16,21%,0,0%,14,56%,
11,2021,2021-11-21,11,11,22.163,CAR,,WAS,L 21-27,,,,,,,,,,,0.0%,,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,11,42%,
12,2021,2021-11-28,12,12,22.170,CAR,@,MIA,L 10-33,,2,6,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,20%,0,0%,11,39%,
13,2021,2021-12-12,13,14,22.184,CAR,,ATL,L 21-29,*,10,33,3.30,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,25,39%,0,0%,0,0%,
14,2021,2021-12-19,14,15,22.191,CAR,@,BUF,L 14-31,*,8,40,5.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,36,47%,0,0%,0,0%,
15,2021,2021-12-26,15,16,22.198,CAR,,TAM,L 6-32,*,6,9,1.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,49%,0,0%,0,0%,
16,2021,2022-01-02,16,17,22.205,CAR,@,NOR,L 10-18,*,17,55,3.24,1,4,3,13,4.33,0,75.0%,3.25,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,32,52%,0,0%,1,4%,
17,2021,2022-01-09,17,18,22.212,CAR,@,TAM,L 17-41,*,9,48,5.33,0,2,2,8,4.00,1,100.0%,4.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,44%,0,0%,1,4%,
