Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,21.199,CAR,@,NOR,L 10-47,,,,,,,,,,,,,,0.0,0%,0.0,0%,19.0,64%
2.0,2024.0,2024-09-15,2.0,2.0,21.206,CAR,,LAC,L 3-26,,,,,,,,,,,,,,0.0,0%,0.0,0%,18.0,76%
3.0,2024.0,2024-09-22,3.0,3.0,21.213,CAR,@,LVR,W 36-22,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,11.0,17%,21.0,70%
4.0,2024.0,2024-09-29,4.0,4.0,21.22,CAR,,CIN,L 24-34,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,25.0,37%,18.0,64%
5.0,2024.0,2024-10-06,5.0,5.0,21.227,CAR,@,CHI,L 10-36,*,0.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,75.0,100%,0.0,0%
6.0,2024.0,2024-10-13,6.0,6.0,21.234,CAR,,ATL,L 20-38,*,0.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0%,70.0,100%,0.0,0%
7.0,2024.0,2024-10-20,7.0,7.0,21.241,CAR,@,WAS,L 7-40,*,0.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,69.0,100%,0.0,0%
8.0,2024.0,2024-10-27,8.0,8.0,21.248,CAR,@,DEN,L 14-28,*,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0%,65.0,89%,6.0,25%
9.0,2024.0,2024-11-03,9.0,9.0,21.255,CAR,,NOR,W 23-22,*,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,69.0,87%,6.0,21%
10.0,2024.0,2024-11-10,10.0,10.0,21.262,CAR,,NYG,W 20-17,*,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,52.0,69%,7.0,23%
11.0,2024.0,2024-11-24,11.0,12.0,21.276,CAR,,KAN,L 27-30,,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,46.0,62%,2.0,7%
