Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
53,2024,2024-09-15,2,2,26.268,CAR,,LAC,L 3-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,76%,
54,2024,2024-09-22,3,3,26.275,CAR,@,LVR,W 36-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3%,0,0%,22,73%,
55,2024,2024-09-29,4,4,26.282,CAR,,CIN,L 24-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,1,2,0,0,0,0,0,0,0,0,1,1%,0,0%,18,64%,
56,2024,2024-10-06,5,5,26.289,CAR,@,CHI,L 10-36,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,1,2,0,0,0,0,0,0,0,0,4,7%,0,0%,19,73%,
57,2024,2024-10-13,6,6,26.296,CAR,,ATL,L 20-38,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,0,0%,17,63%,
58,2024,2024-10-20,7,7,26.303,CAR,@,WAS,L 7-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2%,0,0%,17,65%,
59,2024,2024-10-27,8,8,26.310,CAR,@,DEN,L 14-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,6,25%,
60,2024,2024-11-03,9,9,,CAR,,NOR,W 23-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,2024,2024-11-10,10,10,26.324,CAR,,NYG,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2%,0,0%,21,70%,
62,2024,2024-11-24,11,12,26.338,CAR,,KAN,L 27-30,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,14,23%,0,0%,19,70%,
