Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
26,2020,2020-11-22,10,11,23.205,PHI,@,CLE,L 17-22,*,16,66,4.13,0,5,3,15,5.00,0,60.0%,3.00,0,0,,0,,0,0,1,1,0,0,0,0,41,60%,0,0%,0,0%,
27,2020,2020-11-30,11,12,23.213,PHI,,SEA,L 17-23,*,6,15,2.50,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,1,0,2,0,0,0,0,0,0,43,61%,0,0%,0,0%,
28,2020,2020-12-06,12,13,23.219,PHI,@,GNB,L 16-30,*,10,31,3.10,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.226,PHI,,NOR,W 24-21,*,14,115,8.21,2,5,4,21,5.25,0,80.0%,4.20,0,0,,0,,2,12,0,0,0,0,0,0,56,81%,0,0%,0,0%,
30,2020,2020-12-20,14,15,23.233,PHI,@,ARI,L 26-33,*,17,64,3.76,0,2,1,26,26.00,0,50.0%,13.00,0,0,,0,,0,0,0,0,0,0,0,0,69,82%,0,0%,0,0%,
31,2020,2020-12-27,15,16,23.240,PHI,@,DAL,L 17-37,,15,57,3.80,1,6,4,27,6.75,0,66.7%,4.50,0,0,,0,,1,6,1,0,0,0,0,0,57,78%,0,0%,0,0%,
32,2020,2021-01-03,16,17,,PHI,,WAS,L 14-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2021,2021-09-12,1,1,24.134,PHI,@,ATL,W 32-6,*,15,74,4.93,0,5,4,39,9.75,0,80.0%,7.80,0,0,,0,1,0,2,0,0,0,0,0,0,47,66%,0,0%,0,0%,
34,2021,2021-09-19,2,2,24.141,PHI,,SFO,L 11-17,*,13,55,4.23,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,39,67%,0,0%,0,0%,
35,2021,2021-09-27,3,3,24.149,PHI,@,DAL,L 21-41,*,2,27,13.50,0,4,3,28,9.33,0,75.0%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,35,60%,0,0%,0,0%,
