Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,CLE,,PIT,T 21-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2020,2020-09-27,3,3,25.022,LAR,@,BUF,L 32-35,*,,,,,,,0,,,0,0,0,69,100%,0,0%,5,21%,
36,2020,2020-10-04,4,4,25.029,LAR,,NYG,W 17-9,*,,,,,,,0,,,0,0,0,57,100%,0,0%,3,13%,
37,2020,2020-10-11,5,5,25.036,LAR,@,WAS,W 30-10,*,,,,,,,0,,,0,0,0,68,100%,0,0%,5,16%,
38,2020,2020-10-18,6,6,25.043,LAR,@,SFO,L 16-24,*,,,,,,,0,,,0,0,0,60,100%,0,0%,3,11%,
39,2020,2020-10-26,7,7,25.051,LAR,,CHI,W 24-10,*,0.0,0,0,0,0,0,0,0,0,1,0,0,72,100%,0,0%,5,20%,
40,2020,2020-11-01,8,8,25.057,LAR,@,MIA,L 17-28,*,,,,,,,0,,,0,0,0,95,100%,0,0%,4,12%,
41,2020,2020-11-15,9,10,25.071,LAR,,SEA,W 23-16,*,,,,,,,0,,,0,0,0,70,100%,0,0%,4,17%,
42,2020,2020-11-23,10,11,25.079,LAR,@,TAM,W 27-24,*,,,,,,,0,,,0,0,0,72,100%,0,0%,6,20%,
43,2020,2020-11-29,11,12,25.085,LAR,,SFO,L 20-23,*,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,4,11%,
44,2020,2020-12-06,12,13,25.092,LAR,@,ARI,W 38-28,*,,,,,,,0,,,0,0,0,82,100%,0,0%,7,23%,
45,2020,2020-12-10,13,14,25.096,LAR,,NWE,W 24-3,*,,,,,,,0,,,0,0,0,63,100%,0,0%,4,17%,
46,2020,2020-12-20,14,15,25.106,LAR,,NYJ,L 20-23,*,,,,,,,0,,,0,0,0,59,100%,0,0%,4,14%,
47,2020,2020-12-27,15,16,25.113,LAR,@,SEA,L 9-20,*,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,3,11%,
48,2020,2021-01-03,16,17,25.120,LAR,,ARI,W 18-7,*,,,,,,,0,,,0,0,0,73,100%,0,0%,4,16%,
49,2021,2021-09-12,1,1,26.007,LAR,,CHI,W 34-14,*,,,,,,,,,,,,,52,100%,0,0%,6,30%,
50,2021,2021-09-19,2,2,26.014,LAR,@,IND,W 27-24,*,,,,,,,,,,,,,59,100%,0,0%,5,19%,
51,2021,2021-09-26,3,3,26.021,LAR,,TAM,W 34-24,*,,,,,,,,,,,,,65,100%,0,0%,6,20%,
52,2021,2021-10-03,4,4,26.028,LAR,,ARI,L 20-37,*,0.0,1,0,1,0,0,0,0,0,0,0,0,68,100%,0,0%,5,18%,
53,2021,2021-10-07,5,5,26.032,LAR,@,SEA,W 26-17,*,,,,,,,,,,,,,67,100%,0,0%,5,18%,
54,2021,2021-10-17,6,6,26.042,LAR,@,NYG,W 38-11,*,,,,,,,,,,,,,66,100%,0,0%,6,22%,
55,2021,2021-10-24,7,7,26.049,LAR,,DET,W 28-19,*,,,,,,,,,,,,,65,100%,0,0%,4,16%,
56,2021,2021-10-31,8,8,26.056,LAR,@,HOU,W 38-22,*,,,,,,,,,,,,,58,87%,0,0%,6,18%,
57,2021,2021-11-07,9,9,26.063,LAR,,TEN,L 16-28,*,0.0,1,0,1,0,0,0,0,0,0,0,0,78,100%,0,0%,4,15%,
58,2021,2021-11-15,10,10,26.071,LAR,@,SFO,L 10-31,*,,,,,,,,,,,,,55,100%,0,0%,3,13%,
59,2021,2021-11-28,11,12,26.084,LAR,@,GNB,L 28-36,*,,,,,,,,,,,,,62,100%,0,0%,4,11%,
60,2021,2021-12-05,12,13,26.091,LAR,,JAX,W 37-7,*,,,,,,,,,,,,,68,100%,0,0%,7,27%,
61,2021,2021-12-13,13,14,26.099,LAR,@,ARI,W 30-23,*,,,,,,,,,,,,,58,100%,0,0%,6,22%,
62,2021,2021-12-21,14,15,26.107,LAR,,SEA,W 20-10,*,,,,,,,,,,,,,66,100%,0,0%,4,17%,
63,2021,2021-12-26,15,16,26.112,LAR,@,MIN,W 30-23,*,0.0,1,0,1,0,0,0,0,0,0,0,0,70,100%,0,0%,6,19%,
64,2021,2022-01-02,16,17,26.119,LAR,@,BAL,W 20-19,*,,,,,,,,,,,,,58,100%,0,0%,3,13%,
65,2021,2022-01-09,17,18,26.126,LAR,,SFO,L 24-27,*,,,,,,,,,,,,,65,100%,0,0%,4,14%,
66,2022,2022-09-11,1,1,27.006,CAR,,CLE,L 24-26,*,,,,,,,,,,,,,53,100%,0,0%,4,13%,
67,2022,2022-09-18,2,2,27.013,CAR,@,NYG,L 16-19,*,,,,,,,,,,,,,58,100%,0,0%,4,13%,
68,2022,2022-09-25,3,3,27.020,CAR,,NOR,W 22-14,*,,,,,,,,,,,,,61,100%,0,0%,4,14%,
69,2022,2022-10-02,4,4,27.027,CAR,,ARI,L 16-26,*,,,,,,,,,,,,,52,100%,0,0%,2,9%,
70,2022,2022-10-09,5,5,27.034,CAR,,SFO,L 15-37,*,,,,,,,,,,,,,69,100%,0,0%,4,14%,
71,2022,2022-10-16,6,6,27.041,CAR,@,LAR,L 10-24,*,,,,,,,,,,,,,44,100%,0,0%,2,8%,
72,2022,2022-10-23,7,7,27.048,CAR,,TAM,W 21-3,*,,,,,,,,,,,,,50,100%,0,0%,3,13%,
73,2022,2022-10-30,8,8,27.055,CAR,@,ATL,L 34-37,*,,,,,,,,,,,,,80,100%,0,0%,6,17%,
74,2022,2022-11-06,9,9,27.062,CAR,@,CIN,L 21-42,*,,,,,,,,,,,,,49,100%,0,0%,3,10%,
75,2022,2022-11-10,10,10,27.066,CAR,,ATL,W 25-15,*,,,,,,,,,,,,,66,100%,0,0%,6,21%,
76,2022,2022-11-20,11,11,27.076,CAR,@,BAL,L 3-13,*,,,,,,,,,,,,,57,100%,0,0%,1,4%,
77,2022,2022-11-27,12,12,27.083,CAR,,DEN,W 23-10,*,,,,,,,,,,,,,66,100%,0,0%,5,17%,
78,2022,2022-12-11,13,14,27.097,CAR,@,SEA,W 30-24,*,,,,,,,,,,,,,72,100%,0,0%,6,21%,
79,2022,2022-12-18,14,15,27.104,CAR,,PIT,L 16-24,*,,,,,,,,,,,,,46,100%,0,0%,4,16%,
80,2022,2022-12-24,15,16,27.110,CAR,,DET,W 37-23,*,,,,,,,,,,,,,68,100%,0,0%,7,24%,
81,2022,2023-01-01,16,17,27.118,CAR,@,TAM,L 24-30,*,,,,,,,,,,,,,66,100%,0,0%,4,13%,
82,2022,2023-01-08,17,18,27.125,CAR,@,NOR,W 10-7,*,,,,,,,,,,,,,26,44%,0,0%,0,0%,
83,2023,2023-09-10,1,1,,CAR,@,ATL,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
84,2023,2023-09-18,2,2,,CAR,,NOR,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
85,2023,2023-09-24,3,3,,CAR,@,SEA,L 27-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
86,2023,2023-10-01,4,4,,CAR,,MIN,L 13-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2023,2023-10-08,5,5,,CAR,@,DET,L 24-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2023,2023-10-15,6,6,,CAR,@,MIA,L 21-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2023,2023-10-29,7,8,28.054,CAR,,HOU,W 15-13,*,,,,,,,,,,,,,67,100%,0,0%,0,0%,
90,2023,2023-11-05,8,9,28.061,CAR,,IND,L 13-27,*,,,,,,,,,,,,,71,100%,0,0%,0,0%,
91,2023,2023-11-09,9,10,28.065,CAR,@,CHI,L 13-16,*,,,,,,,,,,,,,60,100%,0,0%,4,14%,
92,2023,2023-11-19,10,11,28.075,CAR,,DAL,L 10-33,*,,,,,,,,,,,,,59,100%,0,0%,0,0%,
93,2023,2023-11-26,11,12,,CAR,@,TEN,L 10-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
94,2023,2023-12-03,12,13,,CAR,@,TAM,L 18-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
95,2023,2023-12-10,13,14,,CAR,@,NOR,L 6-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
96,2023,2023-12-17,14,15,,CAR,,ATL,W 9-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
97,2023,2023-12-24,15,16,,CAR,,GNB,L 30-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
98,2023,2023-12-31,16,17,,CAR,@,JAX,L 0-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
99,2023,2024-01-07,17,18,,CAR,,TAM,L 0-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
100,2024,2024-09-08,1,1,29.003,CAR,@,NOR,L 10-47,*,,,,,,,,,,,,,59,100%,0,0%,0,0%,
101,2024,2024-09-15,2,2,29.010,CAR,,LAC,L 3-26,*,,,,,,,,,,,,,48,100%,0,0%,0,0%,
102,2024,2024-09-22,3,3,29.017,CAR,@,LVR,W 36-22,*,,,,,,,,,,,,,74,100%,0,0%,0,0%,
103,2024,2024-09-29,4,4,29.024,CAR,,CIN,L 24-34,*,,,,,,,,,,,,,70,100%,0,0%,0,0%,
104,2024,2024-10-06,5,5,29.031,CAR,@,CHI,L 10-36,*,,,,,,,,,,,,,41,68%,0,0%,0,0%,
105,2024,2024-10-13,6,6,,CAR,,ATL,L 20-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
106,2024,2024-10-20,7,7,,CAR,@,WAS,L 7-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
107,2024,2024-10-27,8,8,,CAR,@,DEN,L 14-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
108,2024,2024-11-03,9,9,,CAR,,NOR,W 23-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
109,2024,2024-11-10,10,10,,CAR,,NYG,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
110,2024,2024-11-24,11,12,,CAR,,KAN,L 27-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
