No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
34.0,Alex Anzalone,30.0,LB,8,8.0,238.0,6-3,Florida,9/22/1994,7,,New Orleans Saints / 3rd / 76th pick / 2017,AnzaAl00
0.0,Terrion Arnold,21.0,CB,9,9.0,199.0,6-0,Alabama,3/22/2003,Rook,,Detroit Lions / 1st / 24th pick / 2024,ArnoTe00
74.0,Kayode Awosika,26.0,G,9,2.0,315.0,6-3,Buffalo,10/27/1998,3,,,AwosKa00
39.0,Jake Bates,25.0,K,9,0.0,202.0,5-10,Texas St.Arkansas,3/3/1999,1,,,BateJa00
32.0,Brian Branch,23.0,DB,8,8.0,203.0,6-0,Alabama,10/22/2001,1,,Detroit Lions / 2nd / 45th pick / 2023,BranBr00
46.0,Jack Campbell,24.0,LB,9,9.0,243.0,6-5,Iowa,8/22/2000,1,,Detroit Lions / 1st / 18th pick / 2023,CampJa04
23.0,Carlton Davis,28.0,CB,9,9.0,206.0,6-1,Auburn,12/31/1996,6,,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,DaviCa02
68.0,Taylor Decker,30.0,T,8,8.0,318.0,6-7,Ohio St.,8/23/1994,8,,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
30.0,Khalil Dorsey,26.0,CB,9,0.0,185.0,5-8,Northern Arizona,3/31/1998,4,,,DorsKh00
3.0,Jack Fox,28.0,P,9,0.0,218.0,6-2,Rice,9/1/1996,4,,,FoxxJa01
26.0,Jahmyr Gibbs,22.0,RB,9,1.0,200.0,5-9,Georgia TechAlabama,3/20/2002,1,,Detroit Lions / 1st / 12th pick / 2023,GibbJa01
60.0,Graham Glasgow,32.0,OL,9,9.0,315.0,6-6,Michigan,7/19/1992,8,,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00
16.0,Jared Goff,30.0,QB,9,9.0,217.0,6-4,California,10/14/1994,8,,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
49.0,Hogan Hatten,24.0,LS,9,0.0,239.0,6-2,Idaho,8/6/2000,Rook,,,HattHo00
2.0,Hendon Hooker,26.0,QB,2,0.0,220.0,6-3,Virginia TechTennessee,1/13/1998,1,,Detroit Lions / 3rd / 68th pick / 2023,HookHe00
41.0,James Houston,26.0,LB,6,0.0,245.0,6-1,FloridaJackson St.,11/16/1998,2,,Detroit Lions / 6th / 217th pick / 2022,HousJa01
12.0,Brandon Joseph,23.0,S,9,1.0,200.0,6-0,NorthwesternNotre Dame,2/5/2001,1,,,JoseBr00
31.0,Kerby Joseph,24.0,S,9,9.0,203.0,6-1,Illinois,11/14/2000,2,,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03
87.0,Sam LaPorta,23.0,TE,9,9.0,245.0,6-3,Iowa,1/12/2001,1,,Detroit Lions / 2nd / 34th pick / 2023,LaPoSa01
73.0,Christian Mahogany,24.0,OL,0,0.0,319.0,6-3,Boston Col.,10/11/2000,Rook,,Detroit Lions / 6th / 210th pick / 2024,MahoCh00
59.0,Giovanni Manu,23.0,OL,0,0.0,354.0,6-7,British Columbia,1/26/2001,Rook,,Detroit Lions / 4th / 126th pick / 2024,ManuGi00
54.0,Alim McNeill,24.0,DL,9,9.0,315.0,6-2,North Carolina St.,5/11/2000,3,,Detroit Lions / 3rd / 72nd pick / 2021,McNeAl00
