No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
62.0,Graham Barton,22.0,C,10,10.0,314.0,6-5,Duke,6/1/2002,Rook,,Tampa Bay Buccaneers / 1st / 26th pick / 2024,BartGr00
43.0,Chris Braswell,23.0,OLB,11,0.0,255.0,6-3,Alabama,10/25/2001,Rook,,Tampa Bay Buccaneers / 2nd / 57th pick / 2024,BrasCh01
68.0,Ben Bredeson,26.0,G,11,11.0,315.0,6-5,Michigan,2/20/1998,4,,Baltimore Ravens / 4th / 143rd pick / 2020,BredBe00
95.0,C.J. Brewer,27.0,DL,9,0.0,290.0,6-2,Coastal Carolina,11/22/1997,2,,,BrewCJ00
52.0,K.J. Britt,25.0,LB,11,11.0,235.0,6-0,Auburn,6/4/1999,3,,Tampa Bay Buccaneers / 5th / 176th pick / 2021,BritKJ00
97.0,Earnest Brown IV,25.0,DE,3,0.0,300.0,6-5,Northwestern,1/8/1999,2,,Los Angeles Rams / 5th / 174th pick / 2021,BrowEa00
82.0,Devin Culp,24.0,TE,2,0.0,237.0,6-4,Washington,2/2/2000,Rook,,Tampa Bay Buccaneers / 7th / 246th pick / 2024,CulpDe00
54.0,Lavonte David,34.0,LB,11,11.0,233.0,6-1,Fort Scott (KS)Nebraska,1/23/1990,12,,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,DaviLa00
35.0,Jamel Dean,28.0,CB,7,7.0,206.0,6-1,Auburn,10/15/1996,5,,Tampa Bay Buccaneers / 3rd / 94th pick / 2019,DeanJa00
86.0,Evan Deckers,25.0,LS,5,0.0,252.0,6-3,MassachusettsDuke,2/23/1999,1,,,DeckEv00
0.0,YaYa Diaby,25.0,OLB,11,11.0,270.0,6-4,Georgia MilitaryLouisville,5/30/1999,1,,Tampa Bay Buccaneers / 3rd / 82nd pick / 2023,DiabYa00
87.0,Payne Durham,24.0,TE,10,2.0,255.0,6-5,Purdue,6/15/2000,1,,Tampa Bay Buccaneers / 5th / 171st pick / 2023,DurhPa00
,Mike Edwards,28.0,S,1,0.0,205.0,5-10,KentuckyHawaii,5/18/1996,5,,Tampa Bay Buccaneers / 3rd / 99th pick / 2019,EdwaMi01
13.0,Mike Evans,31.0,WR,8,8.0,231.0,6-5,Texas A&M,8/21/1993,10,,Tampa Bay Buccaneers / 1st / 7th pick / 2014,EvanMi00
24.0,Tyrek Funderburk,24.0,CB,8,2.0,185.0,6-0,RichmondAppalachian St.,11/28/2000,Rook,,,FundTy00
96.0,Greg Gaines,28.0,DL,9,3.0,312.0,6-1,Washington,5/6/1996,5,,Los Angeles Rams / 4th / 134th pick / 2019,GainGr00
92.0,William Gholston,33.0,DL,11,3.0,281.0,6-6,Michigan St.,7/31/1991,11,,Tampa Bay Buccaneers / 4th / 126th pick / 2013,GholWi00
16.0,Trenton Gill,25.0,P,7,0.0,219.0,6-4,North Carolina St.,3/5/1999,2,,Chicago Bears / 7th / 255th pick / 2022,GillTr01
67.0,Luke Goedeke,26.0,T,7,7.0,312.0,6-5,Wisconsin–Stevens PointCentral Michigan,11/21/1998,2,,Tampa Bay Buccaneers / 2nd / 57th pick / 2022,GoedLu00
70.0,Robert Hainsey,26.0,C,11,1.0,306.0,6-4,Notre Dame,8/12/1998,3,,Tampa Bay Buccaneers / 3rd / 95th pick / 2021,HainRo00
90.0,Logan Hall,24.0,DL,10,5.0,283.0,6-6,Houston,4/22/2000,2,,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022,HallLo00
32.0,Josh Hayes,25.0,DB,10,2.0,190.0,6-0,North Dakota St.VirginiaKansas St.,4/24/1999,1,,Tampa Bay Buccaneers / 6th / 181st pick / 2023,HayeJo01
25.0,Troy Hill,33.0,CB,1,0.0,182.0,5-10,Oregon,8/29/1991,9,,,HillTr01
7.0,Bucky Irving,22.0,RB,11,1.0,195.0,5-10,MinnesotaOregon,8/19/2002,Rook,,Tampa Bay Buccaneers / 4th / 125th pick / 2024,IrviBu00
29.0,Christian Izien,24.0,S,10,6.0,200.0,5-10,Rutgers,6/8/2000,1,,,IzieCh00
18.0,Rakim Jarrett,23.0,WR,4,2.0,192.0,6-0,Maryland,1/24/2001,1,,,JarrRa00
94.0,Calijah Kancey,23.0,DL,6,6.0,280.0,6-0,Pittsburgh,3/1/2001,1,,Tampa Bay Buccaneers / 1st / 19th pick / 2023,KancCa00
41.0,Ko Kieft,26.0,TE,11,0.0,265.0,6-5,Minnesota,1/20/1998,2,,Tampa Bay Buccaneers / 6th / 218th pick / 2022,KiefKo00
79.0,Elijah Klein,24.0,OG,10,0.0,319.0,6-4,Texas-El Paso,4/8/2000,Rook,,Tampa Bay Buccaneers / 6th / 220th pick / 2024,KleiEl00
69.0,Cody Mauch,25.0,G,11,11.0,303.0,6-6,North Dakota St.,1/15/1999,1,,Tampa Bay Buccaneers / 2nd / 48th pick / 2023,MaucCo00
6.0,Baker Mayfield,29.0,QB,11,11.0,215.0,6-1,Oklahoma,4/14/1995,6,,Cleveland Browns / 1st / 1st pick / 2018,MayfBa00
27.0,Zyon McCollum,25.0,CB,11,11.0,199.0,6-2,Sam Houston St.,5/3/1999,2,,Tampa Bay Buccaneers / 5th / 157th pick / 2022,McCoZy02
4.0,Chase McLaughlin,28.0,K,11,0.0,190.0,6-0,Illinois,4/9/1996,5,,,McLaCh00
15.0,Jalen McMillan,23.0,WR,7,6.0,192.0,6-1,Washington,12/7/2001,Rook,,Tampa Bay Buccaneers / 3rd / 92nd pick / 2024,McMiJa01
81.0,Ryan Miller,24.0,WR,5,3.0,221.0,6-2,Furman,2/20/2000,1,,,MillRy01
98.0,Anthony Nelson,27.0,OLB,11,0.0,271.0,6-7,Iowa,3/4/1997,5,,Tampa Bay Buccaneers / 4th / 107th pick / 2019,NelsAn01
64.0,Royce Newman,27.0,OG,1,0.0,310.0,6-5,Mississippi,8/17/1997,3,,Green Bay Packers / 4th / 142nd pick / 2021,NewmRo00
88.0,Cade Otton,25.0,TE,11,11.0,247.0,6-5,Washington,4/15/1999,2,,Tampa Bay Buccaneers / 4th / 106th pick / 2022,OttoCa00
10.0,Trey Palmer,23.0,WR,9,3.0,190.0,6-1,LSUNebraska,4/2/2001,1,,Tampa Bay Buccaneers / 6th / 191st pick / 2023,PalmTr00
33.0,Jose Ramirez,25.0,OLB,2,0.0,252.0,6-2,ArizonaRiverside CCEastern Michigan,5/9/1999,1,,Tampa Bay Buccaneers / 6th / 196th pick / 2023,RamiJo00
51.0,J.J. Russell,26.0,LB,11,0.0,225.0,6-1,Memphis,10/12/1998,2,,,RussJJ00
17.0,Sterling Shepard,31.0,WR,9,2.0,194.0,5-10,Oklahoma,2/10/1993,8,,New York Giants / 2nd / 40th pick / 2016,ShepSt00
77.0,Justin Skule,28.0,T,11,5.0,315.0,6-6,Vanderbilt,11/23/1996,5,,San Francisco 49ers / 6th / 183rd pick / 2019,SkulJu00
23.0,Tykee Smith,23.0,S,8,4.0,202.0,5-10,West VirginiaGeorgia,2/18/2001,Rook,,Tampa Bay Buccaneers / 3rd / 89th pick / 2024,SmitTy05
37.0,Tavierre Thomas,28.0,CB,11,0.0,205.0,5-10,Ferris St.,3/11/1996,6,,,ThomTa01
2.0,Kyle Trask,26.0,QB,1,0.0,236.0,6-5,Florida,3/6/1998,2,,Tampa Bay Buccaneers / 2nd / 64th pick / 2021,TrasKy00
9.0,Joe Tryon-Shoyinka,25.0,OLB,11,11.0,259.0,6-5,Washington,4/30/1999,3,,Tampa Bay Buccaneers / 1st / 32nd pick / 2021,TryoJo00
44.0,Sean Tucker,23.0,RB,11,0.0,205.0,5-10,Syracuse,10/25/2001,1,,,TuckSe00
50.0,Vita Vea,29.0,NT,10,10.0,347.0,6-4,Washington,2/5/1995,6,,Tampa Bay Buccaneers / 1st / 12th pick / 2018,VeaxVi00
1.0,Rachaad White,25.0,RB,10,10.0,214.0,6-0,Nebraska-KearneyMount San Antonio JCArizona St.,1/12/1999,2,,Tampa Bay Buccaneers / 3rd / 91st pick / 2022,WhitRa01
3.0,Jordan Whitehead,27.0,S,11,11.0,198.0,5-10,Pittsburgh,3/18/1997,6,,Tampa Bay Buccaneers / 4th / 117th pick / 2018,WhitJo03
31.0,Antoine Winfield Jr.,26.0,S,7,7.0,203.0,5-9,Minnesota,8/16/1998,4,,Tampa Bay Buccaneers / 2nd / 45th pick / 2020,WinfAn00
78.0,Tristan Wirfs,25.0,T,10,10.0,320.0,6-5,Iowa,1/24/1999,4,,Tampa Bay Buccaneers / 1st / 13th pick / 2020,WirfTr00
83.0,Cody Thompson (PRA_),28.0,WR,1,0.0,205.0,6-2,Toledo,1/11/1996,3,,,ThomCo04
