No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
5.0,Bryan Anger,36.0,P,9,0.0,202.0,6-3,California,10/6/1988,12,,Jacksonville Jaguars / 3rd / 70th pick / 2012,AngeBr00
17.0,Brandon Aubrey,29.0,K,9,0.0,218.0,6-3,Notre Dame,3/14/1995,1,,,AubrBr00
66.0,T.J. Bass,25.0,G,9,1.0,325.0,6-4,Butte JC (CA)Oregon,3/31/1999,1,,,BassTJ00
56.0,Cooper Beebe,23.0,OG,9,9.0,335.0,6-4,Kansas St.,5/19/2001,Rook,,Dallas Cowboys / 3rd / 73rd pick / 2024,BeebCo00
14.0,Markquese Bell,25.0,S,8,0.0,205.0,6-3,Florida A&M,1/6/1999,2,,,BellMa01
26.0,DaRon Bland,25.0,CB,0,0.0,197.0,6-0,Sacramento St.Fresno St.,7/12/1999,2,,Dallas Cowboys / 5th / 167th pick / 2022,BlanDa00
83.0,Jalen Brooks,24.0,WR,9,1.0,205.0,6-2,South Carolina,5/7/2000,1,,Dallas Cowboys / 7th / 244th pick / 2023,BrooJa03
21.0,Caelen Carson,22.0,CB,5,5.0,195.0,6-0,Wake Forest,3/3/2002,Rook,,Dallas Cowboys / 5th / 174th pick / 2024,CarsCa01
18.0,Damone Clark,24.0,LB,9,2.0,240.0,6-3,LSU,6/28/2000,2,,Dallas Cowboys / 5th / 176th pick / 2022,ClarDa02
7.0,Trevon Diggs,26.0,CB,9,9.0,195.0,6-2,Alabama,9/20/1998,4,,Dallas Cowboys / 2nd / 51st pick / 2020,DiggTr00
23.0,Rico Dowdle,26.0,RB,8,7.0,215.0,6-0,South Carolina,6/14/1998,4,,,DowdRi01
15.0,Ezekiel Elliott,29.0,RB,8,2.0,228.0,6-0,Ohio St.,7/22/1995,8,,Dallas Cowboys / 1st / 4th pick / 2016,ElliEz00
87.0,Jake Ferguson,25.0,TE,8,8.0,244.0,6-5,Wisconsin,1/18/1999,2,,Dallas Cowboys / 4th / 129th pick / 2022,FergJa00
80.0,Ryan Flournoy,25.0,WR,5,0.0,200.0,6-1,Central Missouri St.Iowa WesternSE Missouri St.,10/27/1999,Rook,,Dallas Cowboys / 6th / 216th pick / 2024,FlouRy00
