No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
87.0,Davis Allen,23.0,TE,9,3.0,251.0,6-6,Clemson,2/3/2001,1,,Los Angeles Rams / 5th / 175th pick / 2023,AlleDa02
5.0,Tutu Atwell,25.0,WR,11,4.0,165.0,5-9,Louisville,10/7/1999,3,,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
73.0,Steve Avila,25.0,OL,4,4.0,338.0,6-3,TCU,10/16/1999,1,,Los Angeles Rams / 2nd / 36th pick / 2023,AvilSt00
13.0,Stetson Bennett,27.0,QB,0,0.0,190.0,5-11,Jones County JCGeorgia,10/28/1997,Rook,,Los Angeles Rams / 4th / 128th pick / 2023,BennSt00
95.0,Bobby Brown,24.0,NT,11,10.0,332.0,6-4,Texas A&M,8/7/2000,3,,Los Angeles Rams / 4th / 117th pick / 2021,BrowBo04
22.0,Blake Corum,24.0,RB,11,0.0,210.0,5-8,Michigan,11/25/2000,Rook,,Los Angeles Rams / 3rd / 83rd pick / 2024,CoruBl00
3.0,Kamren Curl,25.0,DB,11,11.0,205.0,6-2,Arkansas,3/31/1999,4,,Washington Football Team / 7th / 216th pick / 2020,CurlKa00
90.0,Tyler Davis,24.0,DL,10,0.0,299.0,6-2,Clemson,11/1/2000,Rook,,Los Angeles Rams / 6th / 196th pick / 2024,DaviTy05
67.0,Justin Dedich,24.0,OL,7,3.0,300.0,6-2,USC,4/24/2000,Rook,,,DediJu00
69.0,Kevin Dotson,28.0,OL,11,11.0,330.0,6-4,Louisiana,9/18/1996,4,,Pittsburgh Steelers / 4th / 135th pick / 2020,DotsKe00
14.0,Cobie Durant,26.0,DB,11,11.0,182.0,5-11,South Carolina St.,2/9/1998,2,,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
42.0,Ethan Evans,23.0,P,10,0.0,250.0,6-3,Wingate,7/19/2001,1,,Los Angeles Rams / 7th / 223rd pick / 2023,EvanEt00
55.0,Braden Fiske,24.0,DE,11,3.0,295.0,6-4,Western MichiganFlorida St.,1/18/2000,Rook,,Los Angeles Rams / 2nd / 39th pick / 2024,FiskBr00
92.0,Neville Gallimore,27.0,NT,8,3.0,315.0,6-2,Oklahoma,1/17/1997,4,,Dallas Cowboys / 3rd / 82nd pick / 2020,GallNe00
11.0,Jimmy Garoppolo,33.0,QB,0,0.0,225.0,6-2,Eastern Illinois,11/2/1991,10,,New England Patriots / 2nd / 62nd pick / 2014,GaroJi00
31.0,Nick Hampton,24.0,OLB,11,0.0,247.0,6-3,Appalachian St.,4/5/2000,1,,Los Angeles Rams / 5th / 161st pick / 2023,HampNi00
79.0,Rob Havenstein,32.0,OL,7,7.0,323.0,6-8,Wisconsin,5/13/1992,9,,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00
97.0,Michael Hoecht,27.0,OLB,11,5.0,267.0,6-4,Brown,10/5/1997,3,,,HoecMi00
35.0,Jake Hummel,25.0,LB,11,0.0,227.0,6-1,Iowa St.,1/4/1999,2,,,HummJa00
77.0,Alaric Jackson,26.0,OL,9,9.0,345.0,6-7,Iowa,7/14/1998,3,,,JackAl01
44.0,Brennan Jackson,24.0,OLB,4,0.0,266.0,6-4,Washington St.,10/14/2000,Rook,,Los Angeles Rams / 5th / 154th pick / 2024,JackBr02
72.0,Jonah Jackson,27.0,G,3,3.0,315.0,6-4,RutgersOhio St.,2/5/1997,4,,Detroit Lions / 3rd / 75th pick / 2020,JackJo03
94.0,Desjuan Johnson,25.0,DE,4,0.0,285.0,6-3,Toledo,9/3/1999,1,,Los Angeles Rams / 7th / 259th pick / 2023,JohnDe08
18.0,Tyler Johnson,26.0,WR,11,2.0,208.0,6-1,Minnesota,8/25/1998,4,,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00
16.0,Joshua Karty,22.0,K,11,0.0,207.0,6-2,Stanford,3/7/2002,Rook,,Los Angeles Rams / 6th / 209th pick / 2024,KartJo00
26.0,Kamren Kinchens,22.0,DB,11,3.0,207.0,5-11,Miami (FL),9/29/2002,Rook,,Los Angeles Rams / 3rd / 99th pick / 2024,KincKa00
10.0,Cooper Kupp,31.0,WR,7,6.0,207.0,6-2,Eastern Washington,6/15/1993,7,,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00
37.0,Quentin Lake,25.0,DB,11,11.0,196.0,6-1,UCLA,1/29/1999,2,,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
50.0,Beaux Limmer,23.0,OL,11,9.0,312.0,6-5,Arkansas,6/10/2001,Rook,,Los Angeles Rams / 6th / 217th pick / 2024,LimmBe00
84.0,Hunter Long,26.0,TE,11,2.0,243.0,6-5,Boston Col.,8/19/1998,3,,Miami Dolphins / 3rd / 81st pick / 2021,LongHu00
71.0,Warren McClendon,23.0,OL,11,4.0,317.0,6-4,Georgia,4/11/2001,1,,Los Angeles Rams / 5th / 174th pick / 2023,McClWa00
39.0,Jaylen McCollough,24.0,DB,11,0.0,202.0,6-0,Tennessee,10/12/2000,Rook,,,McCoJa02
63.0,Dylan McMahon,23.0,OL,0,0.0,298.0,6-3,North Carolina St.,1/22/2001,Rook,,Philadelphia Eagles / 6th / 190th pick / 2024,McMaDy00
17.0,Puka Nacua,23.0,WR,6,6.0,212.0,6-2,WashingtonBYU,5/29/2001,1,,Los Angeles Rams / 5th / 177th pick / 2023,NacuPu00
70.0,Joseph Noteboom,29.0,OL,2,2.0,300.0,6-5,TCU,6/19/1995,6,,Los Angeles Rams / 3rd / 89th pick / 2018,NoteJo00
86.0,Colby Parkinson,25.0,TE,11,8.0,265.0,6-7,Stanford,1/8/1999,4,,Seattle Seahawks / 4th / 133rd pick / 2020,ParkCo02
20.0,Ronnie Rivers,25.0,RB,11,0.0,192.0,5-9,Fresno St.,1/31/1999,2,,,RiveRo01
15.0,Demarcus Robinson,30.0,WR,11,11.0,202.0,6-1,Florida,9/21/1994,8,,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01
56.0,Christian Rozeboom,27.0,LB,11,6.0,237.0,6-2,South Dakota St.,1/30/1997,3,,,RozeCh00
32.0,Cody Schrader,25.0,RB,0,0.0,202.0,5-8,Truman St.Missouri,9/8/1999,Rook,,,SchrCo00
19.0,Xavier Smith,27.0,WR,9,0.0,176.0,5-9,Florida A&M,9/21/1997,1,,,SmitXa00
48.0,Omar Speights,23.0,LB,11,4.0,228.0,6-1,Oregon St.LSU,3/2/2001,Rook,,,SpeiOm00
9.0,Matthew Stafford,36.0,QB,11,11.0,214.0,6-3,Georgia,2/7/1988,15,,Detroit Lions / 1st / 1st pick / 2009,StafMa00
91.0,Kobie Turner,25.0,DE,11,11.0,297.0,6-2,RichmondWake Forest,4/26/1999,1,,Los Angeles Rams / 3rd / 89th pick / 2023,TurnKo00
8.0,Jared Verse,24.0,OLB,11,11.0,250.0,6-4,Albany (NY)Florida St.,11/4/2000,Rook,,Los Angeles Rams / 1st / 19th pick / 2024,VersJa00
30.0,Josh Wallace,24.0,DB,11,2.0,189.0,6-0,MassachusettsMichigan,7/5/2000,Rook,,,WallJo00
47.0,Alex Ward,25.0,LS,11,0.0,241.0,6-4,Central Florida,4/21/1999,1,,,WardAl00
88.0,Jordan Whittington,24.0,WR,9,2.0,202.0,6-1,Texas,10/1/2000,Rook,,Los Angeles Rams / 6th / 213th pick / 2024,WhitJo04
24.0,Darious Williams,31.0,DB,7,6.0,192.0,5-9,Ala-Birmingham,3/15/1993,6,,,WillDa09
23.0,Kyren Williams,24.0,RB,11,11.0,202.0,5-9,Notre Dame,8/26/2000,2,,Los Angeles Rams / 5th / 164th pick / 2022,WillKy02
4.0,Ahkello Witherspoon,29.0,CB,8,2.0,195.0,6-2,Colorado,3/21/1995,7,,San Francisco 49ers / 3rd / 66th pick / 2017,WithAh00
21.0,Charles Woods,24.0,DB,8,0.0,185.0,5-11,Illinois St.West VirginiaSMU,6/17/2000,Rook,,,WoodCh01
0.0,Byron Young,26.0,OLB,11,11.0,258.0,6-2,Georgia MilitaryTennessee,3/13/1998,1,,Los Angeles Rams / 3rd / 77th pick / 2023,YounBy01
89.0,Tyler Higbee (IRD),31.0,TE,0,0.0,255.0,6-6,Western Kentucky,1/1/1993,8,,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
66.0,KT Leveston (IRD),25.0,OL,0,0.0,337.0,6-4,Kansas St.,10/28/1999,Rook,,Los Angeles Rams / 7th / 254th pick / 2024,LeveKT00
43.0,John Johnson (IR),29.0,S,2,1.0,204.0,6-0,Boston Col.,12/19/1995,7,,Los Angeles Rams / 3rd / 91st pick / 2017,JohnJo10
1.0,Derion Kendrick (IR),24.0,DB,0,0.0,199.0,6-0,ClemsonGeorgia,8/24/2000,2,,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
64.0,Conor McDermott (IR),32.0,T,0,0.0,305.0,6-8,UCLA,10/19/1992,7,,New England Patriots / 6th / 211th pick / 2017,McDeCo00
52.0,Larrell Murchison (IR),27.0,DE,0,0.0,285.0,6-2,North Carolina St.,4/24/1997,4,,Tennessee Titans / 5th / 174th pick / 2020,MurcLa00
51.0,Troy Reeder (IR),30.0,LB,6,6.0,236.0,6-3,Penn St.Delaware,9/13/1994,5,,,ReedTr01
6.0,Tre'Vius Tomlinson (IR),24.0,DB,0,0.0,177.0,5-9,TCU,1/10/2000,1,,Los Angeles Rams / 6th / 182nd pick / 2023,HodgTr00
,Team Total,25.8,,11,,245.5,6-2.0,,,2.5,,,-9999
